[train_mean][TCN efficiency] Running on device: cpu
[train_mean][TCN efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 048 | train=0.000208 | val=RMSE:401.58|MAE:364.47|MAPE:3.65% | epoch_time=0.78s
[efficiency_mean] Epoch 049 | train=0.000223 | val=RMSE:361.77|MAE:318.81|MAPE:3.18% | epoch_time=0.80s
[efficiency_mean] Epoch 050 | train=0.000200 | val=RMSE:268.59|MAE:226.98|MAPE:2.26% | epoch_time=0.78s
[efficiency_mean] Epoch 051 | train=0.000226 | val=RMSE:337.48|MAE:294.75|MAPE:2.94% | epoch_time=0.80s
[efficiency_mean] Epoch 052 | train=0.000134 | val=RMSE:393.56|MAE:353.74|MAPE:3.53% | epoch_time=0.80s
[efficiency_mean] Epoch 053 | train=0.000199 | val=RMSE:394.67|MAE:350.26|MAPE:3.50% | epoch_time=0.79s
[efficiency_mean] Epoch 054 | train=0.000208 | val=RMSE:329.12|MAE:283.63|MAPE:2.83% | epoch_time=0.80s
[efficiency_mean] Epoch 055 | train=0.000202 | val=RMSE:315.52|MAE:269.93|MAPE:2.69% | epoch_time=0.79s
[efficiency_mean] Epoch 056 | train=0.000171 | val=RMSE:411.21|MAE:371.40|MAPE:3.71% | epoch_time=0.79s
[efficiency_mean] Epoch 057 | train=0.000132 | val=RMSE:311.65|MAE:267.54|MAPE:2.67% | epoch_time=0.79s
[efficiency_mean] Epoch 058 | train=0.000185 | val=RMSE:469.88|MAE:432.56|MAPE:4.32% | epoch_time=0.79s
[efficiency_mean] Epoch 059 | train=0.000213 | val=RMSE:338.66|MAE:296.16|MAPE:2.96% | epoch_time=0.79s
[efficiency_mean] Epoch 060 | train=0.000205 | val=RMSE:475.00|MAE:431.95|MAPE:4.31% | epoch_time=0.81s
[efficiency_mean] Epoch 061 | train=0.000264 | val=RMSE:385.68|MAE:346.84|MAPE:3.46% | epoch_time=0.79s
[efficiency_mean] Epoch 062 | train=0.000206 | val=RMSE:380.59|MAE:339.99|MAPE:3.40% | epoch_time=0.80s
[efficiency_mean] Epoch 063 | train=0.000138 | val=RMSE:301.49|MAE:260.93|MAPE:2.61% | epoch_time=0.80s
[efficiency_mean] Epoch 064 | train=0.000141 | val=RMSE:352.09|MAE:309.91|MAPE:3.09% | epoch_time=0.80s
[efficiency_mean] Epoch 065 | train=0.000110 | val=RMSE:319.14|MAE:276.12|MAPE:2.76% | epoch_time=0.79s
[efficiency_mean] Epoch 066 | train=0.000190 | val=RMSE:344.72|MAE:302.38|MAPE:3.03% | epoch_time=0.79s
[efficiency_mean] Epoch 067 | train=0.000128 | val=RMSE:300.52|MAE:259.38|MAPE:2.59% | epoch_time=0.80s
[efficiency_mean] Epoch 068 | train=0.000110 | val=RMSE:319.16|MAE:278.19|MAPE:2.78% | epoch_time=0.80s
