-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         0.08%       6.635ms         0.12%       9.971ms      11.330us       3.56 MB     134.00 KB           880  
                                         aten::mse_loss         0.08%       6.329ms         0.24%      19.636ms      44.627us      54.88 KB         256 B           440  
                                    aten::_foreach_mul_         0.07%       5.932ms         0.57%      47.370ms     107.659us           0 B           0 B           440  
                                           aten::detach         0.07%       5.855ms         0.18%      14.718ms       1.600us           0 B           0 B          9200  
                                        aten::transpose         0.07%       5.674ms         0.08%       7.006ms       2.467us           0 B           0 B          2840  
                                           MulBackward0         0.06%       5.287ms         0.86%      70.882ms      20.137us     823.24 MB           0 B          3520  
                                                aten::t         0.06%       4.965ms         0.11%       8.782ms       3.818us           0 B           0 B          2300  
                                             aten::item         0.06%       4.954ms         0.08%       6.889ms       0.744us           0 B           0 B          9260  
                                 ConstantPadNdBackward0         0.06%       4.921ms         1.56%     129.145ms      41.930us     720.34 MB           0 B          3080  
                                aten::mse_loss_backward         0.06%       4.864ms         0.11%       9.233ms      10.493us      54.88 KB           0 B           880  
    autograd::engine::evaluate_function: AddmmBackward0         0.06%       4.788ms         0.33%      27.179ms      61.770us     -99.42 MB    -102.96 MB           440  
                                           aten::select         0.06%       4.601ms         0.06%       5.149ms       5.254us           0 B           0 B           980  
                                          aten::resize_         0.05%       4.293ms         0.05%       4.293ms       0.263us           0 B           0 B         16340  
                                       aten::lift_fresh         0.05%       4.255ms         0.05%       4.255ms       0.125us           0 B           0 B         34120  
      autograd::engine::evaluate_function: AddBackward0         0.05%       4.077ms         0.07%       5.543ms       3.150us           0 B           0 B          1760  
                                         AddmmBackward0         0.04%       3.521ms         0.21%      17.548ms      39.883us       3.54 MB     -24.00 KB           440  
                                             aten::mean         0.04%       3.457ms         0.15%      12.530ms      28.476us           0 B        -632 B           440  
                                   aten::slice_backward         0.04%       3.376ms         0.27%      22.656ms      25.745us     205.81 MB           0 B           880  
                                             aten::view         0.04%       3.321ms         0.04%       3.321ms       3.389us           0 B           0 B           980  
                                  aten::select_backward         0.04%       3.210ms         0.22%      18.635ms      42.353us     102.91 MB           0 B           440  
                                            aten::clamp         0.03%       2.780ms         0.03%       2.823ms       6.416us       1.72 KB       1.72 KB           440  
                                       aten::reciprocal         0.03%       2.618ms         0.03%       2.618ms       5.950us       1.72 KB       1.72 KB           440  
                                           aten::linear         0.03%       2.561ms         0.36%      29.515ms      54.658us      66.64 KB           0 B           540  
                                       MseLossBackward0         0.03%       2.387ms         0.12%       9.881ms      22.457us      54.88 KB           0 B           440  
                                            aten::zeros         0.03%       2.325ms         0.22%      17.934ms      13.587us     308.72 MB       2.81 MB          1320  
                              aten::_local_scalar_dense         0.02%       1.935ms         0.02%       1.935ms       0.209us           0 B           0 B          9260  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.930ms         0.14%      11.811ms      26.843us      54.88 KB           0 B           440  
                                              aten::abs         0.02%       1.843ms         0.02%       1.843ms       4.188us           0 B           0 B           440  
                                        SelectBackward0         0.02%       1.545ms         0.24%      20.181ms      45.865us     102.91 MB           0 B           440  
                                         SliceBackward0         0.02%       1.528ms         0.29%      24.183ms      27.481us     205.81 MB           0 B           880  
                                           aten::expand         0.02%       1.481ms         0.02%       1.730ms       3.204us           0 B           0 B           540  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.466ms         0.31%      25.650ms      29.147us           0 B    -205.81 MB           880  
                                           AddBackward0         0.02%       1.466ms         0.02%       1.466ms       0.833us           0 B           0 B          1760  
                                aten::broadcast_tensors         0.02%       1.420ms         0.02%       1.420ms       3.227us           0 B           0 B           440  
                                       aten::zeros_like         0.02%       1.354ms         0.03%       2.630ms       5.977us      54.88 KB           0 B           440  
autograd::engine::evaluate_function: SqueezeBackward...         0.02%       1.260ms         0.05%       4.419ms       5.022us           0 B           0 B           880  
                                       SqueezeBackward1         0.01%       1.134ms         0.04%       3.159ms       3.590us           0 B           0 B           880  
                                       aten::contiguous         0.01%       1.069ms         1.02%      84.394ms     156.286us       3.09 GB           0 B           540  
                                            aten::zero_         0.01%       1.060ms         0.18%      14.603ms       8.297us           0 B           0 B          1760  
                                        aten::ones_like         0.01%     912.575us         0.02%       2.030ms       4.614us       1.72 KB           0 B           440  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     806.472us         0.25%      20.987ms      47.698us      99.48 MB      -3.43 MB           440  
        autograd::engine::evaluate_function: TBackward0         0.01%     777.825us         0.03%       2.185ms       4.967us           0 B           0 B           440  
                                     aten::resolve_conj         0.01%     596.325us         0.01%     596.325us       0.195us           0 B           0 B          3060  
                                             TBackward0         0.01%     480.858us         0.02%       1.408ms       3.199us           0 B           0 B           440  
                                         aten::randperm         0.01%     430.880us         0.01%     928.415us      23.210us     219.53 KB        -160 B            40  
                                          aten::random_         0.00%     157.708us         0.00%     157.708us       7.885us           0 B           0 B            20  
                                    aten::scalar_tensor         0.00%      61.120us         0.00%      61.120us       3.056us         160 B         160 B            20  
                                      aten::resolve_neg         0.00%      24.595us         0.00%      24.595us       0.112us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.287s
