[train_close][TCN efficiency] Running on device: cpu
[train_close][TCN efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 049 | train=0.000231 | val=RMSE:444.19|MAE:392.77|MAPE:3.89% | epoch_time=0.71s
[efficiency_close] Epoch 050 | train=0.000222 | val=RMSE:332.13|MAE:286.02|MAPE:2.84% | epoch_time=0.72s
[efficiency_close] Epoch 051 | train=0.000213 | val=RMSE:473.47|MAE:427.74|MAPE:4.25% | epoch_time=0.73s
[efficiency_close] Epoch 052 | train=0.000209 | val=RMSE:441.72|MAE:391.11|MAPE:3.88% | epoch_time=0.72s
[efficiency_close] Epoch 053 | train=0.000270 | val=RMSE:433.07|MAE:384.48|MAPE:3.82% | epoch_time=0.72s
[efficiency_close] Epoch 054 | train=0.000218 | val=RMSE:538.38|MAE:498.97|MAPE:4.97% | epoch_time=0.71s
[efficiency_close] Epoch 055 | train=0.000387 | val=RMSE:543.49|MAE:497.74|MAPE:4.95% | epoch_time=0.71s
[efficiency_close] Epoch 056 | train=0.000243 | val=RMSE:473.84|MAE:428.48|MAPE:4.26% | epoch_time=0.72s
[efficiency_close] Epoch 057 | train=0.000185 | val=RMSE:421.55|MAE:371.94|MAPE:3.69% | epoch_time=0.71s
[efficiency_close] Epoch 058 | train=0.000226 | val=RMSE:316.28|MAE:268.13|MAPE:2.66% | epoch_time=0.72s
[efficiency_close] Epoch 059 | train=0.000205 | val=RMSE:364.66|MAE:318.33|MAPE:3.16% | epoch_time=0.71s
[efficiency_close] Epoch 060 | train=0.000185 | val=RMSE:434.94|MAE:387.58|MAPE:3.85% | epoch_time=0.71s
[efficiency_close] Epoch 061 | train=0.000218 | val=RMSE:384.33|MAE:334.33|MAPE:3.31% | epoch_time=0.71s
[efficiency_close] Epoch 062 | train=0.000177 | val=RMSE:499.84|MAE:453.41|MAPE:4.50% | epoch_time=0.71s
[efficiency_close] Epoch 063 | train=0.000219 | val=RMSE:431.25|MAE:383.82|MAPE:3.81% | epoch_time=0.71s
[efficiency_close] Epoch 064 | train=0.000184 | val=RMSE:317.44|MAE:271.81|MAPE:2.70% | epoch_time=0.72s
[efficiency_close] Epoch 065 | train=0.000146 | val=RMSE:427.81|MAE:381.59|MAPE:3.79% | epoch_time=0.72s
[efficiency_close] Epoch 066 | train=0.000170 | val=RMSE:381.63|MAE:331.37|MAPE:3.29% | epoch_time=0.72s
[efficiency_close] Epoch 067 | train=0.000152 | val=RMSE:420.90|MAE:372.23|MAPE:3.69% | epoch_time=0.71s
[efficiency_close] Epoch 068 | train=0.000155 | val=RMSE:407.15|MAE:360.22|MAPE:3.58% | epoch_time=0.72s
[efficiency_close] Epoch 069 | train=0.000184 | val=RMSE:356.64|MAE:308.17|MAPE:3.06% | epoch_time=0.72s
[efficiency_close] Epoch 070 | train=0.000214 | val=RMSE:319.84|MAE:269.54|MAPE:2.67% | epoch_time=0.71s
[efficiency_close] Epoch 071 | train=0.000219 | val=RMSE:277.54|MAE:232.33|MAPE:2.31% | epoch_time=0.71s
[efficiency_close] Epoch 072 | train=0.000225 | val=RMSE:429.32|MAE:377.76|MAPE:3.75% | epoch_time=0.72s
[efficiency_close] Epoch 073 | train=0.000190 | val=RMSE:388.10|MAE:342.54|MAPE:3.41% | epoch_time=0.71s
[efficiency_close] Epoch 074 | train=0.000191 | val=RMSE:427.43|MAE:377.09|MAPE:3.74% | epoch_time=0.71s
[efficiency_close] Epoch 075 | train=0.000127 | val=RMSE:373.22|MAE:327.92|MAPE:3.26% | epoch_time=0.72s
[efficiency_close] Epoch 076 | train=0.000144 | val=RMSE:364.55|MAE:317.38|MAPE:3.15% | epoch_time=0.71s
[efficiency_close] Epoch 077 | train=0.000183 | val=RMSE:381.48|MAE:331.78|MAPE:3.29% | epoch_time=0.71s
[efficiency_close] Epoch 078 | train=0.000172 | val=RMSE:380.48|MAE:330.61|MAPE:3.28% | epoch_time=0.71s
[efficiency_close] Epoch 079 | train=0.000174 | val=RMSE:379.77|MAE:329.28|MAPE:3.26% | epoch_time=0.71s
[efficiency_close] Epoch 080 | train=0.000188 | val=RMSE:330.85|MAE:284.76|MAPE:2.83% | epoch_time=0.72s
[efficiency_close] Epoch 081 | train=0.000155 | val=RMSE:493.00|MAE:447.95|MAPE:4.46% | epoch_time=0.71s
[efficiency_close] Epoch 082 | train=0.000138 | val=RMSE:442.93|MAE:393.16|MAPE:3.90% | epoch_time=0.73s
[efficiency_close] Epoch 083 | train=0.000117 | val=RMSE:425.43|MAE:377.46|MAPE:3.75% | epoch_time=0.70s
[efficiency_close] Epoch 084 | train=0.000144 | val=RMSE:368.06|MAE:320.65|MAPE:3.18% | epoch_time=0.72s
[efficiency_close] Epoch 085 | train=0.000113 | val=RMSE:398.86|MAE:350.46|MAPE:3.48% | epoch_time=0.72s
[efficiency_close] Epoch 086 | train=0.000147 | val=RMSE:350.23|MAE:298.70|MAPE:2.96% | epoch_time=0.72s
[efficiency_close] Epoch 087 | train=0.000136 | val=RMSE:414.31|MAE:365.09|MAPE:3.62% | epoch_time=0.73s
[efficiency_close] Epoch 088 | train=0.000177 | val=RMSE:394.14|MAE:348.01|MAPE:3.46% | epoch_time=0.73s
[efficiency_close] Epoch 089 | train=0.000167 | val=RMSE:403.89|MAE:358.27|MAPE:3.56% | epoch_time=0.72s
[efficiency_close] Epoch 090 | train=0.000117 | val=RMSE:365.11|MAE:316.09|MAPE:3.13% | epoch_time=0.72s
[efficiency_close] Epoch 091 | train=0.000135 | val=RMSE:400.13|MAE:351.32|MAPE:3.49% | epoch_time=0.72s
[efficiency_close] Epoch 092 | train=0.000129 | val=RMSE:414.35|MAE:367.05|MAPE:3.64% | epoch_time=0.72s
[efficiency_close] Epoch 093 | train=0.000128 | val=RMSE:345.54|MAE:295.05|MAPE:2.93% | epoch_time=0.72s
[efficiency_close] Epoch 094 | train=0.000138 | val=RMSE:466.07|MAE:416.05|MAPE:4.13% | epoch_time=0.72s
[efficiency_close] Epoch 095 | train=0.000133 | val=RMSE:412.85|MAE:363.25|MAPE:3.60% | epoch_time=0.72s
[efficiency_close] Epoch 096 | train=0.000143 | val=RMSE:325.94|MAE:279.16|MAPE:2.78% | epoch_time=0.73s
[efficiency_close] Epoch 097 | train=0.000140 | val=RMSE:375.47|MAE:327.64|MAPE:3.26% | epoch_time=0.72s
[efficiency_close] Epoch 098 | train=0.000150 | val=RMSE:331.99|MAE:287.60|MAPE:2.86% | epoch_time=0.72s
[efficiency_close] Epoch 099 | train=0.000161 | val=RMSE:408.24|MAE:356.03|MAPE:3.53% | epoch_time=0.72s
[efficiency_close] Epoch 100 | train=0.000161 | val=RMSE:301.01|MAE:255.37|MAPE:2.54% | epoch_time=0.71s
Saved loss curves: BBCA_close_training_loss_curve.png, BBCA_close_validation_rmse_curve.png
================================================================================
Run timestamp: 2025-11-11 03:53:37
Ticker: BBCA
[efficiency_close] Done. Total elapsed: 131.31s
[efficiency_close] Test RMSE=336.16 MAE=265.86 MAPE=3.00%
[train_close][TCN efficiency] Done on device: cpu
[save_metrics] Final metrics in: /home/ubuntu/skripsi_2602214545/tcn/efficiency/results/metrics
[save_metrics] Files: BBCA_close_val_metrics.(json|txt), BBCA_close_test_metrics.(json|txt)
================================================================================

