-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         0.08%       6.150ms         0.12%       9.465ms      10.756us       3.55 MB     118.00 KB           880  
                                         aten::mse_loss         0.07%       6.104ms         0.23%      19.042ms      43.278us      54.88 KB         128 B           440  
                                           aten::detach         0.07%       6.076ms         0.18%      15.010ms       1.632us           0 B           0 B          9200  
                                    aten::_foreach_mul_         0.07%       5.709ms         0.56%      45.621ms     103.684us           0 B           0 B           440  
                                        aten::transpose         0.07%       5.391ms         0.08%       6.709ms       2.362us           0 B           0 B          2840  
                                           MulBackward0         0.07%       5.351ms         0.85%      70.007ms      19.888us     823.24 MB           0 B          3520  
                                             aten::item         0.06%       4.995ms         0.08%       6.786ms       0.733us           0 B           0 B          9260  
                                 ConstantPadNdBackward0         0.06%       4.910ms         1.59%     130.591ms      42.400us     720.34 MB           0 B          3080  
    autograd::engine::evaluate_function: AddmmBackward0         0.06%       4.675ms         0.32%      25.981ms      59.048us     -99.42 MB    -102.96 MB           440  
                                                aten::t         0.06%       4.665ms         0.10%       8.404ms       3.654us           0 B           0 B          2300  
                                           aten::select         0.05%       4.484ms         0.06%       5.079ms       5.183us           0 B           0 B           980  
                                aten::mse_loss_backward         0.05%       4.461ms         0.11%       8.612ms       9.786us      54.88 KB           0 B           880  
                                       aten::lift_fresh         0.05%       4.225ms         0.05%       4.225ms       0.124us           0 B           0 B         34120  
                                          aten::resize_         0.05%       3.921ms         0.05%       3.921ms       0.240us           0 B           0 B         16340  
      autograd::engine::evaluate_function: AddBackward0         0.05%       3.861ms         0.06%       5.267ms       2.993us           0 B           0 B          1760  
                                         AddmmBackward0         0.04%       3.336ms         0.20%      16.751ms      38.071us       3.54 MB      -8.00 KB           440  
                                             aten::mean         0.04%       3.294ms         0.15%      12.068ms      27.428us           0 B        -600 B           440  
                                   aten::slice_backward         0.04%       3.261ms         0.27%      22.170ms      25.193us     205.81 MB           0 B           880  
                                  aten::select_backward         0.04%       3.124ms         0.22%      18.422ms      41.867us     102.91 MB           0 B           440  
                                             aten::view         0.04%       3.038ms         0.04%       3.038ms       3.099us           0 B           0 B           980  
                                            aten::clamp         0.03%       2.862ms         0.04%       2.903ms       6.599us       1.72 KB       1.72 KB           440  
                                       aten::reciprocal         0.03%       2.510ms         0.03%       2.510ms       5.705us       1.72 KB       1.72 KB           440  
                                           aten::linear         0.03%       2.383ms         0.35%      28.380ms      52.555us      66.64 KB           0 B           540  
                                            aten::zeros         0.03%       2.263ms         0.21%      17.541ms      13.289us     308.72 MB       1.88 MB          1320  
                                       MseLossBackward0         0.03%       2.224ms         0.11%       9.148ms      20.792us      54.88 KB           0 B           440  
                                              aten::abs         0.02%       1.843ms         0.02%       1.843ms       4.190us           0 B           0 B           440  
                              aten::_local_scalar_dense         0.02%       1.790ms         0.02%       1.790ms       0.193us           0 B           0 B          9260  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.759ms         0.13%      10.907ms      24.790us      54.88 KB           0 B           440  
                                         SliceBackward0         0.02%       1.550ms         0.29%      23.719ms      26.954us     205.81 MB           0 B           880  
                                        SelectBackward0         0.02%       1.483ms         0.24%      19.905ms      45.238us     102.91 MB           0 B           440  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.472ms         0.31%      25.191ms      28.626us           0 B    -205.81 MB           880  
                                           AddBackward0         0.02%       1.406ms         0.02%       1.406ms       0.799us           0 B           0 B          1760  
                                aten::broadcast_tensors         0.02%       1.351ms         0.02%       1.351ms       3.071us           0 B           0 B           440  
                                           aten::expand         0.02%       1.292ms         0.02%       1.514ms       2.804us           0 B           0 B           540  
                                       aten::zeros_like         0.02%       1.237ms         0.03%       2.463ms       5.598us      54.88 KB           0 B           440  
autograd::engine::evaluate_function: SqueezeBackward...         0.01%       1.211ms         0.05%       4.134ms       4.698us           0 B           0 B           880  
                                       SqueezeBackward1         0.01%       1.091ms         0.04%       2.923ms       3.322us           0 B           0 B           880  
                                            aten::zero_         0.01%       1.000ms         0.17%      14.317ms       8.135us           0 B           0 B          1760  
                                       aten::contiguous         0.01%     988.857us         1.02%      83.474ms     154.581us       3.09 GB           0 B           540  
                                        aten::ones_like         0.01%     860.029us         0.02%       1.929ms       4.384us       1.72 KB           0 B           440  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     822.432us         0.25%      20.727ms      47.107us      99.48 MB      -3.43 MB           440  
        autograd::engine::evaluate_function: TBackward0         0.01%     805.373us         0.03%       2.242ms       5.096us           0 B           0 B           440  
                                     aten::resolve_conj         0.01%     521.841us         0.01%     521.841us       0.171us           0 B           0 B          3060  
                                             TBackward0         0.01%     476.882us         0.02%       1.437ms       3.265us           0 B           0 B           440  
                                         aten::randperm         0.01%     416.631us         0.01%     889.591us      22.240us     219.53 KB        -160 B            40  
                                          aten::random_         0.00%     160.135us         0.00%     160.135us       8.007us           0 B           0 B            20  
                                    aten::scalar_tensor         0.00%      55.482us         0.00%      55.482us       2.774us         160 B         160 B            20  
                                      aten::resolve_neg         0.00%      27.628us         0.00%      27.628us       0.126us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.197s
