No,Trading Date,Stock Code,Company Name,Remarks,Previous,Open Price,Last Trading Date,First Trade,High,Low,Close,Change,Volume,Value,Frequency,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,2020-01-08,AALI,Astra Agro Lestari Tbk.,--S1K--1,13400,0,08 Jan 2020,0,13400,13200,13325,-75,863000,11450497500,864,1082.5,13350,1100,13325,100,1924688333,1924688333,1924688333,42500,311400,0,0,0
2,2020-01-08,ABBA,Mahaka Media Tbk.,--U9---2,104,0,08 Jan 2020,0,106,102,103,-1,8330500,857578400,692,180.7,104,1537600,103,229400,2755125000,2755125000,2755125000,0,2000,0,0,0
3,2020-01-08,ABDA,Asuransi Bina Dana Arta Tbk.,--U8---2,6925,0,08 Jan 2020,0,0,0,6925,0,0,0,0,1581.0,6925,200,5550,100,620806680,620806680,620806680,0,0,0,0,0
4,2020-01-08,ABMM,ABM Investama Tbk.,--U9---1,1530,0,08 Jan 2020,0,0,0,1530,0,0,0,0,40.8,1500,1000,1205,500,2753165000,2753165000,2753165000,0,0,0,0,0
5,2020-01-08,ACES,Ace Hardware Indonesia Tbk.,--S9KB-1,1440,0,08 Jan 2020,0,1440,1395,1410,-30,32211300,45228834500,5535,1719.5,1410,2296400,1405,832500,17150000000,17150000000,17150000000,22072800,10050800,4241000,6026558000,2
6,2020-01-08,ACST,Acset Indonusa Tbk.,--U6---1,1000,0,08 Jan 2020,0,985,980,985,-15,4800,4710000,8,41.4,990,100,980,26600,700000000,700000000,700000000,0,0,0,0,0
7,2020-01-08,ADES,Akasha Wira International Tbk.,--U5---2,1065,0,08 Jan 2020,0,1060,1030,1060,-5,29800,31143000,27,55.1,1060,30600,1040,2500,589896800,589896800,589896800,0,0,0,0,0
8,2020-01-08,ADHI,Adhi Karya (Persero) Tbk.,--U6K--1,1185,0,08 Jan 2020,0,1185,1160,1160,-25,4249300,4956336000,1244,911.0,1165,87200,1160,40600,3560849376,3560849376,3560849376,483200,52000,3570030,3605534800,3
9,2020-01-08,ADMF,Adira Dinamika Multi Finance Tbk.,--U8---1,10300,0,08 Jan 2020,0,10350,10200,10275,-25,19900,204132500,62,441.9,10300,7800,10275,100,1000000000,1000000000,1000000000,6200,0,0,0,0
10,2020-01-08,ADMG,Polychem Indonesia Tbk,--U3---1,186,0,08 Jan 2020,0,188,186,186,0,143400,26725400,16,16.6,187,121900,186,321500,3889179559,3889179559,3889179559,0,0,0,0,0
11,2020-01-08,ADRO,Adaro Energy Tbk.,XDS2BXO1,1540,1530,08 Jan 2020,1535,1535,1505,1505,-35,55121100,83477755000,7795,136.8,1510,762800,1505,69900,31985962000,31985962000,31985962000,18461800,6645800,296720,448873260,4
12,2020-01-08,AGAR,Asia Sejahtera Mina Tbk.,--U9---2,370,0,08 Jan 2020,0,382,368,380,10,113500,42309600,55,345.5,380,6100,370,13900,1000000000,250000000,1000000000,0,0,0,0,0
13,2020-01-08,AGII,Aneka Gas Industri Tbk.,--S3---1,625,0,08 Jan 2020,0,645,610,620,-5,80700,50014500,42,56.4,625,10600,620,2800,3066660000,3066660000,3066660000,0,0,0,0,0
14,2020-01-08,AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,--M8---1,199,0,08 Jan 2020,0,202,191,192,-7,5405200,1045031400,650,313.7,192,1340000,191,245500,21129857328,21129857328,21129857328,0,0,0,0,0
15,2020-01-08,AGRS,Bank IBK Indonesia Tbk.,--U8---2,141,0,08 Jan 2020,0,169,140,158,17,259100,39058300,100,143.6,160,30400,158,8800,7037266148,7037266148,7037266148,0,0,0,0,0
16,2020-01-08,AHAP,Asuransi Harta Aman Pratama Tbk.,--U8---2,60,0,08 Jan 2020,0,62,57,58,-2,153400,8913200,40,218.7,59,5900,58,21200,2940000000,2940000000,2940000000,0,0,0,0,0
17,2020-01-08,AIMS,Akbar Indo Makmur Stimec Tbk,--U9---2,180,0,08 Jan 2020,0,0,0,180,0,0,0,0,144.0,0,0,0,0,220000000,220000000,220000000,0,0,0,0,0
18,2020-01-08,AISA,Tiga Pilar Sejahtera Food Tbk.,--U5---1,168,0,08 Jan 2020,0,0,0,168,0,0,0,0,20.4,0,0,0,0,3218600000,3218600000,3218600000,0,0,0,0,0
19,2020-01-08,AKKU,Anugerah Kagum Karya Utama Tbk.,--U9---2,50,0,08 Jan 2020,0,50,50,50,0,100,5000,1,75.9,50,4017500,0,0,6449463636,6449463636,6449463636,0,0,0,0,0
20,2020-01-08,AKPI,Argha Karya Prima Industry Tbk.,--U3---2,410,0,08 Jan 2020,0,410,408,410,0,23700,9698000,2,54.1,410,7200,384,20000,680000000,680000000,680000000,0,23700,0,0,0
21,2020-01-08,AKRA,AKR Corporindo Tbk.,--S9XXO1,3530,3500,08 Jan 2020,3500,3580,3490,3560,30,13627700,48444852000,2154,2837.3,3560,1072800,3550,9300,4014694920,4014694920,4014694920,6185500,749700,2065,7289515,3
22,2020-01-08,AKSI,Majapahit Inti Corpora Tbk.,--U7---2,810,0,08 Jan 2020,0,880,610,880,70,39900,30695500,58,440.0,900,3000,775,1700,720000000,720000000,720000000,20400,0,0,0,0
