Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
2020-05-19,14:30:00,,,Interest Rate Decision,4.50%,,4.50%
2020-05-20,10:00:00,,,Balance of Payments (EUR) (Q1),-8.5B,,4.3B
2020-05-20,10:00:00,,,Current Account % of GDP (Q1),-1.40%,,-2.84%
2020-05-21,All Day,,,Indonesia - Ascension Day,,,
2020-05-22,All Day,,,Indonesia - Eid al-Fitr,,,
2020-05-25,All Day,,,Indonesia - Eid al-Fitr,,,
2020-05-26,All Day,,,Indonesia - Eid al-Fitr,,,
2020-05-27,All Day,,,Indonesia - Eid al-Fitr,,,
2020-05-29,09:31:00,,,Loans (YoY) (Apr),5.73%,,7.95%
2020-06-01,All Day,,,Indonesia - Pancasila Day,,,
2020-06-02,11:00:00,,,Inflation (MoM) (May),0.07%,0.04%,0.08%
2020-06-02,11:00:00,,,Inflation (YoY) (May),2.19%,2.15%,2.67%
2020-06-02,11:17:00,,,Core Inflation (YoY) (May),2.65%,2.70%,2.85%
2020-06-03,10:00:00,,,M2 Money Supply (YoY) (Apr),8.60%,,12.10%
2020-06-04,08:00:00,,,Motorbike Sales (YoY),-79.30%,,-3.20%
2020-06-08,10:03:00,,,FX Reserves (USD) (May),130.50B,,127.90B
2020-06-12,11:23:00,,,Consumer Confidence (May),77.8,,84.8
2020-06-15,16:56:00,,,Trade Balance (May),2.09B,0.42B,-0.35B
2020-06-15,16:57:00,,,Car Sales (YoY) (May),-95.80%,,-90.60%
2020-06-15,16:57:00,,,Export Growth (YoY) (May),-28.95%,-17.98%,-7.02%
2020-06-15,16:57:00,,,Import Growth (YoY) (May),-42.20%,-24.55%,-18.58%
2020-06-16,10:06:00,,,Retail Sales (YoY) (Apr),-16.90%,,-4.50%
2020-06-18,14:22:00,,,Deposit Facility Rate (Jun),3.50%,3.50%,3.75%
2020-06-18,14:22:00,,,Lending Facility Rate (Jun),5.00%,5.00%,5.25%
2020-06-18,14:30:00,,,Interest Rate Decision,4.25%,4.25%,4.50%
2020-06-24,18:16:00,,,Loans (YoY) (May),3.04%,,5.73%
2020-06-30,10:00:00,,,M2 Money Supply (YoY) (May),10.40%,,8.60%
2020-07-01,07:30:00,,,Motorbike Sales (YoY),-96.10%,,-79.30%
2020-07-01,11:02:00,,,Inflation (MoM) (Jun),0.18%,0.02%,0.07%
2020-07-01,11:02:00,,,Inflation (YoY) (Jun),1.96%,1.84%,2.19%
2020-07-01,11:11:00,,,Core Inflation (YoY) (Jun),2.26%,2.46%,2.65%
2020-07-06,11:53:00,,,Consumer Confidence (Jun),83.8,,77.8
2020-07-07,10:04:00,,,FX Reserves (USD) (Jun),131.70B,,130.50B
2020-07-08,10:01:00,,,Retail Sales (YoY) (May),-20.60%,,-16.90%
2020-07-15,11:31:00,,,Export Growth (YoY) (Jun),2.28%,-12.26%,-28.95%
2020-07-15,11:42:00,,,Import Growth (YoY) (Jun),-6.36%,-18.70%,-42.20%
2020-07-15,11:42:00,,,Trade Balance (Jun),1.27B,1.11B,2.09B
2020-07-15,16:17:00,,,Car Sales (YoY) (Jun),-78.80%,,-95.80%
2020-07-16,14:25:00,,,Deposit Facility Rate (Jul),3.25%,3.50%,3.50%
2020-07-16,14:25:00,,,Lending Facility Rate (Jul),4.75%,5.00%,5.00%
2020-07-16,14:30:00,,,Interest Rate Decision,4.00%,4.00%,4.25%
2020-07-22,11:20:00,,,Foreign Direct Investment (YoY) (Q2),-6.90%,,-9.20%
2020-07-30,10:00:00,,,M2 Money Supply (YoY) (Jun),8.20%,,10.40%
2020-07-30,12:00:00,,,Motorbike Sales (YoY),-56.40%,,-96.10%
2020-07-31,All Day,,,Indonesia - Eid al-Adha,,,
2020-08-03,14:58:00,,,Inflation (YoY) (Jul),1.54%,1.66%,1.96%
2020-08-03,14:59:00,,,Core Inflation (YoY) (Jul),2.07%,2.11%,2.26%
2020-08-03,14:59:00,,,Inflation (MoM) (Jul),-0.10%,0.03%,0.18%
2020-08-04,10:24:00,,,Loans (YoY) (Jun),1.49%,,3.04%
2020-08-05,11:10:00,,,GDP (YoY) (Q2),-5.32%,-4.61%,2.97%
2020-08-05,11:11:00,,,GDP (QoQ) (Q2),-4.19%,-3.49%,-2.41%
2020-08-06,10:05:00,,,Consumer Confidence (Jul),86.2,,83.8
2020-08-07,10:01:00,,,FX Reserves (USD) (Jul),135.10B,,131.70B
2020-08-11,10:03:00,,,Retail Sales (YoY) (Jun),-17.10%,,-20.60%
2020-08-14,19:30:00,,,Car Sales (YoY),-71.70%,,-78.80%
2020-08-17,All Day,,,Indonesia - Independence Day,,,
2020-08-18,10:12:00,,,Balance of Payments (EUR) (Q2),9.2B,,-8.5B
2020-08-18,10:12:00,,,Current Account % of GDP (Q2),-1.20%,,-1.40%
2020-08-18,11:07:00,,,Export Growth (YoY) (Jul),-9.90%,-16.65%,2.28%
2020-08-18,11:27:00,,,Import Growth (YoY) (Jul),-32.55%,-22.48%,-6.36%
2020-08-18,11:27:00,,,Trade Balance (Jul),3.26B,0.68B,1.27B
2020-08-19,14:30:00,,,Interest Rate Decision,4.00%,4.00%,4.00%
2020-08-19,14:42:00,,,Deposit Facility Rate (Aug),3.25%,3.25%,3.25%
2020-08-19,14:42:00,,,Lending Facility Rate (Aug),4.75%,4.75%,4.75%
2020-08-20,All Day,,,Indonesia - Al- Hijri(Islamic New year),,,
2020-08-21,All Day,,,Indonesia - Commemoration Day,,,
2020-08-24,17:44:00,,,Motorbike Sales (YoY) (May),-56.40%,,-79.30%
2020-08-26,12:00:00,,,Motorbike Sales (YoY),-44.50%,,-56.40%
2020-08-27,10:35:00,,,Loans (YoY) (Jul),1.53%,,1.49%
2020-08-31,10:00:00,,,M2 Money Supply (YoY) (Jul),10.50%,,8.20%
2020-09-01,11:01:00,,,Inflation (MoM) (Aug),-0.05%,0.01%,-0.10%
2020-09-01,11:02:00,,,Inflation (YoY) (Aug),1.32%,1.40%,1.54%
2020-09-02,02:40:00,,,Core Inflation (YoY) (Aug),2.03%,2.00%,2.07%
2020-09-07,10:01:00,,,FX Reserves (USD) (Aug),137.00B,,135.10B
2020-09-07,16:49:00,,,Motorbike Sales (YoY) (Jul),-44.50%,,-56.40%
2020-09-08,10:06:00,,,Consumer Confidence (Aug),86.9,,86.2
2020-09-09,10:27:00,,,Retail Sales (YoY) (Jul),-12.30%,,-17.10%
2020-09-15,11:08:00,,,Export Growth (YoY) (Aug),-8.36%,-5.79%,-9.90%
2020-09-15,11:20:00,,,Import Growth (YoY) (Aug),-24.19%,-20.58%,-32.55%
2020-09-15,11:20:00,,,Trade Balance (Aug),2.33B,2.16B,3.26B
2020-09-15,16:45:00,,,Car Sales (YoY),-58.80%,,-71.70%
2020-09-17,14:23:00,,,Loans (YoY) (Aug),1.04%,,1.53%
2020-09-17,14:28:00,,,Deposit Facility Rate (Sep),3.25%,3.25%,3.25%
2020-09-17,14:28:00,,,Lending Facility Rate (Sep),4.75%,4.75%,4.75%
2020-09-17,14:30:00,,,Interest Rate Decision,4.00%,4.00%,4.00%
2020-09-30,10:00:00,,,M2 Money Supply (YoY) (Aug),13.30%,,10.50%
2020-10-01,13:10:00,,,Core Inflation (YoY) (Sep),1.86%,2.00%,2.03%
2020-10-01,13:10:00,,,Inflation (MoM) (Sep),-0.05%,-0.01%,-0.05%
2020-10-01,13:10:00,,,Inflation (YoY) (Sep),1.42%,1.42%,1.32%
2020-10-01,15:19:00,,,Motorbike Sales (YoY) (Aug),-46.90%,,-44.50%
2020-10-06,10:01:00,,,Consumer Confidence (Sep),83.4,,86.9
2020-10-07,10:05:00,,,FX Reserves (USD) (Sep),135.20B,,137.00B
2020-10-08,10:03:00,,,Retail Sales (YoY) (Aug),-9.20%,,-12.30%
2020-10-13,14:20:00,,,Loans (YoY) (Sep),0.12%,,1.04%
2020-10-13,14:30:00,,,Interest Rate Decision,4.00%,,4.00%
2020-10-13,14:30:00,,,Deposit Facility Rate (Oct),3.25%,3.25%,3.25%
2020-10-13,14:30:00,,,Lending Facility Rate (Oct),4.75%,4.75%,4.75%
2020-10-15,22:27:00,,,Export Growth (YoY) (Sep),-0.51%,-7.20%,-8.36%
2020-10-15,22:27:00,,,Import Growth (YoY) (Sep),-18.88%,-22.40%,-24.19%
2020-10-15,22:27:00,,,Trade Balance (Sep),2.44B,1.98B,2.33B
2020-10-23,10:00:00,,,Foreign Direct Investment (YoY) (Q3),1.10%,,-6.90%
2020-10-27,17:00:00,,,M2 Money Supply (YoY) (Sep),12.30%,,13.30%
2020-10-28,All Day,,,Indonesia - Prophet Mohammad's Birthday,,,
2020-10-29,All Day,,,Indonesia - Prophet Mohammad's Birthday,,,
2020-10-30,All Day,,,Indonesia - Prophet Mohammad's Birthday,,,
2020-10-30,08:28:00,,,Motorbike Sales (YoY) (Sep),-33.20%,,-46.90%
2020-11-02,11:01:00,,,Inflation (MoM) (Oct),0.07%,0.08%,-0.05%
2020-11-02,11:01:00,,,Inflation (YoY) (Oct),1.44%,1.45%,1.42%
2020-11-02,11:09:00,,,Core Inflation (YoY) (Oct),1.74%,1.82%,1.86%
2020-11-05,11:11:00,,,GDP (YoY) (Q3),-3.49%,-3.00%,-5.32%
2020-11-05,11:11:00,,,GDP (QoQ) (Q3),5.05%,5.34%,-4.19%
2020-11-06,09:55:00,,,FX Reserves (USD) (Oct),133.70B,,135.20B
2020-11-09,13:30:00,,,Consumer Confidence (Oct),79,,83.4
2020-11-11,10:47:00,,,Retail Sales (YoY) (Sep),-8.70%,,-9.20%
2020-11-16,12:15:00,,,Export Growth (YoY) (Oct),-3.29%,-4.36%,-0.51%
2020-11-16,12:15:00,,,Import Growth (YoY) (Oct),-26.93%,-18.67%,-18.88%
2020-11-16,12:15:00,,,Trade Balance (Oct),3.61B,2.29B,2.44B
2020-11-16,16:15:00,,,Car Sales (YoY),-49.00%,,-47.90%
2020-11-19,14:21:00,,,Loans (YoY) (Oct),-0.47%,,0.12%
2020-11-19,14:30:00,,,Interest Rate Decision,3.75%,4.00%,4.00%
2020-11-19,17:24:00,,,Deposit Facility Rate (Nov),3.00%,3.25%,3.25%
2020-11-19,17:24:00,,,Lending Facility Rate (Nov),4.50%,4.75%,4.75%
2020-11-20,11:05:00,,,Balance of Payments (EUR) (Q3),2.1B,,9.2B
2020-11-20,11:06:00,,,Current Account % of GDP (Q3),0.40%,,-1.20%
2020-11-30,10:00:00,,,M2 Money Supply (YoY) (Oct),12.50%,,12.40%
2020-12-01,11:04:00,,,Inflation (MoM) (Nov),0.28%,0.21%,0.07%
2020-12-01,11:04:00,,,Inflation (YoY) (Nov),1.59%,1.53%,1.44%
2020-12-01,11:12:00,,,Core Inflation (YoY) (Nov),1.67%,1.70%,1.74%
2020-12-01,18:45:00,,,Motorbike Sales (YoY) (Oct),-46.90%,,-33.20%
2020-12-07,11:00:00,,,FX Reserves (USD) (Nov),133.60B,,133.70B
2020-12-08,14:44:00,,,Consumer Confidence (Nov),92,,79
2020-12-09,All Day,,,Indonesia - Regional Election Day,,,
2020-12-10,10:05:00,,,Retail Sales (YoY) (Oct),-14.90%,,-8.70%
2020-12-15,11:04:00,,,Export Growth (YoY) (Nov),9.54%,2.66%,-3.29%
2020-12-15,11:16:00,,,Import Growth (YoY) (Nov),-17.46%,-24.52%,-26.93%
2020-12-15,11:16:00,,,Trade Balance (Nov),2.62B,2.67B,3.61B
2020-12-15,17:15:00,,,Car Sales (YoY),-41.00%,,-49.00%
2020-12-17,14:28:00,,,Deposit Facility Rate (Dec),3.00%,3.00%,3.00%
2020-12-17,14:28:00,,,Lending Facility Rate (Dec),4.50%,4.50%,4.50%
2020-12-17,14:30:00,,,Interest Rate Decision,3.75%,3.75%,3.75%
2020-12-17,21:51:00,,,Loans (YoY) (Nov),-1.39%,,-0.47%
2020-12-21,15:18:00,,,Motorbike Sales (YoY) (Nov),-56.70%,,-46.90%
2020-12-24,All Day,,,Indonesia - Commemoration Day,,,
2020-12-25,All Day,,,Indonesia - Christmas,,,
2020-12-30,10:00:00,,,M2 Money Supply (YoY) (Nov),12.20%,,12.50%
2020-12-31,All Day,,,Indonesia - Market Holiday,,,
2021-01-01,All Day,,,Indonesia - New Year's Day,,,
2021-01-04,11:02:00,,,Inflation (YoY) (Dec),1.68%,1.61%,1.59%
2021-01-04,11:02:00,,,Inflation (MoM) (Dec),0.45%,0.37%,0.28%
2021-01-04,11:08:00,,,Core Inflation (YoY) (Dec),1.60%,1.70%,1.67%
2021-01-08,10:08:00,,,FX Reserves (USD) (Dec),135.90B,,133.60B
2021-01-11,10:07:00,,,Consumer Confidence (Dec),96.5,,92
2021-01-12,10:05:00,,,Retail Sales (YoY) (Nov),-16.30%,,-14.90%
2021-01-15,12:35:00,,,Export Growth (YoY) (Dec),14.63%,6.30%,-3.81%
2021-01-15,12:35:00,,,Import Growth (YoY) (Dec),-0.47%,-12.47%,-26.92%
2021-01-15,12:35:00,,,Trade Balance (Dec),2.10B,2.30B,3.58B
2021-01-15,15:00:00,,,Loans (YoY) (Nov),-2.41%,,-1.39%
2021-01-15,22:54:00,,,Car Sales (YoY) (Dec),-34.80%,,-49.00%
2021-01-19,22:24:00,,,Motorbike Sales (YoY) (Dec),-45.10%,,-56.70%
2021-01-21,14:29:00,,,Deposit Facility Rate (Jan),3.00%,3.00%,3.00%
2021-01-21,14:29:00,,,Lending Facility Rate (Jan),4.50%,4.50%,4.50%
2021-01-21,14:30:00,,,Interest Rate Decision,3.75%,3.75%,3.75%
2021-01-22,10:00:00,,,M2 Money Supply (YoY) (Nov),12.40%,,12.50%
2021-01-25,11:27:00,,,Foreign Direct Investment (YoY) (Q4),5.50%,,1.10%
2021-02-01,11:01:00,,,Inflation (MoM) (Jan),0.26%,0.36%,0.45%
2021-02-01,11:02:00,,,Inflation (YoY) (Jan),1.55%,1.66%,1.68%
2021-02-01,11:11:00,,,Core Inflation (YoY) (Jan),1.56%,1.53%,1.60%
2021-02-05,09:00:00,,,GDP (YoY) (Q4),-2.19%,-2.00%,-3.49%
2021-02-05,09:00:00,,,GDP (QoQ) (Q4),-0.42%,0.70%,5.05%
2021-02-05,09:12:00,,,GDP Annual,-2.07%,-2.00%,5.02%
2021-02-05,10:10:00,,,FX Reserves (USD) (Jan),138.00B,,135.90B
2021-02-08,21:48:00,,,Consumer Confidence (Jan),84.9,,96.5
2021-02-08,21:48:00,,,FX Reserves (USD) (Jan),138.00B,,135.90B
2021-02-09,13:43:00,,,Retail Sales (YoY) (Dec),-19.20%,,-16.30%
2021-02-12,All Day,,,Indonesia - Chinese New Year,,,
2021-02-15,11:00:00,,,Export Growth (YoY) (Jan),12.24%,13.59%,14.63%
2021-02-15,11:00:00,,,Import Growth (YoY) (Jan),-6.49%,-2.77%,-0.47%
2021-02-15,11:00:00,,,Trade Balance (Jan),1.96B,1.68B,2.10B
2021-02-15,16:32:00,,,Car Sales (YoY) (Jan),-34.22%,,-34.83%
2021-02-18,14:00:00,,,Deposit Facility Rate (Feb),2.75%,2.75%,3.00%
2021-02-18,14:00:00,,,Lending Facility Rate (Feb),4.25%,4.25%,4.50%
2021-02-18,14:25:00,,,Loans (YoY) (Jan),-1.92%,,-2.41%
2021-02-18,14:30:00,,,Interest Rate Decision,3.50%,,3.75%
2021-02-19,11:00:00,,,Balance of Payments (EUR) (Q4),-0.2B,,2.1B
2021-02-19,11:00:00,,,Current Account % of GDP (Q4),0.30%,,0.40%
2021-02-23,10:40:00,,,Motorbike Sales (YoY),-17.30%,,-45.10%
2021-02-23,11:00:00,,,M2 Money Supply (YoY) (Jan),11.80%,,12.40%
2021-02-25,17:03:00,,,Motorbike Sales (YoY) (Jan),-14.70%,,-45.10%
2021-03-01,11:06:00,,,Inflation (YoY) (Feb),1.38%,1.38%,1.55%
2021-03-01,11:06:00,,,Inflation (MoM) (Feb),0.10%,0.09%,0.26%
2021-03-01,11:17:00,,,Core Inflation (YoY) (Feb),1.53%,1.52%,1.56%
2021-03-05,10:00:00,,,FX Reserves (USD) (Feb),138.80B,,138.00B
2021-03-08,10:00:00,,,FX Reserves (USD),138.80B,,138.00B
2021-03-08,11:22:00,,,Consumer Confidence (Feb),85.8,,84.9
2021-03-09,10:03:00,,,Retail Sales (YoY) (Jan),-16.40%,,-19.20%
2021-03-11,All Day,,,Indonesia - Isra Wal Miraj,,,
2021-03-15,11:00:00,,,Export Growth (YoY) (Feb),8.56%,8.73%,12.24%
2021-03-15,11:00:00,,,Import Growth (YoY) (Feb),14.86%,12.60%,-6.49%
2021-03-15,11:00:00,,,Trade Balance (Feb),2.01B,2.21B,1.96B
2021-03-15,17:00:00,,,Car Sales (YoY),-38.20%,,-34.22%
2021-03-15,17:27:00,,,Car Sales (YoY) (Feb),-38.20%,,-34.22%
2021-03-18,14:00:00,,,Deposit Facility Rate (Mar),2.75%,2.75%,2.75%
2021-03-18,14:00:00,,,Lending Facility Rate (Mar),4.25%,4.25%,4.25%
2021-03-18,14:24:00,,,Loans (YoY) (Feb),-2.15%,,-1.92%
2021-03-18,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
2021-03-22,08:40:00,,,Motorbike Sales (YoY),-30.80%,,-14.70%
2021-03-25,11:00:00,,,M2 Money Supply (YoY) (Feb),11.30%,,11.80%
2021-04-01,11:05:00,,,Inflation (YoY) (Mar),1.37%,1.40%,1.38%
2021-04-01,11:05:00,,,Inflation (MoM) (Mar),0.08%,0.14%,0.10%
2021-04-01,11:11:00,,,Core Inflation (YoY) (Mar),1.21%,1.44%,1.53%
2021-04-01,15:16:00,,,Motorbike Sales (YoY) (Feb),-30.80%,,-14.70%
2021-04-02,All Day,,,Indonesia - Good Friday,,,
2021-04-07,10:01:00,,,FX Reserves (USD) (Mar),137.10B,,138.80B
2021-04-09,11:00:00,,,Consumer Confidence (Mar),93.4,,85.8
2021-04-12,10:11:00,,,Retail Sales (YoY) (Feb),-18.10%,,-16.40%
2021-04-14,16:20:00,,,Car Sales (YoY) (Mar),10.54%,,-38.20%
2021-04-15,11:00:00,,,Export Growth (YoY) (Mar),30.47%,11.74%,8.50%
2021-04-15,11:00:00,,,Import Growth (YoY) (Mar),25.73%,6.00%,14.86%
2021-04-15,11:00:00,,,Trade Balance (Mar),1.56B,1.64B,2.01B
2021-04-20,14:00:00,,,Deposit Facility Rate (Apr),2.75%,2.75%,2.75%
2021-04-20,14:00:00,,,Lending Facility Rate (Apr),4.25%,4.25%,4.25%
2021-04-20,14:20:00,,,Loans (YoY) (Mar),-4.13%,,-2.15%
2021-04-20,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
2021-04-23,11:00:00,,,M2 Money Supply (YoY) (Mar),6.90%,,11.30%
2021-04-26,15:00:00,,,Foreign Direct Investment (YoY) (Q1),14.00%,,5.50%
2021-04-26,16:48:00,,,Motorbike Sales (YoY) (Mar),-7.20%,,-30.80%
2021-05-03,11:01:00,,,Inflation (MoM) (Apr),0.13%,0.17%,0.08%
2021-05-03,11:02:00,,,Inflation (YoY) (Apr),1.42%,1.46%,1.37%
2021-05-03,11:09:00,,,Core Inflation (YoY) (Apr),1.18%,1.22%,1.21%
2021-05-05,17:53:00,,,GDP (YoY) (Q1),-0.74%,-0.74%,-2.19%
2021-05-05,17:53:00,,,GDP (QoQ) (Q1),-0.96%,-1.04%,-0.42%
2021-05-07,20:12:00,,,FX Reserves (USD) (Apr),138.80B,,137.10B
2021-05-10,11:00:00,,,Consumer Confidence (Apr),101.5,,93.4
2021-05-11,10:05:00,,,Retail Sales (YoY) (Mar),-14.60%,,-18.10%
2021-05-11,16:20:00,,,Car Sales (YoY) (Apr),902.90%,,10.54%
2021-05-12,All Day,,,Indonesia - Eid al-Fitr,,,
2021-05-13,All Day,,,Indonesia - Eid al-Fitr,,,
2021-05-14,All Day,,,Indonesia - Eid al-Fitr,,,
2021-05-17,All Day,,,Indonesia - Eid al-Fitr,,,
2021-05-18,All Day,,,Indonesia - Eid al-Fitr,,,
2021-05-19,All Day,,,Indonesia - Eid al-Fitr,,,
2021-05-20,11:00:00,,,Export Growth (YoY) (Apr),51.94%,41.00%,30.47%
2021-05-20,11:00:00,,,Import Growth (YoY) (Apr),29.93%,29.81%,25.73%
2021-05-20,11:00:00,,,Trade Balance (Apr),2.19B,1.00B,1.56B
2021-05-21,11:00:00,,,Balance of Payments (EUR) (Q1),4.1B,,-0.2B
2021-05-21,11:00:00,,,Current Account % of GDP (Q1),-0.40%,,0.30%
2021-05-24,12:40:00,,,Motorbike Sales (YoY) (Apr),282.00%,,-7.20%
2021-05-25,14:00:00,,,Deposit Facility Rate (May),2.75%,2.75%,2.75%
2021-05-25,14:00:00,,,Lending Facility Rate (May),4.25%,4.25%,4.25%
2021-05-26,All Day,,,Indonesia - Wesak Day,,,
2021-05-26,06:13:00,,,Loans (YoY) (Apr),-2.28%,,-3.80%
2021-05-27,11:00:00,,,M2 Money Supply (YoY) (Apr),11.50%,,6.90%
2021-05-28,16:30:00,,,Motorbike Sales (YoY) (Apr),282.00%,,-7.20%
2021-06-01,All Day,,,Indonesia - Pancasila Day,,,
2021-06-02,11:02:00,,,Inflation (MoM) (May),0.32%,0.32%,0.13%
2021-06-02,11:03:00,,,Inflation (YoY) (May),1.68%,1.67%,1.42%
2021-06-02,11:11:00,,,Core Inflation (YoY) (May),1.37%,1.28%,1.18%
2021-06-08,10:07:00,,,FX Reserves (USD) (May),136.40B,,138.80B
2021-06-09,11:00:00,,,Consumer Confidence (May),104.4,,101.5
2021-06-10,10:01:00,,,Retail Sales (YoY) (Apr),15.60%,,-14.60%
2021-06-15,11:00:00,,,Export Growth (YoY) (May),58.76%,57.49%,51.94%
2021-06-15,11:00:00,,,Import Growth (YoY) (May),68.68%,65.00%,29.93%
2021-06-15,11:00:00,,,Trade Balance (May),2.37B,2.30B,2.19B
2021-06-15,16:24:00,,,Car Sales (YoY) (May),1443.60%,,902.90%
2021-06-17,14:00:00,,,Deposit Facility Rate (Jun),2.75%,2.75%,2.75%
2021-06-17,14:00:00,,,Lending Facility Rate (Jun),4.25%,4.25%,4.25%
2021-06-17,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
2021-06-17,20:48:00,,,Loans (YoY) (May),-1.28%,,-2.28%
2021-06-18,13:20:00,,,Motorbike Sales (YoY) (May),1065.70%,,282.00%
2021-06-18,17:00:00,,,Car Sales (YoY),1443.60%,,902.90%
2021-06-22,11:00:00,,,M2 Money Supply (YoY) (May),8.10%,,11.50%
2021-07-01,11:00:00,,,Core Inflation (YoY) (Jun),1.49%,1.43%,1.37%
2021-07-01,11:00:00,,,Inflation (YoY) (Jun),1.33%,1.41%,1.68%
2021-07-01,11:00:00,,,Inflation (MoM) (Jun),-0.16%,-0.09%,0.32%
2021-07-07,10:00:00,,,FX Reserves (USD) (Jun),137.10B,,136.40B
2021-07-08,11:00:00,,,Consumer Confidence (Jun),107.4,,104.4
2021-07-09,11:00:00,,,Retail Sales (YoY) (May),14.70%,,15.60%
2021-07-14,16:28:00,,,Car Sales (YoY) (Jun),476.10%,,1443.60%
2021-07-15,11:00:00,,,Export Growth (YoY) (Jun),54.46%,49.90%,58.76%
2021-07-15,11:00:00,,,Import Growth (YoY) (Jun),60.12%,51.35%,68.68%
2021-07-15,11:00:00,,,Trade Balance (Jun),1.32B,2.23B,2.37B
2021-07-16,15:05:00,,,Motorbike Sales (YoY) (Jul),155.10%,,1065.70%
2021-07-20,All Day,,,Indonesia - Eid al-Adha,,,
2021-07-22,14:00:00,,,Deposit Facility Rate (Jul),2.75%,2.75%,2.75%
2021-07-22,14:00:00,,,Lending Facility Rate (Jul),4.25%,4.25%,4.25%
2021-07-22,14:25:00,,,Loans (YoY) (Jun),0.59%,,-1.28%
2021-07-22,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
2021-07-23,11:00:00,,,M2 Money Supply (YoY) (Jun),11.40%,,8.10%
2021-07-27,11:00:00,,,Foreign Direct Investment (YoY) (Q2),19.60%,,14.00%
2021-08-02,11:00:00,,,Core Inflation (YoY) (Jul),1.40%,1.38%,1.49%
2021-08-02,11:00:00,,,Inflation (YoY) (Jul),1.52%,1.45%,1.33%
2021-08-02,11:00:00,,,Inflation (MoM) (Jul),0.08%,0.01%,-0.16%
2021-08-05,11:00:00,,,GDP (YoY) (Q2),7.07%,6.57%,-0.74%
2021-08-05,11:00:00,,,GDP (QoQ) (Q2),3.31%,2.94%,-0.96%
2021-08-06,11:42:00,,,FX Reserves (USD) (Jul),137.30B,,137.10B
2021-08-09,11:00:00,,,Consumer Confidence (Jul),80.2,,107.4
2021-08-10,11:00:00,,,Retail Sales (YoY) (Jun),2.50%,,14.70%
2021-08-10,15:30:00,,,Retail Sales (YoY) (Jun),2.50%,,14.70%
2021-08-11,All Day,,,Indonesia - Muslim New Year,,,
2021-08-13,17:35:00,,,Car Sales (YoY) (Jul),163.55%,,476.10%
2021-08-17,All Day,,,Indonesia - Independence Day,,,
2021-08-18,11:00:00,,,Export Growth (YoY) (Jul),29.32%,30.20%,54.46%
2021-08-18,11:00:00,,,Import Growth (YoY) (Jul),44.44%,52.15%,60.12%
2021-08-18,11:00:00,,,Trade Balance (Jul),2.59B,2.27B,1.32B
2021-08-19,11:00:00,,,Motorbike Sales (YoY) (Jun),28.90%,,155.10%
2021-08-19,14:00:00,,,Deposit Facility Rate (Aug),2.75%,2.75%,2.75%
2021-08-19,14:00:00,,,Lending Facility Rate (Aug),4.25%,4.25%,4.25%
2021-08-19,14:19:00,,,Loans (YoY) (Jul),0.50%,,0.59%
2021-08-19,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
2021-08-20,11:00:00,,,Balance of Payments (EUR) (Q2),-0.4B,,4.1B
2021-08-20,11:00:00,,,Current Account % of GDP (Q2),-0.80%,,-0.40%
2021-08-25,11:00:00,,,M2 Money Supply (YoY) (Jul),8.90%,,11.40%
2021-08-25,14:59:00,,,Motorbike Sales (YoY) (Jul),28.90%,,155.10%
2021-09-01,11:00:00,,,Core Inflation (YoY) (Aug),1.31%,1.30%,1.40%
2021-09-01,11:00:00,,,Inflation (YoY) (Aug),1.59%,1.60%,1.52%
2021-09-01,11:00:00,,,Inflation (MoM) (Aug),0.03%,0.03%,0.08%
2021-09-07,10:10:00,,,FX Reserves (USD) (Aug),144.80B,,137.30B
2021-09-08,11:00:00,,,Consumer Confidence (Aug),77.3,,80.2
2021-09-09,11:00:00,,,Retail Sales (YoY) (Jul),-2.90%,,2.50%
2021-09-14,12:25:00,,,Car Sales (YoY) (Aug),123.50%,,163.55%
2021-09-15,11:00:00,,,Export Growth (YoY) (Aug),64.10%,36.90%,29.32%
2021-09-15,11:00:00,,,Import Growth (YoY) (Aug),55.26%,45.10%,44.44%
2021-09-15,11:00:00,,,Trade Balance (Aug),4.74B,2.36B,2.59B
2021-09-15,17:00:00,,,Car Sales (YoY),123.50%,,163.55%
2021-09-17,08:00:00,,,Motorbike Sales (YoY) (Jul),48.20%,,28.90%
2021-09-21,14:00:00,,,Deposit Facility Rate (Sep),2.75%,2.75%,2.75%
2021-09-21,14:00:00,,,Lending Facility Rate (Sep),4.25%,4.25%,4.25%
2021-09-21,14:18:00,,,Loans (YoY) (Aug),1.16%,,0.50%
2021-09-21,14:30:00,,,Interest Rate Decision,3.50%,,3.50%
2021-09-22,11:00:00,,,M2 Money Supply (YoY) (Aug),6.90%,,8.90%
2021-10-01,11:00:00,,,Core Inflation (YoY) (Sep),1.30%,1.30%,1.31%
2021-10-01,11:00:00,,,Inflation (YoY) (Sep),1.60%,1.69%,1.59%
2021-10-01,11:00:00,,,Inflation (MoM) (Sep),-0.04%,0.01%,0.03%
2021-10-07,10:12:00,,,FX Reserves (USD) (Sep),146.90B,,144.80B
2021-10-08,11:00:00,,,Consumer Confidence (Sep),95.5,,77.3
