-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         0.08%       5.706ms         0.12%       8.657ms       9.838us       3.65 MB     229.25 KB           880  
                                         aten::mse_loss         0.08%       5.682ms         0.23%      17.283ms      39.279us      54.88 KB         384 B           440  
                                    aten::_foreach_mul_         0.07%       5.324ms         0.60%      44.478ms     101.085us           0 B           0 B           440  
                                           aten::detach         0.07%       5.267ms         0.17%      13.036ms       1.417us           0 B           0 B          9200  
                                        aten::transpose         0.06%       4.693ms         0.08%       5.882ms       2.071us           0 B           0 B          2840  
                                           MulBackward0         0.06%       4.564ms         0.87%      64.544ms      18.336us     823.24 MB           0 B          3520  
                                             aten::item         0.06%       4.546ms         0.08%       6.215ms       0.671us           0 B           0 B          9260  
                                 ConstantPadNdBackward0         0.06%       4.480ms         1.62%     121.057ms      39.304us     720.34 MB           0 B          3080  
                                aten::mse_loss_backward         0.05%       4.091ms         0.11%       8.029ms       9.124us      54.88 KB           0 B           880  
                                                aten::t         0.05%       4.039ms         0.10%       7.236ms       3.146us           0 B           0 B          2300  
    autograd::engine::evaluate_function: AddmmBackward0         0.05%       4.004ms         0.31%      23.131ms      52.570us     -99.42 MB    -102.96 MB           440  
                                           aten::select         0.05%       3.993ms         0.06%       4.508ms       4.600us           0 B           0 B           980  
                                       aten::lift_fresh         0.05%       3.925ms         0.05%       3.925ms       0.115us           0 B           0 B         34120  
                                          aten::resize_         0.05%       3.862ms         0.05%       3.862ms       0.236us           0 B           0 B         16340  
      autograd::engine::evaluate_function: AddBackward0         0.05%       3.585ms         0.07%       4.904ms       2.786us           0 B           0 B          1760  
                                             aten::mean         0.04%       3.009ms         0.15%      10.908ms      24.790us           0 B        -672 B           440  
                                         AddmmBackward0         0.04%       2.931ms         0.20%      14.965ms      34.011us       3.54 MB    -119.25 KB           440  
                                   aten::slice_backward         0.04%       2.806ms         0.27%      20.507ms      23.303us     205.81 MB           0 B           880  
                                  aten::select_backward         0.04%       2.684ms         0.22%      16.673ms      37.893us     102.91 MB           0 B           440  
                                             aten::view         0.04%       2.643ms         0.04%       2.643ms       2.697us           0 B           0 B           980  
                                            aten::clamp         0.03%       2.294ms         0.03%       2.333ms       5.302us       1.72 KB       1.72 KB           440  
                                       aten::reciprocal         0.03%       2.281ms         0.03%       2.281ms       5.183us       1.72 KB       1.72 KB           440  
                                           aten::linear         0.03%       2.143ms         0.34%      25.070ms      46.426us      66.64 KB           0 B           540  
                                            aten::zeros         0.03%       2.121ms         0.21%      16.028ms      12.143us     308.72 MB       2.32 MB          1320  
                                       MseLossBackward0         0.03%       2.018ms         0.11%       8.463ms      19.234us      54.88 KB           0 B           440  
                                              aten::abs         0.02%       1.723ms         0.02%       1.723ms       3.916us           0 B           0 B           440  
                              aten::_local_scalar_dense         0.02%       1.668ms         0.02%       1.668ms       0.180us           0 B           0 B          9260  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.565ms         0.13%      10.028ms      22.791us      54.88 KB           0 B           440  
                                         SliceBackward0         0.02%       1.489ms         0.29%      21.995ms      24.995us     205.81 MB           0 B           880  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.391ms         0.31%      23.386ms      26.575us           0 B    -205.81 MB           880  
                                        SelectBackward0         0.02%       1.331ms         0.24%      18.004ms      40.918us     102.91 MB           0 B           440  
                                           AddBackward0         0.02%       1.319ms         0.02%       1.319ms       0.749us           0 B           0 B          1760  
                                aten::broadcast_tensors         0.02%       1.268ms         0.02%       1.268ms       2.882us           0 B           0 B           440  
                                           aten::expand         0.02%       1.243ms         0.02%       1.440ms       2.666us           0 B           0 B           540  
                                       aten::zeros_like         0.02%       1.202ms         0.03%       2.354ms       5.350us      54.88 KB           0 B           440  
autograd::engine::evaluate_function: SqueezeBackward...         0.01%       1.060ms         0.05%       3.753ms       4.264us           0 B           0 B           880  
                                       SqueezeBackward1         0.01%     979.499us         0.04%       2.693ms       3.060us           0 B           0 B           880  
                                            aten::zero_         0.01%     957.055us         0.18%      13.166ms       7.481us           0 B           0 B          1760  
                                       aten::contiguous         0.01%     946.023us         1.03%      76.980ms     142.556us       3.09 GB           0 B           540  
                                        aten::ones_like         0.01%     753.615us         0.02%       1.676ms       3.810us       1.72 KB           0 B           440  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     704.782us         0.25%      18.709ms      42.519us      99.48 MB      -3.43 MB           440  
        autograd::engine::evaluate_function: TBackward0         0.01%     697.453us         0.03%       1.939ms       4.406us           0 B           0 B           440  
                                     aten::resolve_conj         0.01%     437.219us         0.01%     437.219us       0.143us           0 B           0 B          3060  
                                             TBackward0         0.01%     422.350us         0.02%       1.241ms       2.821us           0 B           0 B           440  
                                         aten::randperm         0.01%     422.288us         0.01%     895.311us      22.383us     219.53 KB        -160 B            40  
                                          aten::random_         0.00%     149.808us         0.00%     149.808us       7.490us           0 B           0 B            20  
                                    aten::scalar_tensor         0.00%      54.727us         0.00%      54.727us       2.736us         160 B         160 B            20  
                                      aten::resolve_neg         0.00%      23.354us         0.00%      23.354us       0.106us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.461s
