[train_close][TCN efficiency] Running on device: cpu
[train_close][TCN efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 049 | train=0.000462 | val=RMSE:176.74|MAE:142.86|MAPE:2.90% | epoch_time=0.79s
[efficiency_close] Epoch 050 | train=0.000517 | val=RMSE:176.32|MAE:141.48|MAPE:2.87% | epoch_time=0.78s
[efficiency_close] Epoch 051 | train=0.000395 | val=RMSE:196.27|MAE:163.24|MAPE:3.32% | epoch_time=0.79s
[efficiency_close] Epoch 052 | train=0.000432 | val=RMSE:161.80|MAE:121.92|MAPE:2.47% | epoch_time=0.79s
[efficiency_close] Epoch 053 | train=0.000376 | val=RMSE:167.76|MAE:129.40|MAPE:2.64% | epoch_time=0.79s
[efficiency_close] Epoch 054 | train=0.000408 | val=RMSE:162.74|MAE:129.95|MAPE:2.63% | epoch_time=0.78s
[efficiency_close] Epoch 055 | train=0.000342 | val=RMSE:216.60|MAE:182.38|MAPE:3.71% | epoch_time=0.79s
[efficiency_close] Epoch 056 | train=0.000490 | val=RMSE:161.46|MAE:125.50|MAPE:2.55% | epoch_time=0.79s
[efficiency_close] Epoch 057 | train=0.000435 | val=RMSE:195.03|MAE:163.52|MAPE:3.33% | epoch_time=0.78s
[efficiency_close] Epoch 058 | train=0.000443 | val=RMSE:192.56|MAE:160.38|MAPE:3.26% | epoch_time=0.78s
[efficiency_close] Epoch 059 | train=0.000451 | val=RMSE:163.15|MAE:129.55|MAPE:2.64% | epoch_time=0.78s
[efficiency_close] Epoch 060 | train=0.000625 | val=RMSE:206.49|MAE:171.20|MAPE:3.43% | epoch_time=0.78s
[efficiency_close] Epoch 061 | train=0.000753 | val=RMSE:209.86|MAE:177.15|MAPE:3.60% | epoch_time=0.78s
[efficiency_close] Epoch 062 | train=0.000337 | val=RMSE:187.24|MAE:155.67|MAPE:3.17% | epoch_time=0.78s
[efficiency_close] Epoch 063 | train=0.000374 | val=RMSE:161.49|MAE:125.90|MAPE:2.55% | epoch_time=0.78s
[efficiency_close] Epoch 064 | train=0.000395 | val=RMSE:173.80|MAE:141.37|MAPE:2.88% | epoch_time=0.79s
[efficiency_close] Epoch 065 | train=0.000352 | val=RMSE:174.64|MAE:140.95|MAPE:2.87% | epoch_time=0.78s
[efficiency_close] Epoch 066 | train=0.000315 | val=RMSE:165.74|MAE:133.41|MAPE:2.71% | epoch_time=0.78s
[efficiency_close] Epoch 067 | train=0.000280 | val=RMSE:171.94|MAE:138.44|MAPE:2.81% | epoch_time=0.78s
[efficiency_close] Epoch 068 | train=0.000343 | val=RMSE:164.23|MAE:130.90|MAPE:2.65% | epoch_time=0.77s
[efficiency_close] Epoch 069 | train=0.000342 | val=RMSE:173.43|MAE:140.50|MAPE:2.85% | epoch_time=0.80s
[efficiency_close] Epoch 070 | train=0.000313 | val=RMSE:173.59|MAE:138.08|MAPE:2.81% | epoch_time=0.78s
[efficiency_close] Epoch 071 | train=0.000341 | val=RMSE:184.05|MAE:149.81|MAPE:3.06% | epoch_time=0.79s
[efficiency_close] Epoch 072 | train=0.000297 | val=RMSE:183.79|MAE:151.30|MAPE:3.07% | epoch_time=0.79s
[efficiency_close] Epoch 073 | train=0.000285 | val=RMSE:174.85|MAE:140.86|MAPE:2.86% | epoch_time=0.79s
[efficiency_close] Epoch 074 | train=0.000337 | val=RMSE:189.51|MAE:155.38|MAPE:3.15% | epoch_time=0.78s
[efficiency_close] Epoch 075 | train=0.000325 | val=RMSE:183.74|MAE:148.59|MAPE:3.01% | epoch_time=0.79s
[efficiency_close] Epoch 076 | train=0.000286 | val=RMSE:173.12|MAE:138.54|MAPE:2.81% | epoch_time=0.78s
[efficiency_close] Epoch 077 | train=0.000372 | val=RMSE:224.98|MAE:192.85|MAPE:3.90% | epoch_time=0.79s
[efficiency_close] Epoch 078 | train=0.000481 | val=RMSE:191.51|MAE:157.64|MAPE:3.20% | epoch_time=0.80s
[efficiency_close] Epoch 079 | train=0.000635 | val=RMSE:171.52|MAE:136.21|MAPE:2.78% | epoch_time=0.79s
[efficiency_close] Epoch 080 | train=0.000643 | val=RMSE:209.39|MAE:176.26|MAPE:3.58% | epoch_time=0.79s
[efficiency_close] Epoch 081 | train=0.000558 | val=RMSE:165.48|MAE:131.18|MAPE:2.66% | epoch_time=0.79s
[efficiency_close] Epoch 082 | train=0.000604 | val=RMSE:157.05|MAE:117.23|MAPE:2.37% | epoch_time=0.80s
[efficiency_close] Epoch 083 | train=0.000386 | val=RMSE:175.31|MAE:138.97|MAPE:2.83% | epoch_time=0.79s
[efficiency_close] Epoch 084 | train=0.000319 | val=RMSE:182.87|MAE:149.24|MAPE:3.04% | epoch_time=0.78s
[efficiency_close] Epoch 085 | train=0.000374 | val=RMSE:158.65|MAE:123.81|MAPE:2.51% | epoch_time=0.78s
[efficiency_close] Epoch 086 | train=0.000266 | val=RMSE:161.64|MAE:125.71|MAPE:2.54% | epoch_time=0.78s
[efficiency_close] Epoch 087 | train=0.000252 | val=RMSE:187.87|MAE:152.25|MAPE:3.08% | epoch_time=0.78s
[efficiency_close] Epoch 088 | train=0.000299 | val=RMSE:170.44|MAE:134.37|MAPE:2.72% | epoch_time=0.77s
[efficiency_close] Epoch 089 | train=0.000278 | val=RMSE:165.59|MAE:131.28|MAPE:2.66% | epoch_time=0.78s
[efficiency_close] Epoch 090 | train=0.000290 | val=RMSE:159.37|MAE:122.64|MAPE:2.48% | epoch_time=0.78s
[efficiency_close] Epoch 091 | train=0.000291 | val=RMSE:168.16|MAE:130.22|MAPE:2.64% | epoch_time=0.78s
[efficiency_close] Epoch 092 | train=0.000371 | val=RMSE:162.41|MAE:125.98|MAPE:2.55% | epoch_time=0.77s
[efficiency_close] Epoch 093 | train=0.000357 | val=RMSE:164.79|MAE:127.69|MAPE:2.57% | epoch_time=0.78s
[efficiency_close] Epoch 094 | train=0.000315 | val=RMSE:153.31|MAE:115.78|MAPE:2.35% | epoch_time=0.77s
[efficiency_close] Epoch 095 | train=0.000282 | val=RMSE:163.55|MAE:127.31|MAPE:2.58% | epoch_time=0.78s
[efficiency_close] Epoch 096 | train=0.000321 | val=RMSE:159.40|MAE:121.27|MAPE:2.44% | epoch_time=0.78s
[efficiency_close] Epoch 097 | train=0.000235 | val=RMSE:161.14|MAE:125.75|MAPE:2.54% | epoch_time=0.78s
[efficiency_close] Epoch 098 | train=0.000283 | val=RMSE:163.37|MAE:126.69|MAPE:2.56% | epoch_time=0.78s
[efficiency_close] Epoch 099 | train=0.000250 | val=RMSE:158.48|MAE:120.16|MAPE:2.44% | epoch_time=0.78s
[efficiency_close] Epoch 100 | train=0.000260 | val=RMSE:165.53|MAE:129.22|MAPE:2.62% | epoch_time=0.78s
Saved loss curves: ASII_close_training_loss_curve.png, ASII_close_validation_rmse_curve.png
================================================================================
Run timestamp: 2025-11-11 03:47:26
Ticker: ASII
[efficiency_close] Done. Total elapsed: 139.37s
[efficiency_close] Test RMSE=314.77 MAE=255.51 MAPE=5.22%
[train_close][TCN efficiency] Done on device: cpu
[save_metrics] Final metrics in: /home/ubuntu/skripsi_2602214545/tcn/efficiency/results/metrics
[save_metrics] Files: ASII_close_val_metrics.(json|txt), ASII_close_test_metrics.(json|txt)
================================================================================

