-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         0.08%       6.292ms         0.12%       9.552ms      10.855us       3.56 MB     134.00 KB           880  
                                         aten::mse_loss         0.08%       6.140ms         0.23%      18.786ms      42.696us      54.88 KB         384 B           440  
                                    aten::_foreach_mul_         0.07%       5.756ms         0.56%      45.722ms     103.914us           0 B           0 B           440  
                                           aten::detach         0.07%       5.725ms         0.18%      14.291ms       1.553us           0 B           0 B          9200  
                                        aten::transpose         0.07%       5.315ms         0.08%       6.623ms       2.332us           0 B           0 B          2840  
                                           MulBackward0         0.06%       5.127ms         0.84%      68.487ms      19.456us     823.24 MB           0 B          3520  
                                             aten::item         0.06%       4.946ms         0.08%       6.841ms       0.739us           0 B           0 B          9260  
                                 ConstantPadNdBackward0         0.06%       4.855ms         1.57%     127.791ms      41.491us     720.34 MB           0 B          3080  
                                                aten::t         0.06%       4.579ms         0.10%       8.244ms       3.584us           0 B           0 B          2300  
    autograd::engine::evaluate_function: AddmmBackward0         0.06%       4.467ms         0.32%      25.925ms      58.920us     -99.42 MB    -102.96 MB           440  
                                aten::mse_loss_backward         0.05%       4.442ms         0.11%       8.715ms       9.904us      54.88 KB           0 B           880  
                                           aten::select         0.05%       4.396ms         0.06%       4.980ms       5.081us           0 B           0 B           980  
                                       aten::lift_fresh         0.05%       4.334ms         0.05%       4.334ms       0.127us           0 B           0 B         34120  
                                          aten::resize_         0.05%       4.220ms         0.05%       4.220ms       0.258us           0 B           0 B         16340  
      autograd::engine::evaluate_function: AddBackward0         0.05%       3.907ms         0.06%       5.234ms       2.974us           0 B           0 B          1760  
                                         AddmmBackward0         0.04%       3.365ms         0.21%      16.865ms      38.330us       3.54 MB     -24.00 KB           440  
                                             aten::mean         0.04%       3.182ms         0.15%      11.909ms      27.066us           0 B        -640 B           440  
                                  aten::select_backward         0.04%       3.160ms         0.23%      18.380ms      41.773us     102.91 MB           0 B           440  
                                             aten::view         0.04%       3.070ms         0.04%       3.070ms       3.132us           0 B           0 B           980  
                                   aten::slice_backward         0.04%       2.994ms         0.26%      21.354ms      24.266us     205.81 MB           0 B           880  
                                            aten::clamp         0.03%       2.709ms         0.03%       2.753ms       6.256us       1.72 KB       1.72 KB           440  
                                       aten::reciprocal         0.03%       2.494ms         0.03%       2.494ms       5.668us       1.72 KB       1.72 KB           440  
