-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         0.08%       5.698ms         0.12%       8.657ms       9.838us       3.61 MB     189.25 KB           880  
                                         aten::mse_loss         0.08%       5.585ms         0.23%      17.347ms      39.426us      54.88 KB         768 B           440  
                                    aten::_foreach_mul_         0.07%       5.444ms         0.59%      43.977ms      99.948us           0 B           0 B           440  
                                           aten::detach         0.07%       5.162ms         0.17%      12.851ms       1.397us           0 B           0 B          9200  
                                        aten::transpose         0.06%       4.751ms         0.08%       5.926ms       2.087us           0 B           0 B          2840  
                                             aten::item         0.06%       4.646ms         0.08%       6.230ms       0.673us           0 B           0 B          9260  
                                           MulBackward0         0.06%       4.448ms         0.85%      63.278ms      17.977us     823.24 MB           0 B          3520  
                                                aten::t         0.06%       4.324ms         0.10%       7.554ms       3.284us           0 B           0 B          2300  
                                 ConstantPadNdBackward0         0.06%       4.182ms         1.59%     118.328ms      38.418us     720.34 MB           0 B          3080  
    autograd::engine::evaluate_function: AddmmBackward0         0.06%       4.095ms         0.31%      23.205ms      52.740us     -99.42 MB    -102.96 MB           440  
                                           aten::select         0.05%       4.013ms         0.06%       4.524ms       4.616us           0 B           0 B           980  
                                          aten::resize_         0.05%       3.962ms         0.05%       3.962ms       0.242us           0 B           0 B         16340  
                                aten::mse_loss_backward         0.05%       3.930ms         0.10%       7.750ms       8.807us      54.88 KB           0 B           880  
                                       aten::lift_fresh         0.05%       3.823ms         0.05%       3.823ms       0.112us           0 B           0 B         34120  
      autograd::engine::evaluate_function: AddBackward0         0.05%       3.509ms         0.06%       4.735ms       2.690us           0 B           0 B          1760  
                                             aten::mean         0.04%       3.115ms         0.15%      11.091ms      25.206us           0 B        -632 B           440  
                                   aten::slice_backward         0.04%       3.037ms         0.28%      20.437ms      23.224us     205.81 MB           0 B           880  
                                         AddmmBackward0         0.04%       2.991ms         0.20%      15.114ms      34.349us       3.54 MB     -79.25 KB           440  
                                  aten::select_backward         0.04%       2.744ms         0.22%      16.463ms      37.416us     102.91 MB           0 B           440  
                                             aten::view         0.04%       2.650ms         0.04%       2.650ms       2.704us           0 B           0 B           980  
                                            aten::clamp         0.03%       2.418ms         0.03%       2.457ms       5.583us       1.72 KB       1.72 KB           440  
                                       aten::reciprocal         0.03%       2.374ms         0.03%       2.374ms       5.395us       1.72 KB       1.72 KB           440  
                                           aten::linear         0.03%       2.108ms         0.34%      25.599ms      47.406us      66.64 KB           0 B           540  
                                            aten::zeros         0.03%       2.052ms         0.21%      15.644ms      11.852us     308.72 MB       4.22 MB          1320  
                                       MseLossBackward0         0.03%       2.033ms         0.11%       8.308ms      18.882us      54.88 KB           0 B           440  
                                              aten::abs         0.02%       1.691ms         0.02%       1.691ms       3.844us           0 B           0 B           440  
                              aten::_local_scalar_dense         0.02%       1.584ms         0.02%       1.584ms       0.171us           0 B           0 B          9260  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.543ms         0.13%       9.851ms      22.388us      54.88 KB           0 B           440  
                                         SliceBackward0         0.02%       1.379ms         0.29%      21.816ms      24.791us     205.81 MB           0 B           880  
                                        SelectBackward0         0.02%       1.354ms         0.24%      17.817ms      40.493us     102.91 MB           0 B           440  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.345ms         0.31%      23.162ms      26.320us           0 B    -205.81 MB           880  
                                aten::broadcast_tensors         0.02%       1.261ms         0.02%       1.261ms       2.866us           0 B           0 B           440  
                                           AddBackward0         0.02%       1.226ms         0.02%       1.226ms       0.697us           0 B           0 B          1760  
                                       aten::zeros_like         0.02%       1.163ms         0.03%       2.345ms       5.330us      54.88 KB           0 B           440  
                                           aten::expand         0.02%       1.162ms         0.02%       1.397ms       2.588us           0 B           0 B           540  
autograd::engine::evaluate_function: SqueezeBackward...         0.01%       1.098ms         0.05%       3.821ms       4.342us           0 B           0 B           880  
                                       SqueezeBackward1         0.01%     978.512us         0.04%       2.723ms       3.094us           0 B           0 B           880  
                                            aten::zero_         0.01%     915.377us         0.17%      12.782ms       7.262us           0 B           0 B          1760  
                                       aten::contiguous         0.01%     911.817us         1.06%      78.732ms     145.801us       3.09 GB           0 B           540  
                                        aten::ones_like         0.01%     800.191us         0.02%       1.746ms       3.967us       1.72 KB           0 B           440  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     764.371us         0.25%      18.581ms      42.230us      99.48 MB      -3.43 MB           440  
        autograd::engine::evaluate_function: TBackward0         0.01%     733.502us         0.03%       1.988ms       4.519us           0 B           0 B           440  
                                     aten::resolve_conj         0.01%     448.942us         0.01%     448.942us       0.147us           0 B           0 B          3060  
                                             TBackward0         0.01%     407.841us         0.02%       1.255ms       2.852us           0 B           0 B           440  
                                         aten::randperm         0.01%     388.553us         0.01%     831.052us      20.776us     219.53 KB        -160 B            40  
                                          aten::random_         0.00%     151.463us         0.00%     151.463us       7.573us           0 B           0 B            20  
                                    aten::scalar_tensor         0.00%      52.061us         0.00%      52.061us       2.603us         160 B         160 B            20  
                                      aten::resolve_neg         0.00%      22.490us         0.00%      22.490us       0.102us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.425s
