-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         0.08%       6.659ms         0.12%      10.039ms      11.408us       3.56 MB     134.00 KB           880  
                                         aten::mse_loss         0.08%       6.622ms         0.24%      20.470ms      46.523us      54.88 KB         128 B           440  
                                           aten::detach         0.07%       6.261ms         0.18%      15.386ms       1.672us           0 B           0 B          9200  
                                    aten::_foreach_mul_         0.07%       5.850ms         0.57%      47.714ms     108.440us           0 B           0 B           440  
                                        aten::transpose         0.07%       5.624ms         0.08%       6.944ms       2.445us           0 B           0 B          2840  
                                           MulBackward0         0.06%       5.332ms         0.88%      73.387ms      20.849us     823.24 MB           0 B          3520  
                                             aten::item         0.06%       5.156ms         0.08%       7.004ms       0.756us           0 B           0 B          9260  
                                                aten::t         0.06%       5.132ms         0.11%       8.905ms       3.872us           0 B           0 B          2300  
                                 ConstantPadNdBackward0         0.06%       5.128ms         1.56%     130.675ms      42.427us     720.34 MB           0 B          3080  
                                           aten::select         0.06%       4.712ms         0.06%       5.292ms       5.400us           0 B           0 B           980  
    autograd::engine::evaluate_function: AddmmBackward0         0.06%       4.705ms         0.33%      27.222ms      61.868us     -99.42 MB    -102.96 MB           440  
                                aten::mse_loss_backward         0.06%       4.683ms         0.11%       9.047ms      10.281us      54.88 KB           0 B           880  
                                       aten::lift_fresh         0.05%       4.206ms         0.05%       4.206ms       0.123us           0 B           0 B         34120  
      autograd::engine::evaluate_function: AddBackward0         0.05%       4.089ms         0.07%       5.589ms       3.175us           0 B           0 B          1760  
                                          aten::resize_         0.05%       4.034ms         0.05%       4.034ms       0.247us           0 B           0 B         16340  
                                             aten::view         0.04%       3.636ms         0.04%       3.636ms       3.710us           0 B           0 B           980  
                                             aten::mean         0.04%       3.558ms         0.16%      12.992ms      29.527us           0 B        -544 B           440  
                                         AddmmBackward0         0.04%       3.463ms         0.21%      17.506ms      39.785us       3.54 MB     -24.00 KB           440  
                                   aten::slice_backward         0.04%       3.202ms         0.27%      22.576ms      25.655us     205.81 MB           0 B           880  
                                  aten::select_backward         0.04%       3.149ms         0.23%      19.019ms      43.224us     102.91 MB           0 B           440  
                                            aten::clamp         0.04%       3.050ms         0.04%       3.091ms       7.025us       1.72 KB       1.72 KB           440  
                                       aten::reciprocal         0.03%       2.712ms         0.03%       2.712ms       6.163us       1.72 KB       1.72 KB           440  
                                           aten::linear         0.03%       2.647ms         0.37%      30.733ms      56.913us      66.64 KB           0 B           540  
                                       MseLossBackward0         0.03%       2.488ms         0.12%       9.739ms      22.134us      54.88 KB           0 B           440  
                                            aten::zeros         0.03%       2.327ms         0.22%      18.433ms      13.964us     308.72 MB       1.64 MB          1320  
                                              aten::abs         0.02%       1.899ms         0.02%       1.899ms       4.315us           0 B           0 B           440  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.889ms         0.14%      11.628ms      26.428us      54.88 KB           0 B           440  
                              aten::_local_scalar_dense         0.02%       1.848ms         0.02%       1.848ms       0.200us           0 B           0 B          9260  
                                         SliceBackward0         0.02%       1.643ms         0.29%      24.219ms      27.521us     205.81 MB           0 B           880  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.536ms         0.31%      25.755ms      29.267us           0 B    -205.81 MB           880  
                                        SelectBackward0         0.02%       1.536ms         0.25%      20.555ms      46.716us     102.91 MB           0 B           440  
                                aten::broadcast_tensors         0.02%       1.508ms         0.02%       1.508ms       3.428us           0 B           0 B           440  
                                           AddBackward0         0.02%       1.500ms         0.02%       1.500ms       0.852us           0 B           0 B          1760  
                                           aten::expand         0.02%       1.477ms         0.02%       1.703ms       3.153us           0 B           0 B           540  
                                       aten::zeros_like         0.02%       1.279ms         0.03%       2.568ms       5.837us      54.88 KB           0 B           440  
autograd::engine::evaluate_function: SqueezeBackward...         0.01%       1.216ms         0.05%       4.287ms       4.872us           0 B           0 B           880  
                                       SqueezeBackward1         0.01%       1.145ms         0.04%       3.071ms       3.490us           0 B           0 B           880  
