-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::pad         0.08%       6.747ms         2.93%     238.288ms      55.159us       4.39 GB           0 B          4320  
                                               aten::mm         0.08%       6.271ms         0.12%       9.585ms      10.893us       3.55 MB     118.00 KB           880  
                                         aten::mse_loss         0.08%       6.255ms         0.24%      19.350ms      43.976us      54.88 KB         384 B           440  
                                           aten::detach         0.07%       5.875ms         0.18%      14.612ms       1.588us           0 B           0 B          9200  
                                    aten::_foreach_mul_         0.07%       5.759ms         0.58%      46.901ms     106.594us           0 B           0 B           440  
                                        aten::transpose         0.06%       5.282ms         0.08%       6.562ms       2.311us           0 B           0 B          2840  
                                           MulBackward0         0.06%       5.257ms         0.84%      68.694ms      19.515us     823.24 MB           0 B          3520  
                                             aten::item         0.06%       4.966ms         0.08%       6.784ms       0.733us           0 B           0 B          9260  
                                 ConstantPadNdBackward0         0.06%       4.757ms         1.58%     128.887ms      41.847us     720.34 MB           0 B          3080  
                                                aten::t         0.06%       4.620ms         0.10%       8.280ms       3.600us           0 B           0 B          2300  
    autograd::engine::evaluate_function: AddmmBackward0         0.06%       4.569ms         0.32%      26.017ms      59.129us     -99.42 MB    -102.96 MB           440  
                                           aten::select         0.05%       4.470ms         0.06%       5.095ms       5.199us           0 B           0 B           980  
                                          aten::resize_         0.05%       4.436ms         0.05%       4.436ms       0.271us           0 B           0 B         16340  
                                aten::mse_loss_backward         0.05%       4.372ms         0.11%       8.679ms       9.862us      54.88 KB           0 B           880  
                                       aten::lift_fresh         0.05%       4.304ms         0.05%       4.304ms       0.126us           0 B           0 B         34120  
      autograd::engine::evaluate_function: AddBackward0         0.05%       3.990ms         0.07%       5.336ms       3.032us           0 B           0 B          1760  
                                         AddmmBackward0         0.04%       3.356ms         0.21%      16.846ms      38.287us       3.54 MB      -8.00 KB           440  
                                             aten::mean         0.04%       3.275ms         0.15%      12.327ms      28.016us           0 B        -632 B           440  
                                  aten::select_backward         0.04%       3.133ms         0.23%      18.435ms      41.897us     102.91 MB           0 B           440  
                                   aten::slice_backward         0.04%       3.110ms         0.27%      21.815ms      24.789us     205.81 MB           0 B           880  
                                             aten::view         0.04%       2.994ms         0.04%       2.994ms       3.055us           0 B           0 B           980  
                                            aten::clamp         0.03%       2.688ms         0.03%       2.729ms       6.202us       1.72 KB       1.72 KB           440  
                                       aten::reciprocal         0.03%       2.611ms         0.03%       2.611ms       5.934us       1.72 KB       1.72 KB           440  
                                            aten::zeros         0.03%       2.310ms         0.21%      17.263ms      13.078us     308.72 MB     960.00 KB          1320  
                                       MseLossBackward0         0.03%       2.293ms         0.11%       9.286ms      21.103us      54.88 KB           0 B           440  
                                           aten::linear         0.03%       2.284ms         0.34%      27.991ms      51.835us      66.64 KB           0 B           540  
                              aten::_local_scalar_dense         0.02%       1.818ms         0.02%       1.818ms       0.196us           0 B           0 B          9260  
                                              aten::abs         0.02%       1.781ms         0.02%       1.781ms       4.048us           0 B           0 B           440  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.754ms         0.14%      11.039ms      25.089us      54.88 KB           0 B           440  
                                         SliceBackward0         0.02%       1.573ms         0.29%      23.387ms      26.577us     205.81 MB           0 B           880  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.469ms         0.31%      24.856ms      28.246us           0 B    -205.81 MB           880  
                                        SelectBackward0         0.02%       1.411ms         0.24%      19.846ms      45.104us     102.91 MB           0 B           440  
                                aten::broadcast_tensors         0.02%       1.385ms         0.02%       1.385ms       3.148us           0 B           0 B           440  
                                       aten::zeros_like         0.02%       1.368ms         0.03%       2.621ms       5.957us      54.88 KB           0 B           440  
                                           AddBackward0         0.02%       1.346ms         0.02%       1.346ms       0.765us           0 B           0 B          1760  
                                           aten::expand         0.02%       1.276ms         0.02%       1.521ms       2.817us           0 B           0 B           540  
autograd::engine::evaluate_function: SqueezeBackward...         0.02%       1.239ms         0.05%       4.155ms       4.721us           0 B           0 B           880  
                                            aten::zero_         0.01%       1.084ms         0.17%      14.052ms       7.984us           0 B           0 B          1760  
                                       SqueezeBackward1         0.01%       1.051ms         0.04%       2.916ms       3.314us           0 B           0 B           880  
                                       aten::contiguous         0.01%     954.126us         1.02%      83.100ms     153.889us       3.09 GB           0 B           540  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     819.291us         0.25%      20.665ms      46.966us      99.48 MB      -3.43 MB           440  
                                        aten::ones_like         0.01%     818.775us         0.02%       1.884ms       4.283us       1.72 KB           0 B           440  
        autograd::engine::evaluate_function: TBackward0         0.01%     798.032us         0.03%       2.222ms       5.050us           0 B           0 B           440  
                                     aten::resolve_conj         0.01%     478.633us         0.01%     478.633us       0.156us           0 B           0 B          3060  
                                             TBackward0         0.01%     470.180us         0.02%       1.424ms       3.236us           0 B           0 B           440  
                                         aten::randperm         0.01%     413.955us         0.01%     873.772us      21.844us     219.53 KB        -160 B            40  
                                          aten::random_         0.00%     159.179us         0.00%     159.179us       7.959us           0 B           0 B            20  
                                    aten::scalar_tensor         0.00%      51.442us         0.00%      51.442us       2.572us         160 B         160 B            20  
                                      aten::resolve_neg         0.00%      24.703us         0.00%      24.703us       0.112us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.146s
