-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               aten::_scaled_dot_product_attention_math         0.27%      17.170ms         5.15%     333.288ms     189.368us     159.93 MB     -13.30 MB          1760  
                                          aten::squeeze         0.26%      16.622ms         0.30%      19.544ms       2.849us           0 B           0 B          6860  
                                       aten::empty_like         0.25%      16.192ms         0.56%      35.950ms       2.456us     852.38 MB     368.12 KB         14640  
                                    aten::_foreach_norm         0.25%      16.087ms         1.41%      91.420ms     207.773us     116.88 KB          48 B           440  
                                            aten::clone         0.24%      15.684ms         2.31%     149.846ms      20.812us     809.48 MB           0 B          7200  
                                          aten::dropout         0.23%      15.160ms         2.98%     193.184ms      29.182us      76.32 MB      -6.51 KB          6620  
autograd::engine::evaluate_function: NativeLayerNorm...         0.23%      15.083ms         1.15%      74.728ms      24.262us     -12.00 MB     -24.76 MB          3080  
                                            aten::where         0.22%      14.485ms         0.33%      21.174ms       6.015us       7.58 KB         732 B          3520  
      autograd::engine::evaluate_function: MulBackward0         0.22%      14.430ms         0.93%      59.968ms       8.518us     -26.16 MB    -174.08 MB          7040  
                                           aten::detach         0.22%      14.113ms         0.56%      36.177ms       1.211us           0 B           0 B         29880  
                                             aten::item         0.22%      14.092ms         0.28%      18.225ms       0.589us           0 B           0 B         30920  
                                    aten::_foreach_mul_         0.21%      13.642ms         0.52%      33.556ms      76.263us           0 B           0 B           440  
      autograd::engine::evaluate_function: BmmBackward0         0.19%      12.281ms         4.00%     259.204ms      73.637us    -129.92 MB    -362.74 MB          3520  
                                    aten::_safe_softmax         0.17%      11.273ms         0.91%      58.769ms      33.392us      13.29 MB      -3.54 MB          1760  
      aten::_scaled_dot_product_flash_attention_for_cpu         0.17%      10.924ms         0.23%      15.160ms      37.899us       1.65 MB    -316.36 KB           400  
                                            aten::slice         0.17%      10.779ms         0.20%      12.848ms       2.677us           0 B           0 B          4800  
autograd::engine::evaluate_function: SelectBackward0...         0.17%      10.753ms         2.08%     134.771ms      27.845us       2.48 MB    -441.73 MB          4840  
                                          aten::permute         0.16%      10.139ms         0.18%      11.527ms       2.941us           0 B           0 B          3920  
                                            aten::zeros         0.16%      10.042ms         0.96%      61.927ms       9.107us     451.80 MB     795.62 KB          6800  
autograd::engine::evaluate_function: ExpandBackward0...         0.15%       9.762ms         0.24%      15.435ms       1.949us     -49.74 MB     -51.45 MB          7920  
      autograd::engine::evaluate_function: AddBackward0         0.15%       9.714ms         0.22%      14.045ms       2.660us       1.72 MB           0 B          5280  
                                  aten::select_backward         0.15%       9.625ms         1.65%     107.010ms      22.110us     444.21 MB           0 B          4840  
                                     aten::_unsafe_view         0.15%       9.461ms         0.15%       9.461ms       1.093us           0 B           0 B          8660  
