-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               aten::_scaled_dot_product_attention_math         0.27%      17.493ms         5.17%     332.532ms     188.939us     159.93 MB     -13.29 MB          1760  
                                    aten::_foreach_norm         0.25%      16.180ms         1.44%      92.475ms     210.171us     116.88 KB          20 B           440  
                                          aten::squeeze         0.25%      16.169ms         0.30%      18.971ms       2.765us           0 B           0 B          6860  
                                       aten::empty_like         0.25%      16.130ms         0.56%      35.873ms       2.450us     852.38 MB     364.00 KB         14640  
                                            aten::clone         0.25%      15.773ms         2.34%     150.144ms      20.853us     809.48 MB           0 B          7200  
                                          aten::dropout         0.24%      15.179ms         2.99%     192.037ms      29.009us      76.32 MB      -6.81 KB          6620  
autograd::engine::evaluate_function: NativeLayerNorm...         0.23%      15.039ms         1.17%      75.495ms      24.511us     -12.00 MB     -24.76 MB          3080  
      autograd::engine::evaluate_function: MulBackward0         0.23%      14.581ms         0.93%      59.836ms       8.499us     -26.16 MB    -174.08 MB          7040  
                                            aten::where         0.23%      14.523ms         0.33%      21.340ms       6.062us       7.58 KB         728 B          3520  
                                             aten::item         0.22%      14.238ms         0.29%      18.419ms       0.596us           0 B           0 B         30920  
                                    aten::_foreach_mul_         0.21%      13.774ms         0.53%      33.832ms      76.891us           0 B           0 B           440  
                                           aten::detach         0.21%      13.396ms         0.55%      35.046ms       1.190us           0 B           0 B         29440  
      autograd::engine::evaluate_function: BmmBackward0         0.19%      12.168ms         4.02%     258.695ms      73.493us    -129.92 MB    -362.74 MB          3520  
                                    aten::_safe_softmax         0.17%      11.135ms         0.90%      58.188ms      33.061us      13.28 MB      -3.56 MB          1760  
                                            aten::slice         0.17%      10.822ms         0.20%      12.921ms       2.692us           0 B           0 B          4800  
autograd::engine::evaluate_function: SelectBackward0...         0.17%      10.651ms         2.11%     135.371ms      27.969us       2.08 MB    -442.11 MB          4840  
      aten::_scaled_dot_product_flash_attention_for_cpu         0.16%      10.564ms         0.23%      14.678ms      36.695us       1.65 MB    -315.09 KB           400  
                                            aten::zeros         0.16%      10.161ms         0.98%      62.847ms       9.242us     451.80 MB     300.88 KB          6800  
                                          aten::permute         0.15%       9.937ms         0.18%      11.308ms       2.885us           0 B           0 B          3920  
autograd::engine::evaluate_function: ExpandBackward0...         0.15%       9.822ms         0.24%      15.385ms       1.943us     -49.74 MB     -51.45 MB          7920  
                                  aten::select_backward         0.15%       9.719ms         1.68%     107.899ms      22.293us     444.21 MB           0 B          4840  
                                     aten::_unsafe_view         0.15%       9.612ms         0.15%       9.612ms       1.110us           0 B           0 B          8660  
      autograd::engine::evaluate_function: AddBackward0         0.15%       9.509ms         0.21%      13.815ms       2.616us       1.72 MB           0 B          5280  
                                           BmmBackward0         0.14%       9.003ms         3.83%     246.527ms      70.036us     232.82 MB           0 B          3520  
