[train_close][TFT efficiency] Running on device: cpu
[train_close][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 049 | train=0.001889 | val=RMSE:596.86|MAE:526.85|MAPE:17.25% | epoch_time=0.26s
[efficiency_close] Epoch 050 | train=0.001692 | val=RMSE:576.63|MAE:515.91|MAPE:16.81% | epoch_time=0.26s
[efficiency_close] Epoch 051 | train=0.001897 | val=RMSE:591.97|MAE:525.10|MAPE:17.17% | epoch_time=0.26s
[efficiency_close] Epoch 052 | train=0.001739 | val=RMSE:596.64|MAE:532.89|MAPE:17.37% | epoch_time=0.26s
[efficiency_close] Epoch 053 | train=0.001805 | val=RMSE:582.76|MAE:521.10|MAPE:16.98% | epoch_time=0.26s
[efficiency_close] Epoch 054 | train=0.001763 | val=RMSE:638.04|MAE:560.91|MAPE:18.39% | epoch_time=0.26s
[efficiency_close] Epoch 055 | train=0.001579 | val=RMSE:601.64|MAE:531.60|MAPE:17.40% | epoch_time=0.26s
[efficiency_close] Epoch 056 | train=0.001933 | val=RMSE:625.71|MAE:549.07|MAPE:18.02% | epoch_time=0.26s
[efficiency_close] Epoch 057 | train=0.001646 | val=RMSE:604.84|MAE:534.21|MAPE:17.48% | epoch_time=0.26s
[efficiency_close] Epoch 058 | train=0.001648 | val=RMSE:580.74|MAE:521.95|MAPE:16.99% | epoch_time=0.26s
[efficiency_close] Epoch 059 | train=0.001768 | val=RMSE:568.93|MAE:508.49|MAPE:16.57% | epoch_time=0.26s
[efficiency_close] Epoch 060 | train=0.001666 | val=RMSE:629.05|MAE:551.24|MAPE:18.09% | epoch_time=0.26s
[efficiency_close] Epoch 061 | train=0.001634 | val=RMSE:607.82|MAE:537.20|MAPE:17.58% | epoch_time=0.26s
[efficiency_close] Epoch 062 | train=0.001591 | val=RMSE:589.98|MAE:523.64|MAPE:17.10% | epoch_time=0.26s
[efficiency_close] Epoch 063 | train=0.001552 | val=RMSE:614.63|MAE:536.65|MAPE:17.62% | epoch_time=0.26s
[efficiency_close] Epoch 064 | train=0.001493 | val=RMSE:616.35|MAE:543.98|MAPE:17.81% | epoch_time=0.26s
[efficiency_close] Epoch 065 | train=0.001557 | val=RMSE:610.89|MAE:539.80|MAPE:17.67% | epoch_time=0.26s
[efficiency_close] Epoch 066 | train=0.001564 | val=RMSE:612.53|MAE:547.39|MAPE:17.85% | epoch_time=0.27s
[efficiency_close] Epoch 067 | train=0.001588 | val=RMSE:629.28|MAE:552.59|MAPE:18.12% | epoch_time=0.26s
[efficiency_close] Epoch 068 | train=0.001700 | val=RMSE:627.16|MAE:554.17|MAPE:18.14% | epoch_time=0.26s
[efficiency_close] Epoch 069 | train=0.001550 | val=RMSE:619.87|MAE:551.64|MAPE:18.01% | epoch_time=0.26s
[efficiency_close] Epoch 070 | train=0.001517 | val=RMSE:615.49|MAE:547.96|MAPE:17.89% | epoch_time=0.26s
[efficiency_close] Epoch 071 | train=0.001564 | val=RMSE:624.70|MAE:554.26|MAPE:18.13% | epoch_time=0.26s
[efficiency_close] Epoch 072 | train=0.001795 | val=RMSE:604.14|MAE:533.99|MAPE:17.45% | epoch_time=0.26s
[efficiency_close] Epoch 073 | train=0.001726 | val=RMSE:645.83|MAE:559.69|MAPE:18.43% | epoch_time=0.26s
[efficiency_close] Epoch 074 | train=0.001583 | val=RMSE:630.78|MAE:557.15|MAPE:18.24% | epoch_time=0.26s
[efficiency_close] Epoch 075 | train=0.001464 | val=RMSE:635.52|MAE:555.72|MAPE:18.26% | epoch_time=0.26s
[efficiency_close] Epoch 076 | train=0.001591 | val=RMSE:633.16|MAE:555.64|MAPE:18.23% | epoch_time=0.26s
[efficiency_close] Epoch 077 | train=0.001708 | val=RMSE:634.02|MAE:562.28|MAPE:18.39% | epoch_time=0.26s
[efficiency_close] Epoch 078 | train=0.001536 | val=RMSE:609.39|MAE:543.29|MAPE:17.73% | epoch_time=0.26s
[efficiency_close] Epoch 079 | train=0.001327 | val=RMSE:618.72|MAE:548.98|MAPE:17.93% | epoch_time=0.26s
[efficiency_close] Epoch 080 | train=0.001421 | val=RMSE:649.28|MAE:567.94|MAPE:18.65% | epoch_time=0.26s
[efficiency_close] Epoch 081 | train=0.001484 | val=RMSE:635.87|MAE:560.25|MAPE:18.34% | epoch_time=0.26s
[efficiency_close] Epoch 082 | train=0.001423 | val=RMSE:578.77|MAE:525.10|MAPE:17.04% | epoch_time=0.26s
[efficiency_close] Epoch 083 | train=0.001430 | val=RMSE:601.23|MAE:537.30|MAPE:17.53% | epoch_time=0.26s
[efficiency_close] Epoch 084 | train=0.001358 | val=RMSE:614.65|MAE:545.84|MAPE:17.85% | epoch_time=0.26s
[efficiency_close] Epoch 085 | train=0.001438 | val=RMSE:609.99|MAE:538.22|MAPE:17.64% | epoch_time=0.26s
[efficiency_close] Epoch 086 | train=0.001456 | val=RMSE:634.04|MAE:556.25|MAPE:18.25% | epoch_time=0.26s
[efficiency_close] Epoch 087 | train=0.001409 | val=RMSE:587.17|MAE:520.92|MAPE:17.00% | epoch_time=0.26s
[efficiency_close] Epoch 088 | train=0.001512 | val=RMSE:589.98|MAE:527.70|MAPE:17.19% | epoch_time=0.26s
[efficiency_close] Epoch 089 | train=0.001411 | val=RMSE:612.65|MAE:546.97|MAPE:17.84% | epoch_time=0.26s
