[train_close][TFT efficiency] Running on device: cpu
[train_close][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 049 | train=0.001326 | val=RMSE:573.21|MAE:521.53|MAPE:36.72% | epoch_time=0.26s
[efficiency_close] Epoch 050 | train=0.001194 | val=RMSE:576.82|MAE:519.63|MAPE:36.66% | epoch_time=0.26s
[efficiency_close] Epoch 051 | train=0.001284 | val=RMSE:570.78|MAE:519.57|MAPE:36.62% | epoch_time=0.26s
[efficiency_close] Epoch 052 | train=0.001182 | val=RMSE:591.38|MAE:540.49|MAPE:37.98% | epoch_time=0.26s
[efficiency_close] Epoch 053 | train=0.001238 | val=RMSE:557.38|MAE:518.57|MAPE:36.35% | epoch_time=0.26s
[efficiency_close] Epoch 054 | train=0.001158 | val=RMSE:540.85|MAE:499.92|MAPE:35.08% | epoch_time=0.26s
[efficiency_close] Epoch 055 | train=0.001188 | val=RMSE:605.23|MAE:557.92|MAPE:39.21% | epoch_time=0.26s
[efficiency_close] Epoch 056 | train=0.001277 | val=RMSE:558.38|MAE:523.05|MAPE:36.66% | epoch_time=0.26s
[efficiency_close] Epoch 057 | train=0.001249 | val=RMSE:558.45|MAE:512.40|MAPE:35.98% | epoch_time=0.26s
[efficiency_close] Epoch 058 | train=0.001262 | val=RMSE:577.14|MAE:535.50|MAPE:37.58% | epoch_time=0.26s
[efficiency_close] Epoch 059 | train=0.001309 | val=RMSE:531.87|MAE:486.31|MAPE:34.16% | epoch_time=0.26s
[efficiency_close] Epoch 060 | train=0.001289 | val=RMSE:591.86|MAE:544.37|MAPE:38.28% | epoch_time=0.26s
[efficiency_close] Epoch 061 | train=0.001295 | val=RMSE:550.46|MAE:498.29|MAPE:35.12% | epoch_time=0.26s
[efficiency_close] Epoch 062 | train=0.001324 | val=RMSE:547.91|MAE:501.89|MAPE:35.29% | epoch_time=0.26s
[efficiency_close] Epoch 063 | train=0.001193 | val=RMSE:563.01|MAE:522.96|MAPE:36.52% | epoch_time=0.26s
[efficiency_close] Epoch 064 | train=0.001146 | val=RMSE:560.80|MAE:511.11|MAPE:35.94% | epoch_time=0.26s
[efficiency_close] Epoch 065 | train=0.001335 | val=RMSE:605.26|MAE:557.42|MAPE:39.16% | epoch_time=0.26s
[efficiency_close] Epoch 066 | train=0.001157 | val=RMSE:546.66|MAE:503.81|MAPE:35.32% | epoch_time=0.26s
[efficiency_close] Epoch 067 | train=0.001191 | val=RMSE:505.71|MAE:456.65|MAPE:32.07% | epoch_time=0.26s
[efficiency_close] Epoch 068 | train=0.001104 | val=RMSE:487.22|MAE:441.21|MAPE:30.78% | epoch_time=0.26s
[efficiency_close] Epoch 069 | train=0.001216 | val=RMSE:548.80|MAE:506.82|MAPE:35.44% | epoch_time=0.26s
[efficiency_close] Epoch 070 | train=0.001272 | val=RMSE:508.55|MAE:462.14|MAPE:32.41% | epoch_time=0.26s
[efficiency_close] Epoch 071 | train=0.001096 | val=RMSE:514.47|MAE:464.60|MAPE:32.59% | epoch_time=0.27s
[efficiency_close] Epoch 072 | train=0.001294 | val=RMSE:528.01|MAE:475.00|MAPE:33.28% | epoch_time=0.26s
[efficiency_close] Epoch 073 | train=0.001134 | val=RMSE:515.20|MAE:469.72|MAPE:32.96% | epoch_time=0.26s
[efficiency_close] Epoch 074 | train=0.001154 | val=RMSE:506.25|MAE:465.91|MAPE:32.67% | epoch_time=0.26s
[efficiency_close] Epoch 075 | train=0.001149 | val=RMSE:481.81|MAE:445.65|MAPE:31.14% | epoch_time=0.26s
[efficiency_close] Epoch 076 | train=0.001213 | val=RMSE:508.19|MAE:463.73|MAPE:32.45% | epoch_time=0.26s
