-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               aten::_scaled_dot_product_attention_math         0.27%      17.877ms         5.18%     343.774ms     195.326us     159.93 MB     -13.30 MB          1760  
                                       aten::empty_like         0.25%      16.868ms         0.55%      36.804ms       2.514us     852.38 MB     368.50 KB         14640  
                                          aten::squeeze         0.25%      16.679ms         0.30%      19.682ms       2.869us           0 B           0 B          6860  
                                    aten::_foreach_norm         0.25%      16.504ms         1.44%      95.574ms     217.214us     116.88 KB          32 B           440  
                                            aten::clone         0.25%      16.321ms         2.30%     152.565ms      21.190us     809.48 MB           0 B          7200  
                                          aten::dropout         0.24%      16.184ms         3.03%     201.476ms      30.434us      76.32 MB      -6.84 KB          6620  
autograd::engine::evaluate_function: NativeLayerNorm...         0.23%      15.548ms         1.16%      76.805ms      24.937us     -12.00 MB     -24.76 MB          3080  
                                            aten::where         0.22%      14.900ms         0.33%      21.728ms       6.173us       7.55 KB         704 B          3520  
                                             aten::item         0.22%      14.854ms         0.29%      19.139ms       0.619us           0 B           0 B         30920  
      autograd::engine::evaluate_function: MulBackward0         0.22%      14.614ms         0.93%      61.662ms       8.759us     -26.16 MB    -174.08 MB          7040  
                                           aten::detach         0.22%      14.318ms         0.55%      36.616ms       1.225us           0 B           0 B         29880  
                                    aten::_foreach_mul_         0.21%      14.182ms         0.53%      35.005ms      79.557us           0 B           0 B           440  
      autograd::engine::evaluate_function: BmmBackward0         0.19%      12.506ms         4.04%     267.926ms      76.115us    -129.92 MB    -362.74 MB          3520  
                                    aten::_safe_softmax         0.17%      11.414ms         0.90%      60.043ms      34.116us      13.29 MB      -3.54 MB          1760  
                                            aten::slice         0.17%      11.186ms         0.20%      13.331ms       2.777us           0 B           0 B          4800  
autograd::engine::evaluate_function: SelectBackward0...         0.17%      10.968ms         2.07%     137.501ms      28.409us       1.90 MB    -442.31 MB          4840  
      aten::_scaled_dot_product_flash_attention_for_cpu         0.16%      10.770ms         0.23%      15.087ms      37.716us       1.65 MB    -314.42 KB           400  
                                          aten::permute         0.16%      10.702ms         0.18%      12.164ms       3.103us           0 B           0 B          3920  
                                            aten::zeros         0.16%      10.347ms         0.95%      63.155ms       9.288us     451.80 MB      80.00 KB          6800  
autograd::engine::evaluate_function: ExpandBackward0...         0.15%      10.007ms         0.24%      15.674ms       1.979us     -49.74 MB     -51.45 MB          7920  
                                  aten::select_backward         0.15%       9.965ms         1.65%     109.407ms      22.605us     444.21 MB           0 B          4840  
                                     aten::_unsafe_view         0.15%       9.787ms         0.15%       9.787ms       1.130us           0 B           0 B          8660  
