-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               aten::_scaled_dot_product_attention_math         0.27%      17.613ms         5.15%     341.181ms     193.853us     159.93 MB     -13.29 MB          1760  
                                       aten::empty_like         0.26%      17.073ms         0.56%      37.328ms       2.550us     852.38 MB     620.75 KB         14640  
                                    aten::_foreach_norm         0.25%      16.571ms         1.45%      96.023ms     218.235us     116.88 KB          32 B           440  
                                          aten::squeeze         0.25%      16.432ms         0.29%      19.418ms       2.831us           0 B           0 B          6860  
                                            aten::clone         0.25%      16.240ms         2.31%     153.082ms      21.261us     809.48 MB           0 B          7200  
                                          aten::dropout         0.24%      15.952ms         2.98%     197.480ms      29.831us      76.32 MB      -6.85 KB          6620  
autograd::engine::evaluate_function: NativeLayerNorm...         0.23%      15.501ms         1.16%      77.089ms      25.029us     -12.00 MB     -24.76 MB          3080  
                                            aten::where         0.22%      14.889ms         0.33%      21.837ms       6.204us       7.45 KB         600 B          3520  
      autograd::engine::evaluate_function: MulBackward0         0.22%      14.731ms         0.93%      61.440ms       8.727us     -26.16 MB    -174.08 MB          7040  
                                           aten::detach         0.22%      14.583ms         0.55%      36.412ms       1.237us           0 B           0 B         29440  
                                             aten::item         0.22%      14.555ms         0.28%      18.730ms       0.606us           0 B           0 B         30920  
                                    aten::_foreach_mul_         0.22%      14.252ms         0.53%      35.264ms      80.145us           0 B           0 B           440  
      autograd::engine::evaluate_function: BmmBackward0         0.19%      12.437ms         4.02%     266.235ms      75.635us    -129.92 MB    -362.74 MB          3520  
                                    aten::_safe_softmax         0.18%      11.597ms         0.90%      59.931ms      34.052us      13.28 MB      -3.56 MB          1760  
                                            aten::slice         0.17%      11.199ms         0.20%      13.260ms       2.762us           0 B           0 B          4800  
      aten::_scaled_dot_product_flash_attention_for_cpu         0.17%      11.086ms         0.23%      15.454ms      38.636us       1.65 MB    -316.77 KB           400  
autograd::engine::evaluate_function: SelectBackward0...         0.17%      11.058ms         2.08%     138.083ms      28.530us       1.98 MB    -442.22 MB          4840  
                                          aten::permute         0.16%      10.395ms         0.18%      11.755ms       2.999us           0 B           0 B          3920  
