-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               aten::_scaled_dot_product_attention_math         0.27%      17.331ms         5.15%     331.775ms     188.509us     159.93 MB     -13.30 MB          1760  
                                       aten::empty_like         0.25%      16.190ms         0.56%      35.775ms       2.444us     852.38 MB     404.62 KB         14640  
                                          aten::squeeze         0.25%      16.148ms         0.30%      18.991ms       2.768us           0 B           0 B          6860  
                                    aten::_foreach_norm         0.25%      16.040ms         1.44%      92.955ms     211.261us     116.88 KB          36 B           440  
                                          aten::dropout         0.24%      15.581ms         2.99%     192.663ms      29.103us      76.32 MB      -7.16 KB          6620  
                                            aten::clone         0.24%      15.560ms         2.34%     150.330ms      20.879us     809.48 MB           0 B          7200  
autograd::engine::evaluate_function: NativeLayerNorm...         0.23%      15.059ms         1.18%      76.167ms      24.730us     -12.00 MB     -24.76 MB          3080  
                                            aten::where         0.22%      14.362ms         0.33%      21.069ms       5.985us       7.57 KB         732 B          3520  
      autograd::engine::evaluate_function: MulBackward0         0.22%      14.130ms         0.93%      59.599ms       8.466us     -26.16 MB    -174.08 MB          7040  
                                             aten::item         0.22%      14.125ms         0.28%      18.168ms       0.588us           0 B           0 B         30920  
                                    aten::_foreach_mul_         0.22%      13.891ms         0.53%      34.118ms      77.540us           0 B           0 B           440  
                                           aten::detach         0.22%      13.871ms         0.55%      35.285ms       1.181us           0 B           0 B         29880  
      autograd::engine::evaluate_function: BmmBackward0         0.19%      12.140ms         4.02%     258.655ms      73.481us    -129.92 MB    -362.74 MB          3520  
                                    aten::_safe_softmax         0.17%      11.199ms         0.91%      58.673ms      33.337us      13.29 MB      -3.54 MB          1760  
      aten::_scaled_dot_product_flash_attention_for_cpu         0.17%      11.071ms         0.24%      15.198ms      37.995us       1.65 MB    -316.02 KB           400  
                                            aten::slice         0.17%      10.771ms         0.20%      12.810ms       2.669us           0 B           0 B          4800  
autograd::engine::evaluate_function: SelectBackward0...         0.17%      10.663ms         2.10%     135.059ms      27.905us       2.10 MB    -442.10 MB          4840  
                                          aten::permute         0.16%      10.431ms         0.18%      11.813ms       3.013us           0 B           0 B          3920  
                                            aten::zeros         0.16%      10.009ms         0.97%      62.576ms       9.202us     451.80 MB      88.00 KB          6800  
autograd::engine::evaluate_function: ExpandBackward0...         0.15%       9.601ms         0.24%      15.268ms       1.928us     -49.74 MB     -51.45 MB          7920  
                                  aten::select_backward         0.15%       9.564ms         1.67%     107.356ms      22.181us     444.21 MB           0 B          4840  
      autograd::engine::evaluate_function: AddBackward0         0.15%       9.482ms         0.21%      13.790ms       2.612us       1.72 MB           0 B          5280  
                                     aten::_unsafe_view         0.15%       9.341ms         0.15%       9.341ms       1.079us           0 B           0 B          8660  
                                           BmmBackward0         0.14%       8.980ms         3.83%     246.514ms      70.032us     232.82 MB           0 B          3520  
                               NativeLayerNormBackward0         0.13%       8.293ms         0.95%      61.108ms      19.840us      12.76 MB           0 B          3080  
                                           MulBackward0         0.13%       8.054ms         0.71%      45.469ms       6.459us     147.93 MB           0 B          7040  
                                        aten::clamp_min         0.12%       8.017ms         0.12%       8.017ms       3.712us      19.78 MB      19.78 MB          2160  
                                 aten::split_with_sizes         0.12%       7.716ms         0.14%       9.065ms       4.197us           0 B           0 B          2160  
                               aten::threshold_backward         0.12%       7.586ms         0.12%       7.586ms       4.310us      16.29 MB      16.29 MB          1760  
                                             aten::lstm         0.12%       7.541ms         5.12%     329.411ms     610.021us       1.10 GB     -11.76 MB           540  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         0.12%       7.498ms         5.80%     373.079ms     847.907us      -1.07 GB      -1.14 GB           440  
                                     TransposeBackward0         0.12%       7.496ms         0.50%      32.291ms       2.293us           0 B           0 B         14080  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.11%       7.148ms         0.49%      31.297ms       6.466us      51.45 MB           0 B          4840  
                                             TBackward0         0.11%       7.107ms         0.47%      29.984ms       2.434us           0 B           0 B         12320  
