calendar_date,us_gdp_qoq,days_since_us_gdp_qoq
2023-08-17,2.40%,21
2023-08-18,2.40%,22
2023-08-19,2.40%,23
2023-08-20,2.40%,24
2023-08-21,2.40%,25
2023-08-22,2.40%,26
2023-08-23,2.40%,27
2023-08-24,2.40%,28
2023-08-25,2.40%,29
2023-08-26,2.40%,30
2023-08-27,2.40%,31
2023-08-28,2.40%,32
2023-08-29,2.40%,33
2023-08-30,2.10%,0
2023-08-31,2.10%,1
2023-09-01,2.10%,2
2023-09-02,2.10%,3
2023-09-03,2.10%,4
2023-09-04,2.10%,5
2023-09-05,2.10%,6
2023-09-06,2.10%,7
2023-09-07,2.10%,8
2023-09-08,2.10%,9
2023-09-09,2.10%,10
2023-09-10,2.10%,11
2023-09-11,2.10%,12
2023-09-12,2.10%,13
2023-09-13,2.10%,14
2023-09-14,2.10%,15
2023-09-15,2.10%,16
2023-09-16,2.10%,17
2023-09-17,2.10%,18
2023-09-18,2.10%,19
2023-09-19,2.10%,20
2023-09-20,2.10%,21
2023-09-21,2.10%,22
2023-09-22,2.10%,23
2023-09-23,2.10%,24
2023-09-24,2.10%,25
2023-09-25,2.10%,26
2023-09-26,2.10%,27
2023-09-27,2.10%,28
2023-09-28,2.10%,0
2023-09-29,2.10%,1
2023-09-30,2.10%,2
2023-10-01,2.10%,3
2023-10-02,2.10%,4
2023-10-03,2.10%,5
2023-10-04,2.10%,6
2023-10-05,2.10%,7
2023-10-06,2.10%,8
2023-10-07,2.10%,9
2023-10-08,2.10%,10
2023-10-09,2.10%,11
2023-10-10,2.10%,12
2023-10-11,2.10%,13
2023-10-12,2.10%,14
2023-10-13,2.10%,15
2023-10-14,2.10%,16
2023-10-15,2.10%,17
2023-10-16,2.10%,18
2023-10-17,2.10%,19
2023-10-18,2.10%,20
2023-10-19,2.10%,21
2023-10-20,2.10%,22
2023-10-21,2.10%,23
2023-10-22,2.10%,24
2023-10-23,2.10%,25
2023-10-24,2.10%,26
2023-10-25,2.10%,27
2023-10-26,4.90%,0
2023-10-27,4.90%,1
2023-10-28,4.90%,2
2023-10-29,4.90%,3
2023-10-30,4.90%,4
2023-10-31,4.90%,5
2023-11-01,4.90%,6
2023-11-02,4.90%,7
2023-11-03,4.90%,8
2023-11-04,4.90%,9
2023-11-05,4.90%,10
2023-11-06,4.90%,11
2023-11-07,4.90%,12
2023-11-08,4.90%,13
2023-11-09,4.90%,14
2023-11-10,4.90%,15
2023-11-11,4.90%,16
2023-11-12,4.90%,17
2023-11-13,4.90%,18
2023-11-14,4.90%,19
2023-11-15,4.90%,20
2023-11-16,4.90%,21
2023-11-17,4.90%,22
2023-11-18,4.90%,23
2023-11-19,4.90%,24
2023-11-20,4.90%,25
2023-11-21,4.90%,26
2023-11-22,4.90%,27
2023-11-23,4.90%,28
2023-11-24,4.90%,29
2023-11-25,4.90%,30
2023-11-26,4.90%,31
2023-11-27,4.90%,32
2023-11-28,4.90%,33
2023-11-29,5.20%,0
2023-11-30,5.20%,1
2023-12-01,5.20%,2
2023-12-02,5.20%,3
2023-12-03,5.20%,4
2023-12-04,5.20%,5
2023-12-05,5.20%,6
2023-12-06,5.20%,7
2023-12-07,5.20%,8
2023-12-08,5.20%,9
2023-12-09,5.20%,10
2023-12-10,5.20%,11
2023-12-11,5.20%,12
2023-12-12,5.20%,13
2023-12-13,5.20%,14
2023-12-14,5.20%,15
2023-12-15,5.20%,16
2023-12-16,5.20%,17
2023-12-17,5.20%,18
2023-12-18,5.20%,19
2023-12-19,5.20%,20
2023-12-20,5.20%,21
2023-12-21,4.90%,0
2023-12-22,4.90%,1
2023-12-23,4.90%,2
2023-12-24,4.90%,3
2023-12-25,4.90%,4
2023-12-26,4.90%,5
2023-12-27,4.90%,6
2023-12-28,4.90%,7
2023-12-29,4.90%,8
2023-12-30,4.90%,9
2023-12-31,4.90%,10
2024-01-01,4.90%,11
2024-01-02,4.90%,12
2024-01-03,4.90%,13
2024-01-04,4.90%,14
2024-01-05,4.90%,15
2024-01-06,4.90%,16
2024-01-07,4.90%,17
2024-01-08,4.90%,18
2024-01-09,4.90%,19
2024-01-10,4.90%,20
2024-01-11,4.90%,21
2024-01-12,4.90%,22
2024-01-13,4.90%,23
2024-01-14,4.90%,24
2024-01-15,4.90%,25
2024-01-16,4.90%,26
2024-01-17,4.90%,27
2024-01-18,4.90%,28
2024-01-19,4.90%,29
2024-01-20,4.90%,30
2024-01-21,4.90%,31
2024-01-22,4.90%,32
2024-01-23,4.90%,33
2024-01-24,4.90%,34
2024-01-25,3.30%,0
2024-01-26,3.30%,1
2024-01-27,3.30%,2
2024-01-28,3.30%,3
2024-01-29,3.30%,4
2024-01-30,3.30%,5
2024-01-31,3.30%,6
2024-02-01,3.30%,7
2024-02-02,3.30%,8
2024-02-03,3.30%,9
2024-02-04,3.30%,10
2024-02-05,3.30%,11
2024-02-06,3.30%,12
2024-02-07,3.30%,13
2024-02-08,3.30%,14
2024-02-09,3.30%,15
2024-02-10,3.30%,16
2024-02-11,3.30%,17
2024-02-12,3.30%,18
2024-02-13,3.30%,19
2024-02-14,3.30%,20
2024-02-15,3.30%,21
2024-02-16,3.30%,22
2024-02-17,3.30%,23
2024-02-18,3.30%,24
2024-02-19,3.30%,25
2024-02-20,3.30%,26
2024-02-21,3.30%,27
2024-02-22,3.30%,28
2024-02-23,3.30%,29
2024-02-24,3.30%,30
2024-02-25,3.30%,31
2024-02-26,3.30%,32
2024-02-27,3.30%,33
2024-02-28,3.20%,0
2024-02-29,3.20%,1
2024-03-01,3.20%,2
2024-03-02,3.20%,3
2024-03-03,3.20%,4
2024-03-04,3.20%,5
2024-03-05,3.20%,6
2024-03-06,3.20%,7
2024-03-07,3.20%,8
2024-03-08,3.20%,9
2024-03-09,3.20%,10
2024-03-10,3.20%,11
2024-03-11,3.20%,12
2024-03-12,3.20%,13
2024-03-13,3.20%,14
2024-03-14,3.20%,15
2024-03-15,3.20%,16
2024-03-16,3.20%,17
2024-03-17,3.20%,18
2024-03-18,3.20%,19
2024-03-19,3.20%,20
2024-03-20,3.20%,21
2024-03-21,3.20%,22
2024-03-22,3.20%,23
2024-03-23,3.20%,24
2024-03-24,3.20%,25
2024-03-25,3.20%,26
2024-03-26,3.20%,27
2024-03-27,3.20%,28
2024-03-28,3.40%,0
2024-03-29,3.40%,1
2024-03-30,3.40%,2
2024-03-31,3.40%,3
2024-04-01,3.40%,4
2024-04-02,3.40%,5
2024-04-03,3.40%,6
2024-04-04,3.40%,7
2024-04-05,3.40%,8
2024-04-06,3.40%,9
2024-04-07,3.40%,10
2024-04-08,3.40%,11
2024-04-09,3.40%,12
2024-04-10,3.40%,13
2024-04-11,3.40%,14
2024-04-12,3.40%,15
2024-04-13,3.40%,16
2024-04-14,3.40%,17
2024-04-15,3.40%,18
2024-04-16,3.40%,19
2024-04-17,3.40%,20
2024-04-18,3.40%,21
2024-04-19,3.40%,22
2024-04-20,3.40%,23
2024-04-21,3.40%,24
2024-04-22,3.40%,25
2024-04-23,3.40%,26
2024-04-24,3.40%,27
2024-04-25,1.60%,0
2024-04-26,1.60%,1
2024-04-27,1.60%,2
2024-04-28,1.60%,3
2024-04-29,1.60%,4
2024-04-30,1.60%,5
2024-05-01,1.60%,6
2024-05-02,1.60%,7
2024-05-03,1.60%,8
2024-05-04,1.60%,9
2024-05-05,1.60%,10
2024-05-06,1.60%,11
2024-05-07,1.60%,12
2024-05-08,1.60%,13
2024-05-09,1.60%,14
2024-05-10,1.60%,15
2024-05-11,1.60%,16
2024-05-12,1.60%,17
2024-05-13,1.60%,18
2024-05-14,1.60%,19
2024-05-15,1.60%,20
2024-05-16,1.60%,21
2024-05-17,1.60%,22
2024-05-18,1.60%,23
2024-05-19,1.60%,24
2024-05-20,1.60%,25
2024-05-21,1.60%,26
2024-05-22,1.60%,27
2024-05-23,1.60%,28
2024-05-24,1.60%,29
2024-05-25,1.60%,30
2024-05-26,1.60%,31
2024-05-27,1.60%,32
2024-05-28,1.60%,33
2024-05-29,1.60%,34
2024-05-30,1.30%,0
2024-05-31,1.30%,1
2024-06-01,1.30%,2
2024-06-02,1.30%,3
2024-06-03,1.30%,4
2024-06-04,1.30%,5
2024-06-05,1.30%,6
2024-06-06,1.30%,7
2024-06-07,1.30%,8
2024-06-08,1.30%,9
2024-06-09,1.30%,10
2024-06-10,1.30%,11
2024-06-11,1.30%,12
2024-06-12,1.30%,13
2024-06-13,1.30%,14
2024-06-14,1.30%,15
2024-06-15,1.30%,16
2024-06-16,1.30%,17
2024-06-17,1.30%,18
2024-06-18,1.30%,19
2024-06-19,1.30%,20
2024-06-20,1.30%,21
2024-06-21,1.30%,22
2024-06-22,1.30%,23
2024-06-23,1.30%,24
2024-06-24,1.30%,25
2024-06-25,1.30%,26
2024-06-26,1.30%,27
2024-06-27,1.40%,0
2024-06-28,1.40%,1
2024-06-29,1.40%,2
2024-06-30,1.40%,3
2024-07-01,1.40%,4
2024-07-02,1.40%,5
2024-07-03,1.40%,6
2024-07-04,1.40%,7
2024-07-05,1.40%,8
2024-07-06,1.40%,9
2024-07-07,1.40%,10
2024-07-08,1.40%,11
2024-07-09,1.40%,12
2024-07-10,1.40%,13
2024-07-11,1.40%,14
2024-07-12,1.40%,15
2024-07-13,1.40%,16
2024-07-14,1.40%,17
2024-07-15,1.40%,18
2024-07-16,1.40%,19
2024-07-17,1.40%,20
2024-07-18,1.40%,21
2024-07-19,1.40%,22
2024-07-20,1.40%,23
2024-07-21,1.40%,24
2024-07-22,1.40%,25
2024-07-23,1.40%,26
2024-07-24,1.40%,27
2024-07-25,2.80%,0
2024-07-26,2.80%,1
2024-07-27,2.80%,2
2024-07-28,2.80%,3
2024-07-29,2.80%,4
2024-07-30,2.80%,5
2024-07-31,2.80%,6
2024-08-01,2.80%,7
2024-08-02,2.80%,8
2024-08-03,2.80%,9
2024-08-04,2.80%,10
2024-08-05,2.80%,11
2024-08-06,2.80%,12
2024-08-07,2.80%,13
2024-08-08,2.80%,14
2024-08-09,2.80%,15
2024-08-10,2.80%,16
2024-08-11,2.80%,17
2024-08-12,2.80%,18
2024-08-13,2.80%,19
2024-08-14,2.80%,20
2024-08-15,2.80%,21
2024-08-16,2.80%,22
2024-08-17,2.80%,23
2024-08-18,2.80%,24
2024-08-19,2.80%,25
2024-08-20,2.80%,26
2024-08-21,2.80%,27
2024-08-22,2.80%,28
2024-08-23,2.80%,29
2024-08-24,2.80%,30
2024-08-25,2.80%,31
2024-08-26,2.80%,32
2024-08-27,2.80%,33
2024-08-28,2.80%,34
2024-08-29,3.00%,0
2024-08-30,3.00%,1
2024-08-31,3.00%,2
2024-09-01,3.00%,3
2024-09-02,3.00%,4
2024-09-03,3.00%,5
2024-09-04,3.00%,6
2024-09-05,3.00%,7
2024-09-06,3.00%,8
2024-09-07,3.00%,9
2024-09-08,3.00%,10
2024-09-09,3.00%,11
2024-09-10,3.00%,12
2024-09-11,3.00%,13
2024-09-12,3.00%,14
2024-09-13,3.00%,15
2024-09-14,3.00%,16
2024-09-15,3.00%,17
2024-09-16,3.00%,18
2024-09-17,3.00%,19
2024-09-18,3.00%,20
2024-09-19,3.00%,21
2024-09-20,3.00%,22
2024-09-21,3.00%,23
2024-09-22,3.00%,24
2024-09-23,3.00%,25
2024-09-24,3.00%,26
2024-09-25,3.00%,27
2024-09-26,3.00%,0
2024-09-27,3.00%,1
2024-09-28,3.00%,2
2024-09-29,3.00%,3
2024-09-30,3.00%,4
2024-10-01,3.00%,5
2024-10-02,3.00%,6
2024-10-03,3.00%,7
2024-10-04,3.00%,8
2024-10-05,3.00%,9
2024-10-06,3.00%,10
2024-10-07,3.00%,11
2024-10-08,3.00%,12
2024-10-09,3.00%,13
2024-10-10,3.00%,14
2024-10-11,3.00%,15
2024-10-12,3.00%,16
2024-10-13,3.00%,17
2024-10-14,3.00%,18
2024-10-15,3.00%,19
2024-10-16,3.00%,20
2024-10-17,3.00%,21
2024-10-18,3.00%,22
2024-10-19,3.00%,23
2024-10-20,3.00%,24
2024-10-21,3.00%,25
2024-10-22,3.00%,26
2024-10-23,3.00%,27
2024-10-24,3.00%,28
2024-10-25,3.00%,29
2024-10-26,3.00%,30
2024-10-27,3.00%,31
2024-10-28,3.00%,32
2024-10-29,3.00%,33
2024-10-30,2.80%,0
2024-10-31,2.80%,1
2024-11-01,2.80%,2
2024-11-02,2.80%,3
2024-11-03,2.80%,4
2024-11-04,2.80%,5
2024-11-05,2.80%,6
2024-11-06,2.80%,7
2024-11-07,2.80%,8
2024-11-08,2.80%,9
2024-11-09,2.80%,10
2024-11-10,2.80%,11
2024-11-11,2.80%,12
2024-11-12,2.80%,13
2024-11-13,2.80%,14
2024-11-14,2.80%,15
2024-11-15,2.80%,16
2024-11-16,2.80%,17
2024-11-17,2.80%,18
2024-11-18,2.80%,19
2024-11-19,2.80%,20
2024-11-20,2.80%,21
2024-11-21,2.80%,22
2024-11-22,2.80%,23
2024-11-23,2.80%,24
2024-11-24,2.80%,25
2024-11-25,2.80%,26
2024-11-26,2.80%,27
2024-11-27,2.80%,0
2024-11-28,2.80%,1
2024-11-29,2.80%,2
2024-11-30,2.80%,3
2024-12-01,2.80%,4
2024-12-02,2.80%,5
2024-12-03,2.80%,6
2024-12-04,2.80%,7
2024-12-05,2.80%,8
2024-12-06,2.80%,9
2024-12-07,2.80%,10
2024-12-08,2.80%,11
2024-12-09,2.80%,12
2024-12-10,2.80%,13
2024-12-11,2.80%,14
2024-12-12,2.80%,15
2024-12-13,2.80%,16
2024-12-14,2.80%,17
2024-12-15,2.80%,18
2024-12-16,2.80%,19
2024-12-17,2.80%,20
2024-12-18,2.80%,21
2024-12-19,3.10%,0
2024-12-20,3.10%,1
2024-12-21,3.10%,2
2024-12-22,3.10%,3
2024-12-23,3.10%,4
2024-12-24,3.10%,5
2024-12-25,3.10%,6
2024-12-26,3.10%,7
2024-12-27,3.10%,8
2024-12-28,3.10%,9
2024-12-29,3.10%,10
2024-12-30,3.10%,11
2024-12-31,3.10%,12
2025-01-01,3.10%,13
2025-01-02,3.10%,14
2025-01-03,3.10%,15
2025-01-04,3.10%,16
2025-01-05,3.10%,17
2025-01-06,3.10%,18
2025-01-07,3.10%,19
2025-01-08,3.10%,20
2025-01-09,3.10%,21
2025-01-10,3.10%,22
2025-01-11,3.10%,23
2025-01-12,3.10%,24
2025-01-13,3.10%,25
2025-01-14,3.10%,26
2025-01-15,3.10%,27
2025-01-16,3.10%,28
2025-01-17,3.10%,29
2025-01-18,3.10%,30
2025-01-19,3.10%,31
2025-01-20,3.10%,32
2025-01-21,3.10%,33
2025-01-22,3.10%,34
2025-01-23,3.10%,35
2025-01-24,3.10%,36
2025-01-25,3.10%,37
2025-01-26,3.10%,38
2025-01-27,3.10%,39
2025-01-28,3.10%,40
2025-01-29,3.10%,41
2025-01-30,2.30%,0
2025-01-31,2.30%,1
2025-02-01,2.30%,2
2025-02-02,2.30%,3
2025-02-03,2.30%,4
2025-02-04,2.30%,5
2025-02-05,2.30%,6
2025-02-06,2.30%,7
2025-02-07,2.30%,8
2025-02-08,2.30%,9
2025-02-09,2.30%,10
2025-02-10,2.30%,11
2025-02-11,2.30%,12
2025-02-12,2.30%,13
2025-02-13,2.30%,14
2025-02-14,2.30%,15
2025-02-15,2.30%,16
2025-02-16,2.30%,17
2025-02-17,2.30%,18
2025-02-18,2.30%,19
2025-02-19,2.30%,20
2025-02-20,2.30%,21
2025-02-21,2.30%,22
2025-02-22,2.30%,23
2025-02-23,2.30%,24
2025-02-24,2.30%,25
2025-02-25,2.30%,26
2025-02-26,2.30%,27
2025-02-27,2.30%,0
2025-02-28,2.30%,1
2025-03-01,2.30%,2
2025-03-02,2.30%,3
2025-03-03,2.30%,4
2025-03-04,2.30%,5
2025-03-05,2.30%,6
2025-03-06,2.30%,7
2025-03-07,2.30%,8
2025-03-08,2.30%,9
2025-03-09,2.30%,10
2025-03-10,2.30%,11
2025-03-11,2.30%,12
2025-03-12,2.30%,13
2025-03-13,2.30%,14
2025-03-14,2.30%,15
2025-03-15,2.30%,16
2025-03-16,2.30%,17
2025-03-17,2.30%,18
2025-03-18,2.30%,19
2025-03-19,2.30%,20
2025-03-20,2.30%,21
2025-03-21,2.30%,22
2025-03-22,2.30%,23
2025-03-23,2.30%,24
2025-03-24,2.30%,25
2025-03-25,2.30%,26
2025-03-26,2.30%,27
2025-03-27,2.40%,0
2025-03-28,2.40%,1
2025-03-29,2.40%,2
2025-03-30,2.40%,3
2025-03-31,2.40%,4
2025-04-01,2.40%,5
2025-04-02,2.40%,6
2025-04-03,2.40%,7
2025-04-04,2.40%,8
2025-04-05,2.40%,9
2025-04-06,2.40%,10
2025-04-07,2.40%,11
2025-04-08,2.40%,12
2025-04-09,2.40%,13
2025-04-10,2.40%,14
2025-04-11,2.40%,15
2025-04-12,2.40%,16
2025-04-13,2.40%,17
2025-04-14,2.40%,18
2025-04-15,2.40%,19
2025-04-16,2.40%,20
2025-04-17,2.40%,21
2025-04-18,2.40%,22
2025-04-19,2.40%,23
2025-04-20,2.40%,24
2025-04-21,2.40%,25
2025-04-22,2.40%,26
2025-04-23,2.40%,27
2025-04-24,2.40%,28
2025-04-25,2.40%,29
2025-04-26,2.40%,30
2025-04-27,2.40%,31
2025-04-28,2.40%,32
2025-04-29,2.40%,33
2025-04-30,-0.30%,0
2025-05-01,-0.30%,1
2025-05-02,-0.30%,2
2025-05-03,-0.30%,3
2025-05-04,-0.30%,4
2025-05-05,-0.30%,5
2025-05-06,-0.30%,6
2025-05-07,-0.30%,7
2025-05-08,-0.30%,8
2025-05-09,-0.30%,9
2025-05-10,-0.30%,10
2025-05-11,-0.30%,11
2025-05-12,-0.30%,12
2025-05-13,-0.30%,13
2025-05-14,-0.30%,14
2025-05-15,-0.30%,15
2025-05-16,-0.30%,16
2025-05-17,-0.30%,17
2025-05-18,-0.30%,18
2025-05-19,-0.30%,19
2025-05-20,-0.30%,20
2025-05-21,-0.30%,21
2025-05-22,-0.30%,22
2025-05-23,-0.30%,23
2025-05-24,-0.30%,24
2025-05-25,-0.30%,25
2025-05-26,-0.30%,26
2025-05-27,-0.30%,27
2025-05-28,-0.30%,28
2025-05-29,-0.20%,0
2025-05-30,-0.20%,1
2025-05-31,-0.20%,2
2025-06-01,-0.20%,3
2025-06-02,-0.20%,4
2025-06-03,-0.20%,5
2025-06-04,-0.20%,6
2025-06-05,-0.20%,7
2025-06-06,-0.20%,8
2025-06-07,-0.20%,9
2025-06-08,-0.20%,10
2025-06-09,-0.20%,11
2025-06-10,-0.20%,12
2025-06-11,-0.20%,13
2025-06-12,-0.20%,14
2025-06-13,-0.20%,15
2025-06-14,-0.20%,16
2025-06-15,-0.20%,17
2025-06-16,-0.20%,18
2025-06-17,-0.20%,19
2025-06-18,-0.20%,20
2025-06-19,-0.20%,21
2025-06-20,-0.20%,22
2025-06-21,-0.20%,23
2025-06-22,-0.20%,24
2025-06-23,-0.20%,25
2025-06-24,-0.20%,26
2025-06-25,-0.20%,27
2025-06-26,-0.50%,0
2025-06-27,-0.50%,1
2025-06-28,-0.50%,2
2025-06-29,-0.50%,3
2025-06-30,-0.50%,4
2025-07-01,-0.50%,5
2025-07-02,-0.50%,6
2025-07-03,-0.50%,7
2025-07-04,-0.50%,8
2025-07-05,-0.50%,9
2025-07-06,-0.50%,10
2025-07-07,-0.50%,11
2025-07-08,-0.50%,12
2025-07-09,-0.50%,13
2025-07-10,-0.50%,14
2025-07-11,-0.50%,15
2025-07-12,-0.50%,16
2025-07-13,-0.50%,17
2025-07-14,-0.50%,18
2025-07-15,-0.50%,19
2025-07-16,-0.50%,20
2025-07-17,-0.50%,21
2025-07-18,-0.50%,22
2025-07-19,-0.50%,23
2025-07-20,-0.50%,24
2025-07-21,-0.50%,25
2025-07-22,-0.50%,26
2025-07-23,-0.50%,27
2025-07-24,-0.50%,28
2025-07-25,-0.50%,29
2025-07-26,-0.50%,30
2025-07-27,-0.50%,31
2025-07-28,-0.50%,32
2025-07-29,-0.50%,33
2025-07-30,3.00%,0
2025-07-31,3.00%,1
2025-08-01,3.00%,2
2025-08-02,3.00%,3
2025-08-03,3.00%,4
2025-08-04,3.00%,5
2025-08-05,3.00%,6
2025-08-06,3.00%,7
2025-08-07,3.00%,8
2025-08-08,3.00%,9
2025-08-09,3.00%,10
2025-08-10,3.00%,11
2025-08-11,3.00%,12
2025-08-12,3.00%,13
2025-08-13,3.00%,14
2025-08-14,3.00%,15
2025-08-15,3.00%,16
2025-08-16,3.00%,17
2025-08-17,3.00%,18
2025-08-18,3.00%,19
2025-08-19,3.00%,20
2025-08-20,3.00%,21
2025-08-21,3.00%,22
2025-08-22,3.00%,23
2025-08-23,3.00%,24
2025-08-24,3.00%,25
2025-08-25,3.00%,26
2025-08-26,3.00%,27
2025-08-27,3.00%,28
2025-08-28,3.30%,0
2025-08-29,3.30%,1
2025-08-30,3.30%,2
2025-08-31,3.30%,3
