calendar_date,ihsg_return_lag_1,ihsg_std_dev_7,ihsg_std_dev_14,ihsg_std_dev_21
2020-01-02,0.621%,18.21,59.137,71.71
2020-01-03,0.621%,18.21,59.137,71.71
2020-01-04,0.621%,18.21,59.137,71.71
2020-01-05,-1.044%,25.251,54.417,68.484
2020-01-06,0.352%,26.663,40.188,65.331
2020-01-07,-0.844%,36.299,36.338,58.753
2020-01-08,0.771%,30.838,30.984,55.073
2020-01-09,0.016%,29.212,29.028,53.341
2020-01-10,0.016%,29.212,29.028,53.341
2020-01-11,0.016%,29.212,29.028,53.341
2020-01-12,0.351%,30.345,29.198,52.231
2020-01-13,0.445%,30.868,28.979,51.113
2020-01-14,-0.664%,29.723,28.999,47.238
2020-01-15,0.048%,29.807,28.706,36.342
2020-01-16,0.095%,17.433,27.473,31.328
2020-01-17,0.095%,17.433,27.473,31.328
2020-01-18,0.095%,17.433,27.473,31.328
2020-01-19,-0.747%,24.114,26.964,28.297
2020-01-20,-0.112%,30.24,28.785,28.749
2020-01-21,-0.08%,33.989,31.029,30.787
2020-01-22,0.257%,25.109,28.172,30.839
2020-01-23,-0.08%,23.662,28.788,31.871
2020-01-24,-0.08%,23.662,28.788,31.871
2020-01-25,-0.08%,23.662,28.788,31.871
2020-01-26,-1.778%,48.349,45.767,44.475
2020-01-27,-0.359%,59.025,59.918,55.134
2020-01-28,0.033%,65.774,69.431,61.602
2020-01-29,-0.9%,77.445,83.246,73.438
2020-01-30,-1.948%,106.888,109.134,97.417
2020-01-31,-1.948%,106.888,109.134,97.417
2020-02-01,-1.948%,106.888,109.134,97.417
2020-02-02,-0.943%,122.071,130.685,119.47
2020-02-03,0.646%,104.547,140.818,133.321
2020-02-04,0.963%,93.12,140.092,138.823
2020-02-05,0.134%,79.506,134.421,143.859
2020-02-06,0.217%,57.092,129.301,145.456
2020-02-07,0.217%,57.092,129.301,145.456
2020-02-08,0.217%,57.092,129.301,145.456
2020-02-09,-0.8%,40.673,124.572,148.33
2020-02-10,0.034%,40.328,116.384,148.132
2020-02-11,-0.689%,32.708,103.344,146.286
2020-02-12,-0.693%,45.048,85.889,147.505
