calendar_date,usd_idr
2020-08-21,14770.0
2020-08-22,14770.0
2020-08-23,14770.0
2020-08-24,14670.0
2020-08-25,14640.0
2020-08-26,14670.0
2020-08-27,14650.0
2020-08-28,14615.0
2020-08-29,14615.0
2020-08-30,14615.0
2020-08-31,14560.0
2020-09-01,14565.0
2020-09-02,14740.0
2020-09-03,14760.0
2020-09-04,14740.0
2020-09-05,14740.0
2020-09-06,14740.0
2020-09-07,14730.0
2020-09-08,14760.0
2020-09-09,14780.0
2020-09-10,14820.0
2020-09-11,14860.0
2020-09-12,14860.0
2020-09-13,14860.0
2020-09-14,14860.0
2020-09-15,14835.0
2020-09-16,14825.0
2020-09-17,14820.0
2020-09-18,14730.0
2020-09-19,14730.0
2020-09-20,14730.0
2020-09-21,14690.0
2020-09-22,14750.0
2020-09-23,14780.0
2020-09-24,14845.0
2020-09-25,14845.0
2020-09-26,14845.0
2020-09-27,14845.0
2020-09-28,14850.0
2020-09-29,14845.0
2020-09-30,14840.0
2020-10-01,14820.0
2020-10-02,14830.0
2020-10-03,14830.0
2020-10-04,14830.0
2020-10-05,14790.0
2020-10-06,14710.0
2020-10-07,14690.0
2020-10-08,14685.0
2020-10-09,14675.0
2020-10-10,14675.0
2020-10-11,14675.0
2020-10-12,14680.0
2020-10-13,14680.0
2020-10-14,14680.0
2020-10-15,14660.0
2020-10-16,14670.0
2020-10-17,14670.0
2020-10-18,14670.0
2020-10-19,14670.0
2020-10-20,14650.0
2020-10-21,14610.0
2020-10-22,14640.0
2020-10-23,14650.0
2020-10-24,14650.0
2020-10-25,14650.0
2020-10-26,14630.0
2020-10-27,14620.0
2020-10-28,14620.0
2020-10-29,14620.0
2020-10-30,14620.0
2020-10-31,14620.0
2020-11-01,14620.0
2020-11-02,14625.0
2020-11-03,14570.0
2020-11-04,14540.0
2020-11-05,14370.0
2020-11-06,14190.0
2020-11-07,14190.0
2020-11-08,14190.0
2020-11-09,14050.0
2020-11-10,14040.0
2020-11-11,14070.0
2020-11-12,14140.0
2020-11-13,14150.0
2020-11-14,14150.0
2020-11-15,14150.0
2020-11-16,14100.0
2020-11-17,14030.0
2020-11-18,14050.0
2020-11-19,14140.0
2020-11-20,14150.0
2020-11-21,14150.0
2020-11-22,14150.0
2020-11-23,14130.0
2020-11-24,14140.0
2020-11-25,14130.0
2020-11-26,14090.0
2020-11-27,14070.0
2020-11-28,14070.0
2020-11-29,14070.0
2020-11-30,14090.0
2020-12-01,14100.0
2020-12-02,14090.0
2020-12-03,14100.0
2020-12-04,14085.0
2020-12-05,14085.0
2020-12-06,14085.0
2020-12-07,14080.0
2020-12-08,14080.0
2020-12-09,14080.0
2020-12-10,14090.0
2020-12-11,14070.0
2020-12-12,14070.0
2020-12-13,14070.0
2020-12-14,14070.0
2020-12-15,14090.0
2020-12-16,14090.0
2020-12-17,14085.0
2020-12-18,14080.0
2020-12-19,14080.0
2020-12-20,14080.0
2020-12-21,14100.0
2020-12-22,14145.0
2020-12-23,14150.0
2020-12-24,14150.0
2020-12-25,14150.0
2020-12-26,14150.0
2020-12-27,14150.0
2020-12-28,14140.0
2020-12-29,14110.0
2020-12-30,14040.0
2020-12-31,14040.0
2021-01-01,14213.7
2021-01-02,14213.7
2021-01-03,14213.7
2021-01-04,13885.0
2021-01-05,13900.0
2021-01-06,13880.0
2021-01-07,13890.0
2021-01-08,13980.0
2021-01-09,13980.0
2021-01-10,13980.0
2021-01-11,14080.0
2021-01-12,14120.0
2021-01-13,14055.0
2021-01-14,14050.0
2021-01-15,14010.0
2021-01-16,14010.0
2021-01-17,14010.0
2021-01-18,14060.0
2021-01-19,14050.0
2021-01-20,14020.0
2021-01-21,13980.0
2021-01-22,14020.0
2021-01-23,14020.0
2021-01-24,14020.0
2021-01-25,14010.0
2021-01-26,14040.0
2021-01-27,14035.0
2021-01-28,14050.0
2021-01-29,14020.0
2021-01-30,14020.0
2021-01-31,14020.0
2021-02-01,14010.0
2021-02-02,14020.0
2021-02-03,14000.0
2021-02-04,14010.0
2021-02-05,14020.0
2021-02-06,14020.0
2021-02-07,14020.0
2021-02-08,13995.0
2021-02-09,13990.0
2021-02-10,13980.0
2021-02-11,13970.0
2021-02-12,13970.0
2021-02-13,13970.0
2021-02-14,13970.0
2021-02-15,13910.0
2021-02-16,13920.0
2021-02-17,14010.0
2021-02-18,14010.0
2021-02-19,14060.0
2021-02-20,14060.0
2021-02-21,14060.0
2021-02-22,14110.0
2021-02-23,14090.0
2021-02-24,14080.0
2021-02-25,14080.0
2021-02-26,14240.0
2021-02-27,14240.0
2021-02-28,14240.0
2021-03-01,14250.0
2021-03-02,14300.0
2021-03-03,14240.0
2021-03-04,14260.0
2021-03-05,14290.0
2021-03-06,14290.0
2021-03-07,14290.0
2021-03-08,14350.0
2021-03-09,14390.0
2021-03-10,14395.0
2021-03-11,14395.0
2021-03-12,14380.0
2021-03-13,14380.0
2021-03-14,14380.0
2021-03-15,14395.0
2021-03-16,14400.0
2021-03-17,14425.0
2021-03-18,14390.0
2021-03-19,14400.0
2021-03-20,14400.0
2021-03-21,14400.0
2021-03-22,14400.0
2021-03-23,14390.0
2021-03-24,14420.0
2021-03-25,14420.0
2021-03-26,14410.0
2021-03-27,14410.0
2021-03-28,14410.0
2021-03-29,14440.0
2021-03-30,14470.0
2021-03-31,14520.0
2021-04-01,14520.0
2021-04-02,14520.0
2021-04-03,14520.0
2021-04-04,14520.0
2021-04-05,14510.0
2021-04-06,14500.0
2021-04-07,14490.0
2021-04-08,14530.0
2021-04-09,14560.0
2021-04-10,14560.0
2021-04-11,14560.0
2021-04-12,14590.0
2021-04-13,14600.0
2021-04-14,14600.0
2021-04-15,14600.0
2021-04-16,14560.0
2021-04-17,14560.0
2021-04-18,14560.0
2021-04-19,14545.0
2021-04-20,14495.0
2021-04-21,14525.0
2021-04-22,14515.0
2021-04-23,14520.0
2021-04-24,14520.0
2021-04-25,14520.0
2021-04-26,14480.0
2021-04-27,14480.0
2021-04-28,14495.0
2021-04-29,14445.0
2021-04-30,14440.0
2021-05-01,14440.0
2021-05-02,14440.0
2021-05-03,14445.0
2021-05-04,14425.0
2021-05-05,14430.0
2021-05-06,14315.0
2021-05-07,14280.0
2021-05-08,14280.0
2021-05-09,14280.0
2021-05-10,14195.0
2021-05-11,14195.0
2021-05-12,14195.0
2021-05-13,14195.0
