-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        aten::clamp_min         0.05%       3.283ms         0.05%       3.283ms       6.080us       4.17 MB       4.17 MB           540  
                                           aten::detach         0.05%       3.005ms         0.13%       7.839ms       2.000us           0 B           0 B          3920  
                                           aten::linear         0.05%       2.952ms         0.65%      40.205ms      37.226us       4.23 MB           0 B          1080  
                                             aten::mean         0.05%       2.819ms         0.19%      11.854ms      26.940us           0 B        -656 B           440  
                                             aten::relu         0.04%       2.759ms         0.10%       6.041ms      11.188us       4.17 MB           0 B           540  
                                             aten::item         0.04%       2.656ms         0.06%       3.789ms       0.952us           0 B           0 B          3980  
                               aten::threshold_backward         0.04%       2.610ms         0.04%       2.610ms       5.932us       3.43 MB       3.43 MB           440  
                                            aten::clamp         0.04%       2.597ms         0.04%       2.648ms       6.018us       1.72 KB       1.72 KB           440  
                                           aten::narrow         0.04%       2.435ms         0.08%       4.781ms       8.853us           0 B           0 B           540  
                                       MseLossBackward0         0.04%       2.247ms         0.14%       8.431ms      19.162us      54.88 KB           0 B           440  
                                       aten::reciprocal         0.04%       2.228ms         0.04%       2.228ms       5.063us       1.72 KB       1.72 KB           440  
                                  aten::select_backward         0.03%       2.020ms         0.20%      12.219ms      27.771us     102.91 MB           0 B           440  
                                       aten::zeros_like         0.03%       2.006ms         0.07%       4.555ms       3.451us       6.91 MB           0 B          1320  
                                           aten::expand         0.03%       1.920ms         0.04%       2.354ms       2.180us           0 B           0 B          1080  
                                              aten::abs         0.03%       1.685ms         0.03%       1.685ms       3.829us           0 B           0 B           440  
                                         SliceBackward0         0.03%       1.678ms         0.31%      19.319ms      21.953us     106.34 MB           0 B           880  
autograd::engine::evaluate_function: MseLossBackward...         0.03%       1.565ms         0.16%       9.996ms      22.718us      54.88 KB           0 B           440  
                                            aten::zero_         0.02%       1.496ms         0.24%      14.701ms       3.952us           0 B           0 B          3720  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.478ms         0.33%      20.796ms      23.632us           0 B    -106.34 MB           880  
        autograd::engine::evaluate_function: TBackward0         0.02%       1.444ms         0.06%       3.998ms       4.544us           0 B           0 B           880  
autograd::engine::evaluate_function: SqueezeBackward...         0.02%       1.326ms         0.07%       4.051ms       4.604us           0 B           0 B           880  
                                          ReluBackward0         0.02%       1.319ms         0.06%       3.929ms       8.930us       3.43 MB           0 B           440  
                                       aten::contiguous         0.02%       1.300ms         1.17%      72.557ms      74.038us       3.19 GB           0 B           980  
                                aten::broadcast_tensors         0.02%       1.184ms         0.02%       1.184ms       2.691us           0 B           0 B           440  
                                        SelectBackward0         0.02%       1.151ms         0.22%      13.370ms      30.386us     102.91 MB           0 B           440  
                              aten::_local_scalar_dense         0.02%       1.134ms         0.02%       1.134ms       0.285us           0 B           0 B          3980  
                                       SqueezeBackward1         0.02%       1.034ms         0.04%       2.726ms       3.097us           0 B           0 B           880  
                                           MulBackward0         0.02%     990.503us         0.04%       2.311ms       5.251us       3.43 MB           0 B           440  
      autograd::engine::evaluate_function: MulBackward0         0.01%     885.925us         0.05%       3.196ms       7.265us      -3.43 MB      -6.86 MB           440  
     autograd::engine::evaluate_function: ReluBackward0         0.01%     794.607us         0.08%       4.724ms      10.736us      -3.43 MB      -6.86 MB           440  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     776.845us         0.23%      14.147ms      32.152us      99.48 MB      -3.43 MB           440  
                                        aten::ones_like         0.01%     774.122us         0.03%       1.759ms       3.997us       1.72 KB           0 B           440  
autograd::engine::evaluate_function: TransposeBackwa...         0.01%     763.361us         0.04%       2.364ms       5.373us           0 B           0 B           440  
                                             TBackward0         0.01%     711.605us         0.04%       2.554ms       2.902us           0 B           0 B           880  
                                     aten::resolve_conj         0.01%     701.096us         0.01%     701.096us       0.103us           0 B           0 B          6780  
                                          aten::resize_         0.01%     630.935us         0.01%     630.935us       1.314us           0 B           0 B           480  
                              aten::cudnn_is_acceptable         0.01%     558.454us         0.01%     558.454us       1.034us           0 B           0 B           540  
                                     TransposeBackward0         0.01%     479.766us         0.03%       1.601ms       3.638us           0 B           0 B           440  
                                         aten::randperm         0.01%     438.336us         0.02%     952.821us      23.821us     219.53 KB        -160 B            40  
                                          aten::random_         0.00%     154.234us         0.00%     154.234us       7.712us           0 B           0 B            20  
                                    aten::scalar_tensor         0.00%      56.413us         0.00%      56.413us       2.821us         160 B         160 B            20  
                                      aten::resolve_neg         0.00%      24.381us         0.00%      24.381us       0.111us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.213s
