[train_close][LSTM efficiency] Running on device: cpu
[train_close][LSTM efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 049 | train=0.000987 | val=RMSE:319.11|MAE:254.51|MAPE:5.31% | epoch_time=0.62s
[efficiency_close] Epoch 050 | train=0.001124 | val=RMSE:304.33|MAE:239.18|MAPE:5.00% | epoch_time=0.62s
[efficiency_close] Epoch 051 | train=0.001147 | val=RMSE:326.20|MAE:266.00|MAPE:5.53% | epoch_time=0.62s
[efficiency_close] Epoch 052 | train=0.001167 | val=RMSE:385.26|MAE:330.06|MAPE:6.85% | epoch_time=0.62s
[efficiency_close] Epoch 053 | train=0.001091 | val=RMSE:330.30|MAE:271.10|MAPE:5.63% | epoch_time=0.62s
[efficiency_close] Epoch 054 | train=0.001099 | val=RMSE:306.83|MAE:243.92|MAPE:5.09% | epoch_time=0.62s
[efficiency_close] Epoch 055 | train=0.001015 | val=RMSE:338.59|MAE:280.97|MAPE:5.84% | epoch_time=0.62s
[efficiency_close] Epoch 056 | train=0.000888 | val=RMSE:366.90|MAE:308.35|MAPE:6.40% | epoch_time=0.62s
[efficiency_close] Epoch 057 | train=0.000942 | val=RMSE:373.28|MAE:319.02|MAPE:6.63% | epoch_time=0.64s
[efficiency_close] Epoch 058 | train=0.000948 | val=RMSE:320.73|MAE:255.43|MAPE:5.31% | epoch_time=0.64s
[efficiency_close] Epoch 059 | train=0.001077 | val=RMSE:342.20|MAE:286.20|MAPE:5.92% | epoch_time=0.64s
[efficiency_close] Epoch 060 | train=0.001014 | val=RMSE:337.56|MAE:277.87|MAPE:5.76% | epoch_time=0.64s
[efficiency_close] Epoch 061 | train=0.000884 | val=RMSE:370.54|MAE:316.47|MAPE:6.51% | epoch_time=0.62s
[efficiency_close] Epoch 062 | train=0.001031 | val=RMSE:328.35|MAE:266.48|MAPE:5.49% | epoch_time=0.62s
[efficiency_close] Epoch 063 | train=0.000863 | val=RMSE:331.33|MAE:273.25|MAPE:5.61% | epoch_time=0.62s
[efficiency_close] Epoch 064 | train=0.000966 | val=RMSE:317.03|MAE:259.40|MAPE:5.33% | epoch_time=0.62s
[efficiency_close] Epoch 065 | train=0.000876 | val=RMSE:371.31|MAE:316.45|MAPE:6.52% | epoch_time=0.63s
[efficiency_close] Epoch 066 | train=0.000824 | val=RMSE:361.23|MAE:304.38|MAPE:6.24% | epoch_time=0.63s
[efficiency_close] Epoch 067 | train=0.000829 | val=RMSE:387.95|MAE:335.59|MAPE:6.89% | epoch_time=0.62s
[efficiency_close] Epoch 068 | train=0.000881 | val=RMSE:376.11|MAE:317.96|MAPE:6.58% | epoch_time=0.62s
[efficiency_close] Epoch 069 | train=0.000771 | val=RMSE:303.58|MAE:242.31|MAPE:5.00% | epoch_time=0.62s
[efficiency_close] Epoch 070 | train=0.000798 | val=RMSE:388.38|MAE:330.20|MAPE:6.79% | epoch_time=0.62s
[efficiency_close] Epoch 071 | train=0.000884 | val=RMSE:357.06|MAE:297.52|MAPE:6.12% | epoch_time=0.62s
[efficiency_close] Epoch 072 | train=0.000770 | val=RMSE:375.22|MAE:317.59|MAPE:6.51% | epoch_time=0.61s
[efficiency_close] Epoch 073 | train=0.000880 | val=RMSE:354.02|MAE:293.56|MAPE:6.02% | epoch_time=0.62s
[efficiency_close] Epoch 074 | train=0.000835 | val=RMSE:334.08|MAE:273.71|MAPE:5.59% | epoch_time=0.61s
[efficiency_close] Epoch 075 | train=0.000784 | val=RMSE:355.48|MAE:293.44|MAPE:6.02% | epoch_time=0.61s
[efficiency_close] Epoch 076 | train=0.000750 | val=RMSE:384.69|MAE:324.98|MAPE:6.67% | epoch_time=0.60s
[efficiency_close] Epoch 077 | train=0.000740 | val=RMSE:378.80|MAE:321.77|MAPE:6.59% | epoch_time=0.61s
[efficiency_close] Epoch 078 | train=0.000730 | val=RMSE:350.63|MAE:291.14|MAPE:5.96% | epoch_time=0.64s
[efficiency_close] Epoch 079 | train=0.000747 | val=RMSE:309.60|MAE:255.80|MAPE:5.22% | epoch_time=0.64s
