[train_close][TFT efficiency] Running on device: cpu
[train_close][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 048 | train=0.001327 | val=RMSE:887.59|MAE:682.30|MAPE:5.88% | epoch_time=0.26s
[efficiency_close] Epoch 049 | train=0.001270 | val=RMSE:896.27|MAE:686.45|MAPE:5.91% | epoch_time=0.27s
[efficiency_close] Epoch 050 | train=0.001325 | val=RMSE:839.70|MAE:642.94|MAPE:5.55% | epoch_time=0.26s
[efficiency_close] Epoch 051 | train=0.001308 | val=RMSE:825.01|MAE:624.68|MAPE:5.39% | epoch_time=0.26s
[efficiency_close] Epoch 052 | train=0.001460 | val=RMSE:916.15|MAE:703.78|MAPE:6.06% | epoch_time=0.26s
[efficiency_close] Epoch 053 | train=0.001279 | val=RMSE:833.45|MAE:626.00|MAPE:5.40% | epoch_time=0.26s
[efficiency_close] Epoch 054 | train=0.001238 | val=RMSE:857.70|MAE:646.69|MAPE:5.57% | epoch_time=0.26s
[efficiency_close] Epoch 055 | train=0.001225 | val=RMSE:828.85|MAE:622.35|MAPE:5.37% | epoch_time=0.26s
[efficiency_close] Epoch 056 | train=0.001265 | val=RMSE:908.91|MAE:701.92|MAPE:6.04% | epoch_time=0.26s
[efficiency_close] Epoch 057 | train=0.001274 | val=RMSE:806.18|MAE:602.00|MAPE:5.20% | epoch_time=0.26s
[efficiency_close] Epoch 058 | train=0.001298 | val=RMSE:972.02|MAE:759.93|MAPE:6.54% | epoch_time=0.27s
[efficiency_close] Epoch 059 | train=0.001267 | val=RMSE:942.53|MAE:723.81|MAPE:6.23% | epoch_time=0.27s
[efficiency_close] Epoch 060 | train=0.001408 | val=RMSE:917.29|MAE:698.79|MAPE:6.01% | epoch_time=0.27s
[efficiency_close] Epoch 061 | train=0.001328 | val=RMSE:868.58|MAE:659.12|MAPE:5.68% | epoch_time=0.27s
[efficiency_close] Epoch 062 | train=0.001114 | val=RMSE:937.60|MAE:721.32|MAPE:6.21% | epoch_time=0.27s
[efficiency_close] Epoch 063 | train=0.001170 | val=RMSE:915.92|MAE:705.39|MAPE:6.07% | epoch_time=0.27s
[efficiency_close] Epoch 064 | train=0.001232 | val=RMSE:867.96|MAE:653.69|MAPE:5.63% | epoch_time=0.27s
[efficiency_close] Epoch 065 | train=0.001267 | val=RMSE:907.45|MAE:689.23|MAPE:5.93% | epoch_time=0.27s
[efficiency_close] Epoch 066 | train=0.001150 | val=RMSE:902.95|MAE:685.27|MAPE:5.90% | epoch_time=0.27s
[efficiency_close] Epoch 067 | train=0.001116 | val=RMSE:893.29|MAE:680.44|MAPE:5.86% | epoch_time=0.27s
[efficiency_close] Epoch 068 | train=0.001217 | val=RMSE:836.29|MAE:625.94|MAPE:5.40% | epoch_time=0.27s
[efficiency_close] Epoch 069 | train=0.001195 | val=RMSE:892.22|MAE:683.32|MAPE:5.88% | epoch_time=0.27s
[efficiency_close] Epoch 070 | train=0.001149 | val=RMSE:955.24|MAE:738.47|MAPE:6.35% | epoch_time=0.27s
[efficiency_close] Epoch 071 | train=0.001175 | val=RMSE:805.94|MAE:605.11|MAPE:5.23% | epoch_time=0.27s
[efficiency_close] Epoch 072 | train=0.001171 | val=RMSE:825.02|MAE:620.14|MAPE:5.35% | epoch_time=0.27s
[efficiency_close] Epoch 073 | train=0.001372 | val=RMSE:959.60|MAE:739.34|MAPE:6.36% | epoch_time=0.27s
[efficiency_close] Epoch 074 | train=0.001166 | val=RMSE:901.09|MAE:685.85|MAPE:5.90% | epoch_time=0.27s
[efficiency_close] Epoch 075 | train=0.001213 | val=RMSE:876.03|MAE:658.88|MAPE:5.67% | epoch_time=0.27s
[efficiency_close] Epoch 076 | train=0.001052 | val=RMSE:898.47|MAE:678.87|MAPE:5.84% | epoch_time=0.27s
[efficiency_close] Epoch 077 | train=0.001173 | val=RMSE:894.30|MAE:677.67|MAPE:5.83% | epoch_time=0.27s
