-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               aten::_scaled_dot_product_attention_math         0.26%      17.026ms         5.14%     333.656ms     189.578us     159.93 MB     -13.30 MB          1760  
                                          aten::squeeze         0.25%      16.352ms         0.30%      19.179ms       2.796us           0 B           0 B          6860  
                                       aten::empty_like         0.25%      16.326ms         0.56%      36.305ms       2.480us     852.38 MB     365.08 KB         14640  
                                            aten::clone         0.24%      15.857ms         2.30%     149.606ms      20.779us     809.48 MB           0 B          7200  
                                    aten::_foreach_norm         0.24%      15.820ms         1.43%      92.671ms     210.616us     116.88 KB          32 B           440  
                                          aten::dropout         0.24%      15.328ms         2.98%     193.628ms      29.249us      76.32 MB      -6.96 KB          6620  
autograd::engine::evaluate_function: NativeLayerNorm...         0.23%      15.088ms         1.18%      76.835ms      24.947us     -12.00 MB     -24.76 MB          3080  
                                            aten::where         0.22%      14.547ms         0.33%      21.308ms       6.053us       7.60 KB         760 B          3520  
      autograd::engine::evaluate_function: MulBackward0         0.22%      14.144ms         0.92%      60.062ms       8.532us     -26.16 MB    -174.08 MB          7040  
                                             aten::item         0.22%      14.082ms         0.28%      18.061ms       0.584us           0 B           0 B         30920  
                                    aten::_foreach_mul_         0.21%      13.906ms         0.52%      34.085ms      77.466us           0 B           0 B           440  
                                           aten::detach         0.21%      13.791ms         0.54%      35.060ms       1.173us           0 B           0 B         29880  
      autograd::engine::evaluate_function: BmmBackward0         0.18%      12.004ms         4.00%     259.694ms      73.777us    -129.92 MB    -362.74 MB          3520  
                                    aten::_safe_softmax         0.17%      11.307ms         0.91%      58.902ms      33.467us      13.29 MB      -3.54 MB          1760  
      aten::_scaled_dot_product_flash_attention_for_cpu         0.17%      11.127ms         0.24%      15.386ms      38.466us       1.65 MB    -316.86 KB           400  
                                            aten::slice         0.17%      10.756ms         0.20%      12.760ms       2.658us           0 B           0 B          4800  
autograd::engine::evaluate_function: SelectBackward0...         0.16%      10.627ms         2.09%     135.475ms      27.991us       2.70 MB    -441.51 MB          4840  
                                          aten::permute         0.16%      10.265ms         0.18%      11.630ms       2.967us           0 B           0 B          3920  
                                            aten::zeros         0.16%      10.078ms         0.97%      62.730ms       9.225us     451.80 MB     776.00 KB          6800  
                                  aten::select_backward         0.15%       9.718ms         1.66%     107.647ms      22.241us     444.21 MB           0 B          4840  
autograd::engine::evaluate_function: ExpandBackward0...         0.15%       9.682ms         0.23%      15.233ms       1.923us     -49.74 MB     -51.45 MB          7920  
                                     aten::_unsafe_view         0.15%       9.531ms         0.15%       9.531ms       1.101us           0 B           0 B          8660  
      autograd::engine::evaluate_function: AddBackward0         0.14%       9.403ms         0.21%      13.733ms       2.601us       1.72 MB           0 B          5280  
                                           BmmBackward0         0.14%       8.925ms         3.81%     247.690ms      70.367us     232.82 MB           0 B          3520  
                               NativeLayerNormBackward0         0.13%       8.397ms         0.95%      61.748ms      20.048us      12.76 MB      -8.00 KB          3080  
                                           MulBackward0         0.12%       8.084ms         0.71%      45.919ms       6.523us     147.93 MB           0 B          7040  
                                        aten::clamp_min         0.12%       7.921ms         0.12%       7.921ms       3.667us      19.78 MB      19.78 MB          2160  
                                 aten::split_with_sizes         0.12%       7.823ms         0.14%       9.187ms       4.253us           0 B           0 B          2160  
                                             aten::lstm         0.12%       7.673ms         5.10%     330.988ms     612.942us       1.10 GB     -11.76 MB           540  
                               aten::threshold_backward         0.12%       7.583ms         0.12%       7.583ms       4.308us      16.29 MB      16.29 MB          1760  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         0.12%       7.537ms         5.68%     368.817ms     838.220us      -1.07 GB      -1.14 GB           440  
                                     TransposeBackward0         0.12%       7.535ms         0.51%      32.924ms       2.338us           0 B           0 B         14080  
                                             TBackward0         0.11%       7.233ms         0.47%      30.798ms       2.500us           0 B           0 B         12320  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.11%       6.977ms         0.48%      31.228ms       6.452us      51.45 MB           0 B          4840  
                                       aten::lift_fresh         0.10%       6.636ms         0.10%       6.636ms       0.097us           0 B           0 B         68240  
                                         aten::isneginf         0.10%       6.305ms         0.10%       6.305ms       3.582us       3.32 MB       3.32 MB          1760  
                                     aten::resolve_conj         0.10%       6.211ms         0.10%       6.211ms       0.058us           0 B           0 B        107260  
      autograd::engine::evaluate_function: MulBackward1         0.09%       6.125ms         0.82%      52.965ms      15.047us           0 B    -113.20 MB          3520  
                                             aten::relu         0.09%       5.751ms         0.21%      13.672ms       6.330us      19.78 MB           0 B          2160  
                                       aten::layer_norm         0.09%       5.554ms         0.90%      58.701ms      15.529us      15.34 MB    -154.90 KB          3780  
                     aten::scaled_dot_product_attention         0.08%       5.243ms         5.45%     354.286ms     164.021us     161.43 MB    -151.73 KB          2160  
                                   aten::_reshape_alias         0.08%       5.203ms         0.08%       5.203ms       1.478us           0 B           0 B          3520  
autograd::engine::evaluate_function: UnsqueezeBackwa...         0.08%       5.113ms         0.25%      16.413ms       5.329us      -3.10 MB      -3.10 MB          3080  
                                         aten::mse_loss         0.07%       4.715ms         0.20%      13.067ms      29.699us      54.88 KB           0 B           440  
                                           aten::narrow         0.07%       4.712ms         0.18%      11.846ms       4.171us           0 B           0 B          2840  
      autograd::engine::evaluate_function: CatBackward0         0.07%       4.589ms         0.54%      34.815ms      39.563us     -98.93 MB    -152.10 MB           880  
                                        SelectBackward0         0.07%       4.471ms         1.73%     112.118ms      23.165us     444.21 MB           0 B          4840  
                                    UnsafeViewBackward0         0.06%       3.979ms         0.37%      24.250ms       5.010us      51.45 MB           0 B          4840  
                              aten::_local_scalar_dense         0.06%       3.979ms         0.06%       3.979ms       0.129us           0 B           0 B         30920  
                                            MmBackward0         0.06%       3.826ms         0.45%      29.397ms      33.406us      56.61 MB           0 B           880  
autograd::engine::evaluate_function: SplitWithSizesB...         0.06%       3.746ms         0.20%      12.856ms       7.305us           0 B     -10.63 MB          1760  
autograd::engine::evaluate_function: SafeSoftmaxBack...         0.06%       3.735ms         0.27%      17.858ms      10.147us     -13.29 MB     -26.58 MB          1760  
    autograd::engine::evaluate_function: CloneBackward0         0.06%       3.700ms         0.07%       4.508ms       1.707us           0 B           0 B          2640  
                                        aten::unflatten         0.05%       3.527ms         0.10%       6.357ms       2.943us           0 B           0 B          2160  
                                          aten::softmax         0.05%       3.458ms         0.45%      29.271ms      10.307us      77.85 MB           0 B          2840  
                                   SafeSoftmaxBackward0         0.05%       3.403ms         0.22%      14.123ms       8.025us      13.29 MB           0 B          1760  
       autograd::engine::evaluate_function: MmBackward0         0.05%       3.391ms         0.50%      32.789ms      37.260us     -48.02 MB    -104.62 MB           880  
                                MkldnnRnnLayerBackward0         0.05%       3.328ms         5.56%     361.280ms     821.091us      65.63 MB      -3.43 MB           440  
                                          ReluBackward0         0.05%       3.307ms         0.17%      10.889ms       6.187us      16.29 MB           0 B          1760  
                                aten::mse_loss_backward         0.05%       3.250ms         0.11%       6.912ms       7.855us      54.88 KB           0 B           880  
                                    aten::scalar_tensor         0.05%       3.214ms         0.05%       3.214ms       0.908us      13.89 KB      13.89 KB          3540  
     autograd::engine::evaluate_function: ReluBackward0         0.05%       3.144ms         0.22%      14.033ms       7.973us     -16.29 MB     -32.59 MB          1760  
