-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               aten::_scaled_dot_product_attention_math         0.26%      17.498ms         5.11%     337.768ms     191.914us     159.93 MB     -13.30 MB          1760  
                                       aten::empty_like         0.25%      16.473ms         0.56%      36.858ms       2.518us     852.38 MB     264.00 KB         14640  
                                    aten::_foreach_norm         0.25%      16.312ms         1.42%      94.002ms     213.640us     116.88 KB          20 B           440  
                                            aten::clone         0.25%      16.228ms         2.35%     155.103ms      21.542us     809.48 MB           0 B          7200  
                                          aten::squeeze         0.24%      16.181ms         0.29%      19.086ms       2.782us           0 B           0 B          6860  
                                          aten::dropout         0.24%      15.583ms         2.97%     196.522ms      29.686us      76.32 MB      -6.77 KB          6620  
autograd::engine::evaluate_function: NativeLayerNorm...         0.23%      15.430ms         1.17%      77.467ms      25.152us     -12.00 MB     -24.76 MB          3080  
      autograd::engine::evaluate_function: MulBackward0         0.23%      15.002ms         0.93%      61.464ms       8.731us     -26.16 MB    -174.08 MB          7040  
                                            aten::where         0.22%      14.862ms         0.33%      21.893ms       6.220us       7.59 KB         748 B          3520  
                                             aten::item         0.22%      14.653ms         0.28%      18.672ms       0.604us           0 B           0 B         30920  
                                           aten::detach         0.21%      13.943ms         0.54%      35.866ms       1.218us           0 B           0 B         29440  
                                    aten::_foreach_mul_         0.21%      13.935ms         0.52%      34.217ms      77.766us           0 B           0 B           440  
      autograd::engine::evaluate_function: BmmBackward0         0.19%      12.371ms         3.96%     261.873ms      74.396us    -129.92 MB    -362.74 MB          3520  
                                    aten::_safe_softmax         0.17%      11.550ms         0.90%      59.526ms      33.821us      13.29 MB      -3.54 MB          1760  
                                            aten::slice         0.17%      10.953ms         0.20%      13.001ms       2.709us           0 B           0 B          4800  
      aten::_scaled_dot_product_flash_attention_for_cpu         0.16%      10.837ms         0.23%      15.059ms      37.647us       1.65 MB    -315.53 KB           400  
autograd::engine::evaluate_function: SelectBackward0...         0.16%      10.810ms         2.08%     137.651ms      28.440us       2.61 MB    -441.58 MB          4840  
autograd::engine::evaluate_function: ExpandBackward0...         0.15%      10.093ms         0.24%      15.768ms       1.991us     -49.74 MB     -51.45 MB          7920  
                                            aten::zeros         0.15%      10.070ms         0.97%      63.929ms       9.401us     451.80 MB     340.00 KB          6800  
                                          aten::permute         0.15%      10.017ms         0.17%      11.350ms       2.895us           0 B           0 B          3920  
      autograd::engine::evaluate_function: AddBackward0         0.15%       9.832ms         0.22%      14.270ms       2.703us       1.72 MB           0 B          5280  
                                  aten::select_backward         0.15%       9.704ms         1.66%     109.538ms      22.632us     444.21 MB           0 B          4840  
                                     aten::_unsafe_view         0.15%       9.675ms         0.15%       9.675ms       1.117us           0 B           0 B          8660  
                                           BmmBackward0         0.14%       9.123ms         3.78%     249.502ms      70.881us     232.82 MB           0 B          3520  
                               NativeLayerNormBackward0         0.13%       8.546ms         0.94%      62.037ms      20.142us      12.76 MB      -2.00 KB          3080  
                                           MulBackward0         0.13%       8.274ms         0.70%      46.462ms       6.600us     147.93 MB           0 B          7040  
                                             aten::lstm         0.13%       8.269ms         5.13%     339.134ms     628.025us       1.10 GB     -11.76 MB           540  
                                 aten::split_with_sizes         0.12%       7.967ms         0.14%       9.337ms       4.323us           0 B           0 B          2160  
                                        aten::clamp_min         0.12%       7.843ms         0.12%       7.843ms       3.631us      19.78 MB      19.78 MB          2160  
                               aten::threshold_backward         0.12%       7.739ms         0.12%       7.739ms       4.397us      16.29 MB      16.29 MB          1760  
                                     TransposeBackward0         0.11%       7.590ms         0.50%      33.107ms       2.351us           0 B           0 B         14080  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         0.11%       7.588ms         5.67%     374.563ms     851.280us      -1.07 GB      -1.14 GB           440  
