[train_mean][TFT efficiency] Running on device: cpu
[train_mean][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 048 | train=0.001192 | val=RMSE:861.92|MAE:665.98|MAPE:5.77% | epoch_time=0.26s
[efficiency_mean] Epoch 049 | train=0.001153 | val=RMSE:843.88|MAE:660.79|MAPE:5.73% | epoch_time=0.26s
[efficiency_mean] Epoch 050 | train=0.001137 | val=RMSE:786.48|MAE:602.30|MAPE:5.23% | epoch_time=0.26s
[efficiency_mean] Epoch 051 | train=0.001131 | val=RMSE:822.33|MAE:629.55|MAPE:5.46% | epoch_time=0.26s
[efficiency_mean] Epoch 052 | train=0.001292 | val=RMSE:796.09|MAE:608.38|MAPE:5.28% | epoch_time=0.26s
[efficiency_mean] Epoch 053 | train=0.001101 | val=RMSE:835.12|MAE:633.23|MAPE:5.47% | epoch_time=0.26s
[efficiency_mean] Epoch 054 | train=0.001206 | val=RMSE:821.31|MAE:623.03|MAPE:5.39% | epoch_time=0.26s
[efficiency_mean] Epoch 055 | train=0.001054 | val=RMSE:819.58|MAE:633.96|MAPE:5.50% | epoch_time=0.26s
[efficiency_mean] Epoch 056 | train=0.001058 | val=RMSE:853.49|MAE:653.45|MAPE:5.65% | epoch_time=0.26s
[efficiency_mean] Epoch 057 | train=0.001179 | val=RMSE:820.75|MAE:635.99|MAPE:5.52% | epoch_time=0.26s
[efficiency_mean] Epoch 058 | train=0.001082 | val=RMSE:848.60|MAE:650.61|MAPE:5.63% | epoch_time=0.26s
[efficiency_mean] Epoch 059 | train=0.001092 | val=RMSE:846.16|MAE:647.12|MAPE:5.60% | epoch_time=0.26s
[efficiency_mean] Epoch 060 | train=0.001095 | val=RMSE:855.41|MAE:649.92|MAPE:5.62% | epoch_time=0.26s
[efficiency_mean] Epoch 061 | train=0.001079 | val=RMSE:848.26|MAE:652.67|MAPE:5.65% | epoch_time=0.26s
[efficiency_mean] Epoch 062 | train=0.001152 | val=RMSE:907.76|MAE:715.49|MAPE:6.20% | epoch_time=0.26s
[efficiency_mean] Epoch 063 | train=0.001027 | val=RMSE:846.37|MAE:661.75|MAPE:5.74% | epoch_time=0.26s
[efficiency_mean] Epoch 064 | train=0.001033 | val=RMSE:793.43|MAE:607.62|MAPE:5.27% | epoch_time=0.26s
[efficiency_mean] Epoch 065 | train=0.001131 | val=RMSE:874.99|MAE:676.62|MAPE:5.86% | epoch_time=0.26s
[efficiency_mean] Epoch 066 | train=0.001028 | val=RMSE:865.31|MAE:671.60|MAPE:5.82% | epoch_time=0.26s
[efficiency_mean] Epoch 067 | train=0.001019 | val=RMSE:851.87|MAE:656.40|MAPE:5.68% | epoch_time=0.26s
[efficiency_mean] Epoch 068 | train=0.001011 | val=RMSE:799.98|MAE:622.09|MAPE:5.40% | epoch_time=0.26s
[efficiency_mean] Epoch 069 | train=0.001125 | val=RMSE:832.60|MAE:651.69|MAPE:5.65% | epoch_time=0.26s
[efficiency_mean] Epoch 070 | train=0.001099 | val=RMSE:859.41|MAE:669.46|MAPE:5.80% | epoch_time=0.26s
[efficiency_mean] Epoch 071 | train=0.001032 | val=RMSE:846.80|MAE:661.45|MAPE:5.74% | epoch_time=0.27s
[efficiency_mean] Epoch 072 | train=0.001019 | val=RMSE:870.77|MAE:678.57|MAPE:5.88% | epoch_time=0.26s
[efficiency_mean] Epoch 073 | train=0.001061 | val=RMSE:817.31|MAE:633.60|MAPE:5.50% | epoch_time=0.26s
[efficiency_mean] Epoch 074 | train=0.001142 | val=RMSE:813.62|MAE:626.60|MAPE:5.44% | epoch_time=0.26s
[efficiency_mean] Epoch 075 | train=0.001132 | val=RMSE:817.77|MAE:636.16|MAPE:5.52% | epoch_time=0.26s
[efficiency_mean] Epoch 076 | train=0.000917 | val=RMSE:899.17|MAE:702.34|MAPE:6.08% | epoch_time=0.26s
[efficiency_mean] Epoch 077 | train=0.001021 | val=RMSE:904.93|MAE:719.89|MAPE:6.24% | epoch_time=0.26s
[efficiency_mean] Epoch 078 | train=0.001113 | val=RMSE:817.51|MAE:626.64|MAPE:5.43% | epoch_time=0.26s
[efficiency_mean] Epoch 079 | train=0.001036 | val=RMSE:869.70|MAE:665.63|MAPE:5.76% | epoch_time=0.26s
[efficiency_mean] Epoch 080 | train=0.001030 | val=RMSE:861.08|MAE:661.25|MAPE:5.72% | epoch_time=0.26s
[efficiency_mean] Epoch 081 | train=0.001139 | val=RMSE:806.54|MAE:614.96|MAPE:5.33% | epoch_time=0.26s
[efficiency_mean] Epoch 082 | train=0.000929 | val=RMSE:867.24|MAE:677.88|MAPE:5.87% | epoch_time=0.26s
