-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         aten::mse_loss         0.08%       5.690ms         0.23%      17.521ms      39.821us      54.88 KB         500 B           440  
                                               aten::mm         0.08%       5.652ms         0.12%       8.761ms       9.955us       3.58 MB     150.00 KB           880  
                                    aten::_foreach_mul_         0.07%       5.562ms         0.60%      44.774ms     101.759us           0 B           0 B           440  
                                           aten::detach         0.07%       5.360ms         0.17%      13.086ms       1.422us           0 B           0 B          9200  
                                        aten::transpose         0.07%       4.885ms         0.08%       6.085ms       2.142us           0 B           0 B          2840  
                                           MulBackward0         0.06%       4.773ms         0.87%      65.354ms      18.566us     823.24 MB           0 B          3520  
                                             aten::item         0.06%       4.732ms         0.09%       6.393ms       0.690us           0 B           0 B          9260  
                                 ConstantPadNdBackward0         0.06%       4.326ms         1.61%     121.233ms      39.361us     720.34 MB           0 B          3080  
                                                aten::t         0.06%       4.245ms         0.10%       7.513ms       3.267us           0 B           0 B          2300  
    autograd::engine::evaluate_function: AddmmBackward0         0.06%       4.182ms         0.31%      23.540ms      53.500us     -99.42 MB    -102.96 MB           440  
                                aten::mse_loss_backward         0.06%       4.181ms         0.11%       8.127ms       9.235us      54.88 KB           0 B           880  
                                           aten::select         0.06%       4.138ms         0.06%       4.675ms       4.770us           0 B           0 B           980  
                                          aten::resize_         0.05%       4.050ms         0.05%       4.050ms       0.248us           0 B           0 B         16340  
                                       aten::lift_fresh         0.05%       3.949ms         0.05%       3.949ms       0.116us           0 B           0 B         34120  
      autograd::engine::evaluate_function: AddBackward0         0.05%       3.551ms         0.06%       4.765ms       2.707us           0 B           0 B          1760  
                                             aten::mean         0.04%       3.110ms         0.15%      11.141ms      25.320us           0 B        -752 B           440  
                                   aten::slice_backward         0.04%       3.039ms         0.28%      20.812ms      23.650us     205.81 MB           0 B           880  
                                         AddmmBackward0         0.04%       3.001ms         0.20%      15.271ms      34.707us       3.54 MB     -40.00 KB           440  
                                  aten::select_backward         0.04%       2.913ms         0.23%      17.136ms      38.945us     102.91 MB           0 B           440  
                                             aten::view         0.04%       2.743ms         0.04%       2.743ms       2.799us           0 B           0 B           980  
                                       aten::reciprocal         0.03%       2.431ms         0.03%       2.431ms       5.526us       1.72 KB       1.72 KB           440  
                                            aten::clamp         0.03%       2.403ms         0.03%       2.441ms       5.548us       1.72 KB       1.72 KB           440  
                                            aten::zeros         0.03%       2.247ms         0.22%      16.367ms      12.399us     308.72 MB       2.34 MB          1320  
                                           aten::linear         0.03%       2.222ms         0.35%      26.064ms      48.266us      66.64 KB           0 B           540  
                                       MseLossBackward0         0.03%       2.124ms         0.12%       8.686ms      19.741us      54.88 KB           0 B           440  
                                              aten::abs         0.02%       1.729ms         0.02%       1.729ms       3.930us           0 B           0 B           440  
                              aten::_local_scalar_dense         0.02%       1.662ms         0.02%       1.662ms       0.179us           0 B           0 B          9260  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.549ms         0.14%      10.235ms      23.261us      54.88 KB           0 B           440  
                                         SliceBackward0         0.02%       1.427ms         0.30%      22.239ms      25.271us     205.81 MB           0 B           880  
                                        SelectBackward0         0.02%       1.398ms         0.25%      18.534ms      42.123us     102.91 MB           0 B           440  
