[train_mean][TCN efficiency] Running on device: cpu
[train_mean][TCN efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_mean] Epoch 048 | train=0.000354 | val=RMSE:346.49|MAE:276.84|MAPE:2.47% | epoch_time=0.80s
[efficiency_mean] Epoch 049 | train=0.000377 | val=RMSE:481.92|MAE:394.93|MAPE:3.47% | epoch_time=0.80s
[efficiency_mean] Epoch 050 | train=0.000331 | val=RMSE:391.74|MAE:319.23|MAPE:2.82% | epoch_time=0.81s
[efficiency_mean] Epoch 051 | train=0.000311 | val=RMSE:469.73|MAE:388.17|MAPE:3.41% | epoch_time=0.81s
[efficiency_mean] Epoch 052 | train=0.000277 | val=RMSE:449.96|MAE:365.58|MAPE:3.21% | epoch_time=0.80s
[efficiency_mean] Epoch 053 | train=0.000290 | val=RMSE:397.62|MAE:325.76|MAPE:2.88% | epoch_time=0.81s
[efficiency_mean] Epoch 054 | train=0.000313 | val=RMSE:415.88|MAE:337.66|MAPE:2.98% | epoch_time=0.82s
[efficiency_mean] Epoch 055 | train=0.000312 | val=RMSE:402.72|MAE:330.56|MAPE:2.92% | epoch_time=0.80s
[efficiency_mean] Epoch 056 | train=0.000376 | val=RMSE:383.25|MAE:315.37|MAPE:2.79% | epoch_time=0.80s
[efficiency_mean] Epoch 057 | train=0.000277 | val=RMSE:357.40|MAE:288.98|MAPE:2.58% | epoch_time=0.80s
[efficiency_mean] Epoch 058 | train=0.000279 | val=RMSE:398.36|MAE:324.71|MAPE:2.87% | epoch_time=0.80s
[efficiency_mean] Epoch 059 | train=0.000323 | val=RMSE:355.47|MAE:287.89|MAPE:2.58% | epoch_time=0.79s
[efficiency_mean] Epoch 060 | train=0.000411 | val=RMSE:453.08|MAE:367.61|MAPE:3.23% | epoch_time=0.80s
[efficiency_mean] Epoch 061 | train=0.000398 | val=RMSE:459.64|MAE:376.92|MAPE:3.31% | epoch_time=0.80s
[efficiency_mean] Epoch 062 | train=0.000431 | val=RMSE:419.06|MAE:337.61|MAPE:2.98% | epoch_time=0.79s
[efficiency_mean] Epoch 063 | train=0.000376 | val=RMSE:438.73|MAE:358.12|MAPE:3.15% | epoch_time=0.80s
[efficiency_mean] Epoch 064 | train=0.000380 | val=RMSE:436.33|MAE:358.86|MAPE:3.16% | epoch_time=0.80s
[efficiency_mean] Epoch 065 | train=0.000421 | val=RMSE:422.45|MAE:348.45|MAPE:3.07% | epoch_time=0.80s
[efficiency_mean] Epoch 066 | train=0.000253 | val=RMSE:432.23|MAE:356.50|MAPE:3.14% | epoch_time=0.80s
[efficiency_mean] Epoch 067 | train=0.000254 | val=RMSE:466.03|MAE:385.56|MAPE:3.39% | epoch_time=0.80s
[efficiency_mean] Epoch 068 | train=0.000248 | val=RMSE:417.40|MAE:335.60|MAPE:2.96% | epoch_time=0.80s
[efficiency_mean] Epoch 069 | train=0.000243 | val=RMSE:432.78|MAE:352.32|MAPE:3.10% | epoch_time=0.82s
[efficiency_mean] Epoch 070 | train=0.000199 | val=RMSE:400.91|MAE:329.17|MAPE:2.91% | epoch_time=0.79s
[efficiency_mean] Epoch 071 | train=0.000178 | val=RMSE:410.88|MAE:336.65|MAPE:2.97% | epoch_time=0.80s
[efficiency_mean] Epoch 072 | train=0.000220 | val=RMSE:439.43|MAE:357.42|MAPE:3.15% | epoch_time=0.80s
[efficiency_mean] Epoch 073 | train=0.000239 | val=RMSE:509.33|MAE:422.32|MAPE:3.71% | epoch_time=0.80s
[efficiency_mean] Epoch 074 | train=0.000229 | val=RMSE:436.20|MAE:361.39|MAPE:3.19% | epoch_time=0.80s
[efficiency_mean] Epoch 075 | train=0.000235 | val=RMSE:433.69|MAE:358.11|MAPE:3.16% | epoch_time=0.80s
[efficiency_mean] Epoch 076 | train=0.000382 | val=RMSE:455.53|MAE:373.18|MAPE:3.28% | epoch_time=0.79s
[efficiency_mean] Epoch 077 | train=0.000302 | val=RMSE:356.09|MAE:283.80|MAPE:2.53% | epoch_time=0.79s
[efficiency_mean] Epoch 078 | train=0.000425 | val=RMSE:458.72|MAE:374.99|MAPE:3.30% | epoch_time=0.80s
[efficiency_mean] Epoch 079 | train=0.000392 | val=RMSE:343.22|MAE:276.73|MAPE:2.48% | epoch_time=0.79s
[efficiency_mean] Epoch 080 | train=0.000409 | val=RMSE:461.39|MAE:382.15|MAPE:3.36% | epoch_time=0.80s
[efficiency_mean] Epoch 081 | train=0.000283 | val=RMSE:455.40|MAE:377.48|MAPE:3.33% | epoch_time=0.80s
[efficiency_mean] Epoch 082 | train=0.000207 | val=RMSE:398.87|MAE:322.39|MAPE:2.85% | epoch_time=0.80s
[efficiency_mean] Epoch 083 | train=0.000250 | val=RMSE:409.57|MAE:330.08|MAPE:2.92% | epoch_time=0.79s
[efficiency_mean] Epoch 084 | train=0.000198 | val=RMSE:401.67|MAE:326.90|MAPE:2.89% | epoch_time=0.79s
[efficiency_mean] Epoch 085 | train=0.000180 | val=RMSE:418.14|MAE:343.24|MAPE:3.03% | epoch_time=0.79s
[efficiency_mean] Epoch 086 | train=0.000176 | val=RMSE:337.89|MAE:271.61|MAPE:2.44% | epoch_time=0.79s
[efficiency_mean] Epoch 087 | train=0.000212 | val=RMSE:386.47|MAE:315.15|MAPE:2.80% | epoch_time=0.80s
[efficiency_mean] Epoch 088 | train=0.000192 | val=RMSE:380.24|MAE:311.23|MAPE:2.76% | epoch_time=0.79s
[efficiency_mean] Epoch 089 | train=0.000215 | val=RMSE:492.42|MAE:407.42|MAPE:3.59% | epoch_time=0.79s
[efficiency_mean] Epoch 090 | train=0.000212 | val=RMSE:374.74|MAE:307.37|MAPE:2.73% | epoch_time=0.79s
[efficiency_mean] Epoch 091 | train=0.000164 | val=RMSE:405.58|MAE:330.72|MAPE:2.93% | epoch_time=0.79s
[efficiency_mean] Epoch 092 | train=0.000225 | val=RMSE:391.73|MAE:319.43|MAPE:2.83% | epoch_time=0.79s
[efficiency_mean] Epoch 093 | train=0.000174 | val=RMSE:371.93|MAE:304.94|MAPE:2.71% | epoch_time=0.79s
[efficiency_mean] Epoch 094 | train=0.000240 | val=RMSE:428.94|MAE:355.35|MAPE:3.14% | epoch_time=0.79s
[efficiency_mean] Epoch 095 | train=0.000204 | val=RMSE:383.92|MAE:311.34|MAPE:2.77% | epoch_time=0.80s
[efficiency_mean] Epoch 096 | train=0.000206 | val=RMSE:407.59|MAE:334.24|MAPE:2.96% | epoch_time=0.79s
[efficiency_mean] Epoch 097 | train=0.000181 | val=RMSE:405.36|MAE:330.05|MAPE:2.92% | epoch_time=0.79s
[efficiency_mean] Epoch 098 | train=0.000154 | val=RMSE:429.20|MAE:349.35|MAPE:3.09% | epoch_time=0.79s
[efficiency_mean] Epoch 099 | train=0.000185 | val=RMSE:417.01|MAE:343.62|MAPE:3.04% | epoch_time=0.79s
[efficiency_mean] Epoch 100 | train=0.000173 | val=RMSE:478.13|MAE:393.88|MAPE:3.47% | epoch_time=0.79s
Saved loss curves: ICBP_mean_training_loss_curve.png, ICBP_mean_validation_rmse_curve.png
================================================================================
Run timestamp: 2025-11-11 04:20:49
Ticker: ICBP
[efficiency_mean] Done. Total elapsed: 141.39s
[efficiency_mean] Test RMSE=558.94 MAE=468.04 MAPE=4.28%
[train_mean][TCN efficiency] Done on device: cpu
[save_metrics] Final metrics in: /home/ubuntu/skripsi_2602214545/tcn/efficiency/results/metrics
[save_metrics] Files: ICBP_mean_val_metrics.(json|txt), ICBP_mean_test_metrics.(json|txt)
================================================================================

