-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.896ms         0.14%      11.920ms      27.090us      54.88 KB           0 B           440  
                              aten::_local_scalar_dense         0.02%       1.891ms         0.02%       1.891ms       0.204us           0 B           0 B          9260  
                                              aten::abs         0.02%       1.849ms         0.02%       1.849ms       4.202us           0 B           0 B           440  
                                         SliceBackward0         0.02%       1.704ms         0.29%      24.530ms      27.875us     205.81 MB           0 B           880  
                                        SelectBackward0         0.02%       1.548ms         0.24%      20.408ms      46.381us     102.91 MB           0 B           440  
                                           aten::expand         0.02%       1.530ms         0.02%       1.772ms       3.282us           0 B           0 B           540  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.529ms         0.31%      26.059ms      29.613us           0 B    -205.81 MB           880  
                                           AddBackward0         0.02%       1.467ms         0.02%       1.467ms       0.833us           0 B           0 B          1760  
                                aten::broadcast_tensors         0.02%       1.452ms         0.02%       1.452ms       3.299us           0 B           0 B           440  
                                       aten::zeros_like         0.02%       1.371ms         0.03%       2.710ms       6.159us      54.88 KB           0 B           440  
autograd::engine::evaluate_function: SqueezeBackward...         0.01%       1.224ms         0.05%       4.237ms       4.815us           0 B           0 B           880  
                                       aten::contiguous         0.01%       1.138ms         1.02%      85.310ms     157.981us       3.09 GB           0 B           540  
                                       SqueezeBackward1         0.01%       1.089ms         0.04%       3.013ms       3.424us           0 B           0 B           880  
                                            aten::zero_         0.01%       1.073ms         0.18%      15.124ms       8.593us           0 B           0 B          1760  
                                        aten::ones_like         0.01%     876.370us         0.02%       1.936ms       4.400us       1.72 KB           0 B           440  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     828.241us         0.25%      21.236ms      48.264us      99.48 MB      -3.43 MB           440  
        autograd::engine::evaluate_function: TBackward0         0.01%     772.724us         0.03%       2.137ms       4.856us           0 B           0 B           440  
                                     aten::resolve_conj         0.01%     589.492us         0.01%     589.492us       0.193us           0 B           0 B          3060  
                                             TBackward0         0.01%     455.779us         0.02%       1.364ms       3.100us           0 B           0 B           440  
                                         aten::randperm         0.01%     437.460us         0.01%     945.092us      23.627us     219.53 KB        -160 B            40  
                                          aten::random_         0.00%     191.407us         0.00%     191.407us       9.570us           0 B           0 B            20  
                                    aten::scalar_tensor         0.00%      61.449us         0.00%      61.449us       3.072us         160 B         160 B            20  
                                      aten::resolve_neg         0.00%      29.333us         0.00%      29.333us       0.133us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.338s
