-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         aten::mse_loss         0.08%       6.510ms         0.24%      20.395ms      46.352us      54.88 KB           0 B           440  
                                               aten::mm         0.08%       6.499ms         0.12%       9.924ms      11.277us       3.55 MB     126.00 KB           880  
                                           aten::detach         0.07%       6.167ms         0.18%      15.012ms       1.632us           0 B           0 B          9200  
                                    aten::_foreach_mul_         0.07%       6.090ms         0.58%      48.468ms     110.155us           0 B           0 B           440  
                                        aten::transpose         0.07%       5.814ms         0.09%       7.150ms       2.518us           0 B           0 B          2840  
                                           MulBackward0         0.06%       5.386ms         0.86%      71.820ms      20.404us     823.24 MB           0 B          3520  
                                                aten::t         0.06%       5.199ms         0.11%       8.967ms       3.899us           0 B           0 B          2300  
                                 ConstantPadNdBackward0         0.06%       5.075ms         1.55%     128.934ms      41.862us     720.34 MB           0 B          3080  
                                             aten::item         0.06%       5.071ms         0.08%       6.963ms       0.752us           0 B           0 B          9260  
                                           aten::select         0.06%       4.846ms         0.07%       5.452ms       5.563us           0 B           0 B           980  
                                aten::mse_loss_backward         0.06%       4.800ms         0.11%       9.284ms      10.550us      54.88 KB           0 B           880  
    autograd::engine::evaluate_function: AddmmBackward0         0.06%       4.703ms         0.33%      27.203ms      61.824us     -99.42 MB    -102.96 MB           440  
                                       aten::lift_fresh         0.06%       4.689ms         0.06%       4.689ms       0.137us           0 B           0 B         34120  
                                          aten::resize_         0.05%       4.284ms         0.05%       4.284ms       0.262us           0 B           0 B         16340  
      autograd::engine::evaluate_function: AddBackward0         0.05%       4.047ms         0.07%       5.514ms       3.133us           0 B           0 B          1760  
                                             aten::mean         0.04%       3.575ms         0.16%      13.080ms      29.726us           0 B        -616 B           440  
                                         AddmmBackward0         0.04%       3.514ms         0.21%      17.482ms      39.732us       3.54 MB     -16.00 KB           440  
                                             aten::view         0.04%       3.506ms         0.04%       3.506ms       3.577us           0 B           0 B           980  
                                   aten::slice_backward         0.04%       3.392ms         0.27%      22.826ms      25.939us     205.81 MB           0 B           880  
                                  aten::select_backward         0.04%       3.160ms         0.23%      18.860ms      42.863us     102.91 MB           0 B           440  
                                            aten::clamp         0.03%       2.784ms         0.03%       2.847ms       6.472us       1.72 KB       1.72 KB           440  
                                       aten::reciprocal         0.03%       2.661ms         0.03%       2.661ms       6.047us       1.72 KB       1.72 KB           440  
                                           aten::linear         0.03%       2.559ms         0.37%      30.537ms      56.550us      66.64 KB           0 B           540  
                                       MseLossBackward0         0.03%       2.513ms         0.12%      10.023ms      22.780us      54.88 KB           0 B           440  
                                            aten::zeros         0.03%       2.264ms         0.22%      18.297ms      13.861us     308.72 MB       1.85 MB          1320  
