-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::pad         0.08%       6.278ms         3.02%     227.082ms      52.565us       4.39 GB           0 B          4320  
                                         aten::mse_loss         0.08%       5.894ms         0.24%      18.021ms      40.957us      54.88 KB         640 B           440  
                                               aten::mm         0.08%       5.813ms         0.12%       8.831ms      10.035us       3.58 MB     158.00 KB           880  
                                    aten::_foreach_mul_         0.07%       5.310ms         0.59%      44.598ms     101.358us           0 B           0 B           440  
                                           aten::detach         0.07%       5.274ms         0.18%      13.252ms       1.440us           0 B           0 B          9200  
                                        aten::transpose         0.06%       4.816ms         0.08%       6.037ms       2.126us           0 B           0 B          2840  
                                           MulBackward0         0.06%       4.633ms         0.87%      65.532ms      18.617us     823.24 MB           0 B          3520  
                                             aten::item         0.06%       4.570ms         0.08%       6.206ms       0.670us           0 B           0 B          9260  
                                 ConstantPadNdBackward0         0.06%       4.320ms         1.62%     121.631ms      39.490us     720.34 MB           0 B          3080  
                                                aten::t         0.06%       4.234ms         0.10%       7.509ms       3.265us           0 B           0 B          2300  
                                           aten::select         0.06%       4.209ms         0.06%       4.745ms       4.842us           0 B           0 B           980  
                                aten::mse_loss_backward         0.06%       4.196ms         0.11%       8.174ms       9.289us      54.88 KB           0 B           880  
    autograd::engine::evaluate_function: AddmmBackward0         0.05%       4.054ms         0.32%      23.708ms      53.883us     -99.42 MB    -102.96 MB           440  
                                       aten::lift_fresh         0.05%       4.049ms         0.05%       4.049ms       0.119us           0 B           0 B         34120  
                                          aten::resize_         0.05%       3.866ms         0.05%       3.866ms       0.237us     -48.00 KB     -48.00 KB         16340  
      autograd::engine::evaluate_function: AddBackward0         0.05%       3.591ms         0.06%       4.807ms       2.731us           0 B           0 B          1760  
                                             aten::mean         0.04%       3.206ms         0.15%      11.387ms      25.880us           0 B        -664 B           440  
                                         AddmmBackward0         0.04%       3.095ms         0.20%      15.386ms      34.968us       3.54 MB     -48.00 KB           440  
                                             aten::view         0.04%       2.928ms         0.04%       2.928ms       2.988us           0 B           0 B           980  
                                  aten::select_backward         0.04%       2.826ms         0.23%      17.115ms      38.898us     102.91 MB           0 B           440  
                                   aten::slice_backward         0.04%       2.825ms         0.27%      20.359ms      23.135us     205.81 MB           0 B           880  
                                            aten::clamp         0.04%       2.775ms         0.04%       2.813ms       6.393us       1.72 KB       1.72 KB           440  
                                       aten::reciprocal         0.03%       2.331ms         0.03%       2.331ms       5.298us       1.72 KB       1.72 KB           440  
                                           aten::linear         0.03%       2.130ms         0.35%      26.228ms      48.570us      66.64 KB           0 B           540  
                                       MseLossBackward0         0.03%       2.115ms         0.12%       8.664ms      19.690us      54.88 KB           0 B           440  
                                            aten::zeros         0.03%       2.016ms         0.21%      16.080ms      12.182us     308.72 MB       3.28 MB          1320  
                                              aten::abs         0.02%       1.692ms         0.02%       1.692ms       3.845us           0 B           0 B           440  
                              aten::_local_scalar_dense         0.02%       1.636ms         0.02%       1.636ms       0.177us           0 B           0 B          9260  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.559ms         0.14%      10.222ms      23.233us      54.88 KB           0 B           440  
                                        SelectBackward0         0.02%       1.484ms         0.25%      18.599ms      42.272us     102.91 MB           0 B           440  
                                         SliceBackward0         0.02%       1.391ms         0.29%      21.749ms      24.715us     205.81 MB           0 B           880  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.372ms         0.31%      23.121ms      26.274us           0 B    -205.81 MB           880  
                                aten::broadcast_tensors         0.02%       1.270ms         0.02%       1.270ms       2.885us           0 B           0 B           440  
                                       aten::zeros_like         0.02%       1.217ms         0.03%       2.353ms       5.348us      54.88 KB           0 B           440  
                                           AddBackward0         0.02%       1.216ms         0.02%       1.216ms       0.691us           0 B           0 B          1760  
                                           aten::expand         0.02%       1.183ms         0.02%       1.411ms       2.614us           0 B           0 B           540  
autograd::engine::evaluate_function: SqueezeBackward...         0.01%       1.126ms         0.05%       3.821ms       4.342us           0 B           0 B           880  
                                       SqueezeBackward1         0.01%     995.587us         0.04%       2.694ms       3.062us           0 B           0 B           880  
                                       aten::contiguous         0.01%     989.300us         1.04%      77.849ms     144.165us       3.09 GB           0 B           540  
                                            aten::zero_         0.01%     982.638us         0.18%      13.283ms       7.547us           0 B           0 B          1760  
                                        aten::ones_like         0.01%     757.192us         0.02%       1.694ms       3.850us       1.72 KB           0 B           440  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     749.677us         0.26%      19.349ms      43.975us      99.48 MB      -3.43 MB           440  
        autograd::engine::evaluate_function: TBackward0         0.01%     723.771us         0.03%       1.958ms       4.451us           0 B           0 B           440  
                                     aten::resolve_conj         0.01%     490.748us         0.01%     490.748us       0.160us           0 B           0 B          3060  
                                             TBackward0         0.01%     405.519us         0.02%       1.234ms       2.806us           0 B           0 B           440  
                                         aten::randperm         0.01%     397.510us         0.01%     849.563us      21.239us     219.53 KB        -160 B            40  
                                          aten::random_         0.00%     149.333us         0.00%     149.333us       7.467us           0 B           0 B            20  
                                    aten::scalar_tensor         0.00%      55.399us         0.00%      55.399us       2.770us         160 B         160 B            20  
                                      aten::resolve_neg         0.00%      22.961us         0.00%      22.961us       0.104us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.516s
