-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   aten::slice_backward         0.05%       3.247ms         0.28%      17.286ms      19.644us     106.34 MB           0 B           880  
                                           aten::detach         0.05%       3.044ms         0.13%       7.825ms       1.996us           0 B           0 B          3920  
                                           aten::linear         0.05%       2.925ms         0.65%      40.777ms      37.756us       4.23 MB           0 B          1080  
                                             aten::mean         0.05%       2.907ms         0.20%      12.225ms      27.785us           0 B        -736 B           440  
                                             aten::relu         0.05%       2.808ms         0.10%       6.324ms      11.711us       4.17 MB           0 B           540  
                               aten::threshold_backward         0.04%       2.671ms         0.04%       2.671ms       6.070us       3.43 MB       3.43 MB           440  
                                            aten::clamp         0.04%       2.612ms         0.04%       2.662ms       6.050us       1.72 KB       1.72 KB           440  
                                             aten::item         0.04%       2.549ms         0.06%       3.722ms       0.935us           0 B           0 B          3980  
                                           aten::narrow         0.04%       2.474ms         0.08%       4.726ms       8.751us           0 B           0 B           540  
                                       aten::reciprocal         0.04%       2.392ms         0.04%       2.392ms       5.436us       1.72 KB       1.72 KB           440  
                                       MseLossBackward0         0.04%       2.197ms         0.13%       8.409ms      19.112us      54.88 KB           0 B           440  
                                  aten::select_backward         0.03%       2.081ms         0.20%      12.437ms      28.265us     102.91 MB           0 B           440  
                                       aten::zeros_like         0.03%       2.008ms         0.07%       4.569ms       3.461us       6.91 MB           0 B          1320  
                                           aten::expand         0.03%       1.940ms         0.04%       2.366ms       2.190us           0 B           0 B          1080  
                                              aten::abs         0.03%       1.730ms         0.03%       1.730ms       3.931us           0 B           0 B           440  
                                         SliceBackward0         0.03%       1.648ms         0.30%      18.934ms      21.516us     106.34 MB           0 B           880  
autograd::engine::evaluate_function: MseLossBackward...         0.03%       1.606ms         0.16%      10.016ms      22.763us      54.88 KB           0 B           440  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.542ms         0.33%      20.476ms      23.269us           0 B    -106.34 MB           880  
        autograd::engine::evaluate_function: TBackward0         0.02%       1.539ms         0.07%       4.162ms       4.729us           0 B           0 B           880  
                                            aten::zero_         0.02%       1.482ms         0.23%      14.570ms       3.917us           0 B           0 B          3720  
                                          ReluBackward0         0.02%       1.349ms         0.06%       4.020ms       9.136us       3.43 MB           0 B           440  
                                       aten::contiguous         0.02%       1.318ms         1.17%      72.849ms      74.335us       3.19 GB           0 B           980  
autograd::engine::evaluate_function: SqueezeBackward...         0.02%       1.313ms         0.06%       4.006ms       4.553us           0 B           0 B           880  
                                aten::broadcast_tensors         0.02%       1.203ms         0.02%       1.203ms       2.733us           0 B           0 B           440  
                              aten::_local_scalar_dense         0.02%       1.173ms         0.02%       1.173ms       0.295us           0 B           0 B          3980  
                                        SelectBackward0         0.02%       1.156ms         0.22%      13.593ms      30.893us     102.91 MB           0 B           440  
                                       SqueezeBackward1         0.02%       1.035ms         0.04%       2.693ms       3.060us           0 B           0 B           880  
                                           MulBackward0         0.01%     914.661us         0.04%       2.270ms       5.160us       3.43 MB           0 B           440  
      autograd::engine::evaluate_function: MulBackward0         0.01%     829.508us         0.05%       3.100ms       7.045us      -3.43 MB      -6.86 MB           440  
     autograd::engine::evaluate_function: ReluBackward0         0.01%     825.945us         0.08%       4.846ms      11.013us      -3.43 MB      -6.86 MB           440  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     800.124us         0.23%      14.393ms      32.712us      99.48 MB      -3.43 MB           440  
                                     aten::resolve_conj         0.01%     786.496us         0.01%     786.496us       0.116us           0 B           0 B          6780  
autograd::engine::evaluate_function: TransposeBackwa...         0.01%     765.585us         0.04%       2.507ms       5.697us           0 B           0 B           440  
