-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   aten::slice_backward         0.06%       3.560ms         0.28%      17.895ms      20.335us     106.34 MB           0 B           880  
                                           aten::linear         0.05%       3.303ms         0.69%      43.902ms      40.650us       4.23 MB           0 B          1080  
                                           aten::detach         0.05%       3.083ms         0.13%       8.481ms       2.164us           0 B           0 B          3920  
                                             aten::mean         0.05%       3.076ms         0.19%      12.424ms      28.237us           0 B        -808 B           440  
                                             aten::relu         0.05%       3.047ms         0.11%       6.744ms      12.488us       4.17 MB           0 B           540  
                                           aten::narrow         0.05%       2.959ms         0.09%       5.607ms      10.384us           0 B           0 B           540  
                               aten::threshold_backward         0.04%       2.831ms         0.04%       2.831ms       6.434us       3.43 MB       3.43 MB           440  
                                            aten::clamp         0.04%       2.809ms         0.04%       2.859ms       6.497us       1.72 KB       1.72 KB           440  
                                             aten::item         0.04%       2.738ms         0.06%       4.042ms       1.016us           0 B           0 B          3980  
                                       aten::reciprocal         0.04%       2.550ms         0.04%       2.550ms       5.795us       1.72 KB       1.72 KB           440  
                                       MseLossBackward0         0.04%       2.407ms         0.14%       9.128ms      20.744us      54.88 KB           0 B           440  
                                  aten::select_backward         0.03%       2.217ms         0.20%      12.777ms      29.039us     102.91 MB           0 B           440  
                                       aten::zeros_like         0.03%       2.056ms         0.07%       4.761ms       3.606us       6.91 MB           0 B          1320  
                                           aten::expand         0.03%       2.017ms         0.04%       2.450ms       2.268us           0 B           0 B          1080  
                                              aten::abs         0.03%       1.835ms         0.03%       1.835ms       4.170us           0 B           0 B           440  
                                         SliceBackward0         0.03%       1.791ms         0.31%      19.686ms      22.371us     106.34 MB           0 B           880  
autograd::engine::evaluate_function: MseLossBackward...         0.03%       1.749ms         0.17%      10.877ms      24.720us      54.88 KB           0 B           440  
                                            aten::zero_         0.03%       1.616ms         0.24%      15.101ms       4.059us           0 B           0 B          3720  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.495ms         0.33%      21.181ms      24.069us           0 B    -106.34 MB           880  
        autograd::engine::evaluate_function: TBackward0         0.02%       1.459ms         0.06%       3.989ms       4.533us           0 B           0 B           880  
                                          ReluBackward0         0.02%       1.453ms         0.07%       4.283ms       9.735us       3.43 MB           0 B           440  
                                       aten::contiguous         0.02%       1.407ms         1.23%      78.763ms      80.370us       3.19 GB           0 B           980  
                                aten::broadcast_tensors         0.02%       1.331ms         0.02%       1.331ms       3.024us           0 B           0 B           440  
                              aten::_local_scalar_dense         0.02%       1.304ms         0.02%       1.304ms       0.328us           0 B           0 B          3980  
                                        SelectBackward0         0.02%       1.276ms         0.22%      14.053ms      31.939us     102.91 MB           0 B           440  
autograd::engine::evaluate_function: SqueezeBackward...         0.02%       1.245ms         0.07%       4.262ms       4.844us           0 B           0 B           880  
                                       SqueezeBackward1         0.02%       1.144ms         0.05%       3.017ms       3.429us           0 B           0 B           880  
                                           MulBackward0         0.01%     941.780us         0.04%       2.275ms       5.171us       3.43 MB           0 B           440  
      autograd::engine::evaluate_function: MulBackward0         0.01%     831.255us         0.05%       3.107ms       7.061us      -3.43 MB      -6.86 MB           440  
                                     aten::resolve_conj         0.01%     826.138us         0.01%     826.138us       0.122us           0 B           0 B          6780  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     817.441us         0.23%      14.871ms      33.797us      99.48 MB      -3.43 MB           440  
                                        aten::ones_like         0.01%     809.318us         0.03%       1.772ms       4.027us       1.72 KB           0 B           440  
autograd::engine::evaluate_function: TransposeBackwa...         0.01%     783.666us         0.04%       2.488ms       5.656us           0 B           0 B           440  
                                          aten::resize_         0.01%     775.579us         0.01%     775.579us       1.616us           0 B           0 B           480  
     autograd::engine::evaluate_function: ReluBackward0         0.01%     768.459us         0.08%       5.052ms      11.481us      -3.43 MB      -6.86 MB           440  
                                             TBackward0         0.01%     737.179us         0.04%       2.529ms       2.874us           0 B           0 B           880  
                              aten::cudnn_is_acceptable         0.01%     625.031us         0.01%     625.031us       1.157us           0 B           0 B           540  
                                     TransposeBackward0         0.01%     494.828us         0.03%       1.705ms       3.874us           0 B           0 B           440  
                                         aten::randperm         0.01%     457.989us         0.02%     995.005us      24.875us     219.53 KB        -160 B            40  
                                          aten::random_         0.00%     163.108us         0.00%     163.108us       8.155us           0 B           0 B            20  
                                    aten::scalar_tensor         0.00%      59.663us         0.00%      59.663us       2.983us         160 B         160 B            20  
                                      aten::resolve_neg         0.00%      44.640us         0.00%      44.640us       0.203us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.406s
