[train_close][LSTM efficiency] Running on device: cpu
[train_close][LSTM efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 047 | train=0.000916 | val=RMSE:1160.81|MAE:1052.43|MAPE:10.39% | epoch_time=0.60s
[efficiency_close] Epoch 048 | train=0.000735 | val=RMSE:1243.70|MAE:1152.27|MAPE:11.42% | epoch_time=0.59s
[efficiency_close] Epoch 049 | train=0.000848 | val=RMSE:1128.01|MAE:1014.39|MAPE:10.02% | epoch_time=0.59s
[efficiency_close] Epoch 050 | train=0.000807 | val=RMSE:1099.48|MAE:1006.66|MAPE:9.95% | epoch_time=0.60s
[efficiency_close] Epoch 051 | train=0.000775 | val=RMSE:1219.19|MAE:1134.17|MAPE:11.23% | epoch_time=0.60s
[efficiency_close] Epoch 052 | train=0.000703 | val=RMSE:1092.38|MAE:999.49|MAPE:9.88% | epoch_time=0.59s
[efficiency_close] Epoch 053 | train=0.000751 | val=RMSE:1150.55|MAE:1054.16|MAPE:10.42% | epoch_time=0.58s
[efficiency_close] Epoch 054 | train=0.000754 | val=RMSE:1280.49|MAE:1190.36|MAPE:11.79% | epoch_time=0.63s
[efficiency_close] Epoch 055 | train=0.000666 | val=RMSE:1325.44|MAE:1230.69|MAPE:12.19% | epoch_time=0.63s
[efficiency_close] Epoch 056 | train=0.000704 | val=RMSE:1178.02|MAE:1077.02|MAPE:10.65% | epoch_time=0.63s
[efficiency_close] Epoch 057 | train=0.000703 | val=RMSE:1205.70|MAE:1109.30|MAPE:10.97% | epoch_time=0.63s
[efficiency_close] Epoch 058 | train=0.000756 | val=RMSE:1112.24|MAE:1021.33|MAPE:10.10% | epoch_time=0.60s
[efficiency_close] Epoch 059 | train=0.000705 | val=RMSE:1057.12|MAE:946.76|MAPE:9.34% | epoch_time=0.60s
[efficiency_close] Epoch 060 | train=0.000650 | val=RMSE:1296.35|MAE:1207.18|MAPE:11.96% | epoch_time=0.61s
[efficiency_close] Epoch 061 | train=0.000669 | val=RMSE:1097.71|MAE:995.78|MAPE:9.84% | epoch_time=0.60s
[efficiency_close] Epoch 062 | train=0.000701 | val=RMSE:1141.38|MAE:1041.22|MAPE:10.29% | epoch_time=0.59s
[efficiency_close] Epoch 063 | train=0.000675 | val=RMSE:1144.16|MAE:1045.15|MAPE:10.33% | epoch_time=0.58s
[efficiency_close] Epoch 064 | train=0.000682 | val=RMSE:1105.25|MAE:988.78|MAPE:9.75% | epoch_time=0.57s
[efficiency_close] Epoch 065 | train=0.000649 | val=RMSE:1162.99|MAE:1063.83|MAPE:10.52% | epoch_time=0.59s
[efficiency_close] Epoch 066 | train=0.000678 | val=RMSE:1181.18|MAE:1087.93|MAPE:10.76% | epoch_time=0.64s
[efficiency_close] Epoch 067 | train=0.000634 | val=RMSE:1238.74|MAE:1144.04|MAPE:11.32% | epoch_time=0.64s
[efficiency_close] Epoch 068 | train=0.000677 | val=RMSE:1121.30|MAE:1019.47|MAPE:10.07% | epoch_time=0.63s
[efficiency_close] Epoch 069 | train=0.000617 | val=RMSE:1132.05|MAE:1035.13|MAPE:10.23% | epoch_time=0.61s
[efficiency_close] Epoch 070 | train=0.000671 | val=RMSE:1110.95|MAE:1006.89|MAPE:9.95% | epoch_time=0.60s
[efficiency_close] Epoch 071 | train=0.000738 | val=RMSE:1238.60|MAE:1144.71|MAPE:11.35% | epoch_time=0.60s
[efficiency_close] Epoch 072 | train=0.000706 | val=RMSE:1259.98|MAE:1175.29|MAPE:11.65% | epoch_time=0.60s
[efficiency_close] Epoch 073 | train=0.000662 | val=RMSE:1328.56|MAE:1237.05|MAPE:12.27% | epoch_time=0.61s
[efficiency_close] Epoch 074 | train=0.000664 | val=RMSE:1120.90|MAE:1021.69|MAPE:10.10% | epoch_time=0.63s
[efficiency_close] Epoch 075 | train=0.000681 | val=RMSE:1324.09|MAE:1236.97|MAPE:12.26% | epoch_time=0.62s
[efficiency_close] Epoch 076 | train=0.000706 | val=RMSE:1160.62|MAE:1055.17|MAPE:10.43% | epoch_time=0.61s
[efficiency_close] Epoch 077 | train=0.000617 | val=RMSE:1152.03|MAE:1052.51|MAPE:10.41% | epoch_time=0.61s
[efficiency_close] Epoch 078 | train=0.000606 | val=RMSE:1157.30|MAE:1045.35|MAPE:10.33% | epoch_time=0.59s
[efficiency_close] Epoch 079 | train=0.000591 | val=RMSE:1254.57|MAE:1156.91|MAPE:11.46% | epoch_time=0.59s
[efficiency_close] Epoch 080 | train=0.000632 | val=RMSE:1188.32|MAE:1096.44|MAPE:10.85% | epoch_time=0.60s
[efficiency_close] Epoch 081 | train=0.000615 | val=RMSE:1298.74|MAE:1202.02|MAPE:11.91% | epoch_time=0.60s
[efficiency_close] Epoch 082 | train=0.000576 | val=RMSE:1148.34|MAE:1047.01|MAPE:10.35% | epoch_time=0.60s
[efficiency_close] Epoch 083 | train=0.000644 | val=RMSE:1226.34|MAE:1134.40|MAPE:11.23% | epoch_time=0.60s
[efficiency_close] Epoch 084 | train=0.000621 | val=RMSE:1172.79|MAE:1073.01|MAPE:10.61% | epoch_time=0.59s
[efficiency_close] Epoch 085 | train=0.000708 | val=RMSE:1165.97|MAE:1064.08|MAPE:10.53% | epoch_time=0.58s
