-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               aten::_scaled_dot_product_attention_math         0.27%      17.594ms         5.15%     337.315ms     191.656us     159.93 MB     -13.29 MB          1760  
                                       aten::empty_like         0.26%      16.718ms         0.56%      36.791ms       2.513us     852.38 MB     260.12 KB         14640  
                                          aten::squeeze         0.25%      16.339ms         0.29%      19.231ms       2.803us           0 B           0 B          6860  
                                    aten::_foreach_norm         0.25%      16.287ms         1.45%      95.171ms     216.297us     116.88 KB          20 B           440  
                                            aten::clone         0.25%      16.255ms         2.32%     152.016ms      21.113us     809.48 MB           0 B          7200  
                                          aten::dropout         0.24%      15.921ms         3.00%     196.731ms      29.718us      76.32 MB      -6.73 KB          6620  
autograd::engine::evaluate_function: NativeLayerNorm...         0.24%      15.394ms         1.16%      76.114ms      24.712us     -12.00 MB     -24.76 MB          3080  
                                            aten::where         0.22%      14.673ms         0.33%      21.533ms       6.117us       7.51 KB         664 B          3520  
                                             aten::item         0.22%      14.461ms         0.28%      18.619ms       0.602us           0 B           0 B         30920  
      autograd::engine::evaluate_function: MulBackward0         0.22%      14.311ms         0.93%      60.890ms       8.649us     -26.16 MB    -174.08 MB          7040  
                                           aten::detach         0.21%      13.955ms         0.55%      35.732ms       1.214us           0 B           0 B         29440  
                                    aten::_foreach_mul_         0.21%      13.925ms         0.52%      34.352ms      78.072us           0 B           0 B           440  
      autograd::engine::evaluate_function: BmmBackward0         0.19%      12.301ms         4.02%     263.211ms      74.776us    -129.92 MB    -362.74 MB          3520  
                                    aten::_safe_softmax         0.17%      11.385ms         0.91%      59.305ms      33.696us      13.28 MB      -3.56 MB          1760  
autograd::engine::evaluate_function: SelectBackward0...         0.17%      10.926ms         2.09%     136.716ms      28.247us       2.12 MB    -442.09 MB          4840  
                                            aten::slice         0.17%      10.916ms         0.20%      13.023ms       2.713us           0 B           0 B          4800  
      aten::_scaled_dot_product_flash_attention_for_cpu         0.16%      10.497ms         0.23%      14.780ms      36.950us       1.65 MB    -319.27 KB           400  
                                            aten::zeros         0.15%      10.002ms         0.96%      63.188ms       9.292us     451.80 MB     107.25 KB          6800  
autograd::engine::evaluate_function: ExpandBackward0...         0.15%       9.948ms         0.24%      15.629ms       1.973us     -49.74 MB     -51.45 MB          7920  
                                          aten::permute         0.15%       9.863ms         0.17%      11.225ms       2.864us           0 B           0 B          3920  
                                  aten::select_backward         0.15%       9.649ms         1.66%     108.678ms      22.454us     444.21 MB           0 B          4840  
                                     aten::_unsafe_view         0.15%       9.622ms         0.15%       9.622ms       1.111us           0 B           0 B          8660  
      autograd::engine::evaluate_function: AddBackward0         0.14%       9.460ms         0.21%      13.783ms       2.610us       1.72 MB           0 B          5280  
                                           BmmBackward0         0.14%       9.257ms         3.83%     250.910ms      71.281us     232.82 MB           0 B          3520  
                               NativeLayerNormBackward0         0.13%       8.336ms         0.93%      60.720ms      19.714us      12.76 MB      -4.00 KB          3080  
                                           MulBackward0         0.13%       8.303ms         0.71%      46.580ms       6.616us     147.93 MB           0 B          7040  
                                        aten::clamp_min         0.12%       7.952ms         0.12%       7.952ms       3.682us      19.78 MB      19.78 MB          2160  
                                             aten::lstm         0.12%       7.833ms         5.07%     331.964ms     614.748us       1.10 GB     -11.76 MB           540  
                                 aten::split_with_sizes         0.12%       7.826ms         0.14%       9.172ms       4.246us           0 B           0 B          2160  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         0.12%       7.696ms         5.63%     368.951ms     838.524us      -1.07 GB      -1.14 GB           440  
                               aten::threshold_backward         0.12%       7.630ms         0.12%       7.630ms       4.336us      16.29 MB      16.29 MB          1760  
                                     TransposeBackward0         0.12%       7.603ms         0.50%      32.654ms       2.319us           0 B           0 B         14080  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.11%       7.141ms         0.48%      31.597ms       6.528us      51.45 MB           0 B          4840  
                                             TBackward0         0.11%       6.971ms         0.47%      30.604ms       2.484us           0 B           0 B         12320  
                                       aten::lift_fresh         0.10%       6.844ms         0.10%       6.844ms       0.100us           0 B           0 B         68240  
                                         aten::isneginf         0.10%       6.478ms         0.10%       6.478ms       3.681us       3.32 MB       3.32 MB          1760  
