[train_close][TFT efficiency] Running on device: cpu
[train_close][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 049 | train=0.001443 | val=RMSE:399.28|MAE:349.18|MAPE:7.02% | epoch_time=0.26s
[efficiency_close] Epoch 050 | train=0.001365 | val=RMSE:422.80|MAE:372.19|MAPE:7.45% | epoch_time=0.26s
[efficiency_close] Epoch 051 | train=0.001339 | val=RMSE:412.63|MAE:363.44|MAPE:7.29% | epoch_time=0.26s
[efficiency_close] Epoch 052 | train=0.001226 | val=RMSE:424.30|MAE:373.04|MAPE:7.47% | epoch_time=0.26s
[efficiency_close] Epoch 053 | train=0.001322 | val=RMSE:490.32|MAE:437.49|MAPE:8.83% | epoch_time=0.26s
[efficiency_close] Epoch 054 | train=0.001433 | val=RMSE:511.46|MAE:461.23|MAPE:9.32% | epoch_time=0.26s
[efficiency_close] Epoch 055 | train=0.001371 | val=RMSE:486.70|MAE:422.19|MAPE:8.44% | epoch_time=0.26s
[efficiency_close] Epoch 056 | train=0.001283 | val=RMSE:478.43|MAE:415.66|MAPE:8.35% | epoch_time=0.26s
[efficiency_close] Epoch 057 | train=0.001316 | val=RMSE:422.95|MAE:368.60|MAPE:7.39% | epoch_time=0.26s
[efficiency_close] Epoch 058 | train=0.001312 | val=RMSE:428.69|MAE:375.12|MAPE:7.57% | epoch_time=0.26s
[efficiency_close] Epoch 059 | train=0.001318 | val=RMSE:382.86|MAE:337.50|MAPE:6.82% | epoch_time=0.26s
[efficiency_close] Epoch 060 | train=0.001345 | val=RMSE:443.07|MAE:393.77|MAPE:7.96% | epoch_time=0.26s
[efficiency_close] Epoch 061 | train=0.001133 | val=RMSE:492.62|MAE:446.41|MAPE:9.07% | epoch_time=0.26s
[efficiency_close] Epoch 062 | train=0.001103 | val=RMSE:525.81|MAE:481.51|MAPE:9.82% | epoch_time=0.26s
[efficiency_close] Epoch 063 | train=0.001156 | val=RMSE:595.13|MAE:545.95|MAPE:11.08% | epoch_time=0.26s
[efficiency_close] Epoch 064 | train=0.001250 | val=RMSE:517.17|MAE:468.91|MAPE:9.51% | epoch_time=0.26s
[efficiency_close] Epoch 065 | train=0.001287 | val=RMSE:530.76|MAE:481.43|MAPE:9.77% | epoch_time=0.26s
[efficiency_close] Epoch 066 | train=0.001227 | val=RMSE:464.07|MAE:418.08|MAPE:8.48% | epoch_time=0.26s
[efficiency_close] Epoch 067 | train=0.001199 | val=RMSE:503.60|MAE:452.86|MAPE:9.18% | epoch_time=0.26s
[efficiency_close] Epoch 068 | train=0.001215 | val=RMSE:439.85|MAE:385.44|MAPE:7.78% | epoch_time=0.26s
[efficiency_close] Epoch 069 | train=0.001344 | val=RMSE:413.86|MAE:359.85|MAPE:7.27% | epoch_time=0.26s
[efficiency_close] Epoch 070 | train=0.001188 | val=RMSE:430.32|MAE:378.93|MAPE:7.65% | epoch_time=0.26s
[efficiency_close] Epoch 071 | train=0.001129 | val=RMSE:434.73|MAE:381.71|MAPE:7.68% | epoch_time=0.26s
[efficiency_close] Epoch 072 | train=0.000982 | val=RMSE:446.59|MAE:398.56|MAPE:8.06% | epoch_time=0.26s
[efficiency_close] Epoch 073 | train=0.001131 | val=RMSE:458.99|MAE:408.65|MAPE:8.25% | epoch_time=0.26s
[efficiency_close] Epoch 074 | train=0.001181 | val=RMSE:426.27|MAE:375.74|MAPE:7.58% | epoch_time=0.26s
[efficiency_close] Epoch 075 | train=0.001203 | val=RMSE:456.79|MAE:405.84|MAPE:8.16% | epoch_time=0.26s
[efficiency_close] Epoch 076 | train=0.001175 | val=RMSE:465.02|MAE:415.29|MAPE:8.39% | epoch_time=0.26s
[efficiency_close] Epoch 077 | train=0.001286 | val=RMSE:435.03|MAE:382.04|MAPE:7.73% | epoch_time=0.27s
[efficiency_close] Epoch 078 | train=0.001154 | val=RMSE:431.90|MAE:380.77|MAPE:7.70% | epoch_time=0.26s
[efficiency_close] Epoch 079 | train=0.001183 | val=RMSE:453.20|MAE:401.97|MAPE:8.14% | epoch_time=0.26s
[efficiency_close] Epoch 080 | train=0.001137 | val=RMSE:430.17|MAE:381.41|MAPE:7.71% | epoch_time=0.26s
[efficiency_close] Epoch 081 | train=0.001149 | val=RMSE:460.71|MAE:405.33|MAPE:8.17% | epoch_time=0.26s
[efficiency_close] Epoch 082 | train=0.001068 | val=RMSE:442.40|MAE:385.25|MAPE:7.77% | epoch_time=0.26s
[efficiency_close] Epoch 083 | train=0.001090 | val=RMSE:434.30|MAE:377.59|MAPE:7.58% | epoch_time=0.26s
[efficiency_close] Epoch 084 | train=0.001157 | val=RMSE:438.25|MAE:383.36|MAPE:7.70% | epoch_time=0.26s
[efficiency_close] Epoch 085 | train=0.001103 | val=RMSE:471.47|MAE:415.66|MAPE:8.35% | epoch_time=0.26s
[efficiency_close] Epoch 086 | train=0.001290 | val=RMSE:393.29|MAE:343.40|MAPE:6.88% | epoch_time=0.26s
[efficiency_close] Epoch 087 | train=0.001169 | val=RMSE:452.32|MAE:400.54|MAPE:8.04% | epoch_time=0.27s
[efficiency_close] Epoch 088 | train=0.001119 | val=RMSE:448.73|MAE:395.76|MAPE:7.94% | epoch_time=0.26s
[efficiency_close] Epoch 089 | train=0.001150 | val=RMSE:474.09|MAE:420.12|MAPE:8.44% | epoch_time=0.27s
[efficiency_close] Epoch 090 | train=0.001031 | val=RMSE:514.62|MAE:460.12|MAPE:9.27% | epoch_time=0.27s
[efficiency_close] Epoch 091 | train=0.001121 | val=RMSE:476.78|MAE:424.72|MAPE:8.57% | epoch_time=0.27s
[efficiency_close] Epoch 092 | train=0.001117 | val=RMSE:442.18|MAE:389.22|MAPE:7.78% | epoch_time=0.26s
[efficiency_close] Epoch 093 | train=0.000994 | val=RMSE:491.57|MAE:438.14|MAPE:8.81% | epoch_time=0.26s
[efficiency_close] Epoch 094 | train=0.001211 | val=RMSE:520.15|MAE:470.92|MAPE:9.48% | epoch_time=0.27s
[efficiency_close] Epoch 095 | train=0.001053 | val=RMSE:530.74|MAE:478.96|MAPE:9.62% | epoch_time=0.26s
[efficiency_close] Epoch 096 | train=0.001137 | val=RMSE:528.48|MAE:474.33|MAPE:9.55% | epoch_time=0.26s
[efficiency_close] Epoch 097 | train=0.001048 | val=RMSE:496.28|MAE:447.15|MAPE:9.03% | epoch_time=0.27s
[efficiency_close] Epoch 098 | train=0.001090 | val=RMSE:494.60|MAE:435.72|MAPE:8.79% | epoch_time=0.27s
[efficiency_close] Epoch 099 | train=0.001086 | val=RMSE:485.24|MAE:426.46|MAPE:8.62% | epoch_time=0.26s
[efficiency_close] Epoch 100 | train=0.001076 | val=RMSE:467.38|MAE:411.86|MAPE:8.32% | epoch_time=0.27s
Saved loss curves: ASII_close_training_loss_curve.png, ASII_close_validation_rmse_curve.png
================================================================================
Run timestamp: 2025-11-11 04:43:20
Ticker: ASII
[efficiency_close] Done. Total elapsed: 75.43s
[efficiency_close] Test RMSE=471.59 MAE=383.69 MAPE=7.87%
[train_close][TFT efficiency] Done on device: cpu
[save_metrics] Final metrics in: /home/ubuntu/skripsi_2602214545/tft/efficiency/results/metrics
[save_metrics] Files: ASII_close_val_metrics.(json|txt), ASII_close_test_metrics.(json|txt)
================================================================================

[train_close][TFT efficiency] Running on device: cpu
[train_close][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
