[train_close][TFT efficiency] Running on device: cpu
[train_close][TFT efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 048 | train=0.001625 | val=RMSE:1036.17|MAE:943.26|MAPE:9.31% | epoch_time=0.26s
[efficiency_close] Epoch 049 | train=0.001467 | val=RMSE:1131.35|MAE:1052.94|MAPE:10.42% | epoch_time=0.26s
[efficiency_close] Epoch 050 | train=0.001375 | val=RMSE:989.72|MAE:898.99|MAPE:8.87% | epoch_time=0.26s
[efficiency_close] Epoch 051 | train=0.001454 | val=RMSE:1062.93|MAE:974.46|MAPE:9.64% | epoch_time=0.26s
[efficiency_close] Epoch 052 | train=0.001388 | val=RMSE:1107.28|MAE:1023.81|MAPE:10.13% | epoch_time=0.26s
[efficiency_close] Epoch 053 | train=0.001480 | val=RMSE:1112.30|MAE:1027.38|MAPE:10.17% | epoch_time=0.26s
[efficiency_close] Epoch 054 | train=0.001498 | val=RMSE:1072.96|MAE:983.54|MAPE:9.72% | epoch_time=0.26s
[efficiency_close] Epoch 055 | train=0.001485 | val=RMSE:1017.88|MAE:917.65|MAPE:9.06% | epoch_time=0.26s
[efficiency_close] Epoch 056 | train=0.001351 | val=RMSE:892.03|MAE:780.54|MAPE:7.68% | epoch_time=0.27s
[efficiency_close] Epoch 057 | train=0.001360 | val=RMSE:980.43|MAE:872.60|MAPE:8.60% | epoch_time=0.26s
[efficiency_close] Epoch 058 | train=0.001419 | val=RMSE:989.08|MAE:883.63|MAPE:8.71% | epoch_time=0.26s
[efficiency_close] Epoch 059 | train=0.001350 | val=RMSE:1080.43|MAE:990.33|MAPE:9.79% | epoch_time=0.26s
[efficiency_close] Epoch 060 | train=0.001408 | val=RMSE:941.08|MAE:831.97|MAPE:8.20% | epoch_time=0.26s
[efficiency_close] Epoch 061 | train=0.001315 | val=RMSE:834.02|MAE:721.85|MAPE:7.10% | epoch_time=0.26s
[efficiency_close] Epoch 062 | train=0.001403 | val=RMSE:1015.58|MAE:926.34|MAPE:9.15% | epoch_time=0.26s
[efficiency_close] Epoch 063 | train=0.001198 | val=RMSE:1099.00|MAE:1010.29|MAPE:9.99% | epoch_time=0.26s
[efficiency_close] Epoch 064 | train=0.001663 | val=RMSE:1153.15|MAE:1066.67|MAPE:10.56% | epoch_time=0.26s
[efficiency_close] Epoch 065 | train=0.001427 | val=RMSE:947.50|MAE:847.56|MAPE:8.36% | epoch_time=0.26s
[efficiency_close] Epoch 066 | train=0.001412 | val=RMSE:1060.54|MAE:972.50|MAPE:9.62% | epoch_time=0.26s
[efficiency_close] Epoch 067 | train=0.001457 | val=RMSE:1025.63|MAE:930.87|MAPE:9.19% | epoch_time=0.26s
[efficiency_close] Epoch 068 | train=0.001369 | val=RMSE:907.21|MAE:801.39|MAPE:7.90% | epoch_time=0.26s
[efficiency_close] Epoch 069 | train=0.001301 | val=RMSE:986.21|MAE:880.22|MAPE:8.68% | epoch_time=0.26s
[efficiency_close] Epoch 070 | train=0.001316 | val=RMSE:1029.45|MAE:933.96|MAPE:9.23% | epoch_time=0.26s
[efficiency_close] Epoch 071 | train=0.001261 | val=RMSE:1131.96|MAE:1043.10|MAPE:10.32% | epoch_time=0.26s
[efficiency_close] Epoch 072 | train=0.001344 | val=RMSE:1037.45|MAE:946.86|MAPE:9.36% | epoch_time=0.26s
[efficiency_close] Epoch 073 | train=0.001352 | val=RMSE:1158.74|MAE:1055.93|MAPE:10.45% | epoch_time=0.27s
[efficiency_close] Epoch 074 | train=0.001160 | val=RMSE:1236.41|MAE:1155.37|MAPE:11.46% | epoch_time=0.26s
[efficiency_close] Epoch 075 | train=0.001248 | val=RMSE:1124.48|MAE:1033.19|MAPE:10.22% | epoch_time=0.26s
[efficiency_close] Epoch 076 | train=0.001225 | val=RMSE:1200.85|MAE:1116.58|MAPE:11.06% | epoch_time=0.26s
[efficiency_close] Epoch 077 | train=0.001210 | val=RMSE:1028.82|MAE:918.58|MAPE:9.06% | epoch_time=0.26s
[efficiency_close] Epoch 078 | train=0.001419 | val=RMSE:1057.08|MAE:945.42|MAPE:9.33% | epoch_time=0.27s
[efficiency_close] Epoch 079 | train=0.001385 | val=RMSE:1159.37|MAE:1056.61|MAPE:10.45% | epoch_time=0.26s
[efficiency_close] Epoch 080 | train=0.001187 | val=RMSE:1149.32|MAE:1050.32|MAPE:10.39% | epoch_time=0.27s
[efficiency_close] Epoch 081 | train=0.001165 | val=RMSE:1116.53|MAE:1004.34|MAPE:9.93% | epoch_time=0.26s
[efficiency_close] Epoch 082 | train=0.001181 | val=RMSE:1089.55|MAE:1001.45|MAPE:9.91% | epoch_time=0.26s
[efficiency_close] Epoch 083 | train=0.001197 | val=RMSE:1081.00|MAE:982.60|MAPE:9.72% | epoch_time=0.26s
[efficiency_close] Epoch 084 | train=0.001188 | val=RMSE:1103.67|MAE:1017.84|MAPE:10.07% | epoch_time=0.27s
