-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               aten::_scaled_dot_product_attention_math         0.26%      17.115ms         5.14%     334.275ms     189.929us     159.93 MB     -13.29 MB          1760  
                                       aten::empty_like         0.26%      16.631ms         0.56%      36.547ms       2.496us     852.38 MB     376.00 KB         14640  
                                          aten::squeeze         0.25%      16.200ms         0.29%      19.109ms       2.786us           0 B           0 B          6860  
                                            aten::clone         0.25%      16.103ms         2.33%     151.507ms      21.043us     809.48 MB           0 B          7200  
                                    aten::_foreach_norm         0.25%      16.042ms         1.42%      92.378ms     209.950us     116.88 KB          16 B           440  
autograd::engine::evaluate_function: NativeLayerNorm...         0.23%      15.158ms         1.17%      76.001ms      24.676us     -12.00 MB     -24.76 MB          3080  
                                          aten::dropout         0.23%      15.124ms         3.00%     194.685ms      29.409us      76.32 MB      -7.19 KB          6620  
      autograd::engine::evaluate_function: MulBackward0         0.23%      14.659ms         0.92%      59.768ms       8.490us     -26.16 MB    -174.08 MB          7040  
                                            aten::where         0.23%      14.637ms         0.33%      21.532ms       6.117us       7.58 KB         732 B          3520  
                                             aten::item         0.23%      14.623ms         0.29%      18.829ms       0.609us           0 B           0 B         30920  
                                    aten::_foreach_mul_         0.21%      13.869ms         0.53%      34.277ms      77.903us           0 B           0 B           440  
                                           aten::detach         0.21%      13.595ms         0.54%      35.285ms       1.199us           0 B           0 B         29440  
      autograd::engine::evaluate_function: BmmBackward0         0.19%      12.381ms         4.01%     260.689ms      74.059us    -129.92 MB    -362.74 MB          3520  
                                    aten::_safe_softmax         0.17%      11.029ms         0.90%      58.478ms      33.226us      13.28 MB      -3.56 MB          1760  
                                            aten::slice         0.17%      10.817ms         0.20%      12.837ms       2.674us           0 B           0 B          4800  
      aten::_scaled_dot_product_flash_attention_for_cpu         0.17%      10.746ms         0.23%      14.869ms      37.172us       1.65 MB    -316.38 KB           400  
autograd::engine::evaluate_function: SelectBackward0...         0.16%      10.720ms         2.10%     136.503ms      28.203us       2.35 MB    -441.86 MB          4840  
                                          aten::permute         0.16%      10.181ms         0.18%      11.563ms       2.950us           0 B           0 B          3920  
                                            aten::zeros         0.15%       9.975ms         0.98%      63.455ms       9.332us     451.80 MB      75.62 KB          6800  
autograd::engine::evaluate_function: ExpandBackward0...         0.15%       9.800ms         0.24%      15.411ms       1.946us     -49.74 MB     -51.45 MB          7920  
                                  aten::select_backward         0.15%       9.727ms         1.67%     108.629ms      22.444us     444.21 MB           0 B          4840  
      autograd::engine::evaluate_function: AddBackward0         0.15%       9.611ms         0.21%      13.903ms       2.633us       1.72 MB           0 B          5280  
                                     aten::_unsafe_view         0.15%       9.555ms         0.15%       9.555ms       1.103us           0 B           0 B          8660  
                                           BmmBackward0         0.14%       9.083ms         3.82%     248.308ms      70.542us     232.82 MB           0 B          3520  
                               NativeLayerNormBackward0         0.13%       8.541ms         0.94%      60.844ms      19.754us      12.76 MB      -4.00 KB          3080  
                                           MulBackward0         0.12%       7.993ms         0.69%      45.108ms       6.407us     147.93 MB           0 B          7040  
                                        aten::clamp_min         0.12%       7.955ms         0.12%       7.955ms       3.683us      19.78 MB      19.78 MB          2160  
                                             aten::lstm         0.12%       7.862ms         5.15%     334.427ms     619.310us       1.10 GB     -11.76 MB           540  
                                 aten::split_with_sizes         0.12%       7.801ms         0.14%       9.290ms       4.301us           0 B           0 B          2160  
autograd::engine::evaluate_function: MkldnnRnnLayerB...         0.12%       7.736ms         5.69%     369.554ms     839.894us      -1.07 GB      -1.14 GB           440  
                                     TransposeBackward0         0.12%       7.562ms         0.50%      32.771ms       2.327us           0 B           0 B         14080  
                               aten::threshold_backward         0.11%       7.420ms         0.11%       7.420ms       4.216us      16.29 MB      16.29 MB          1760  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.11%       7.141ms         0.48%      31.265ms       6.460us      51.45 MB           0 B          4840  
                                             TBackward0         0.11%       6.991ms         0.48%      31.065ms       2.522us           0 B           0 B         12320  
                                       aten::lift_fresh         0.11%       6.868ms         0.11%       6.868ms       0.101us           0 B           0 B         68240  
                                     aten::resolve_conj         0.10%       6.328ms         0.10%       6.328ms       0.060us           0 B           0 B        105300  
                                         aten::isneginf         0.10%       6.256ms         0.10%       6.256ms       3.554us       3.32 MB       3.32 MB          1760  
      autograd::engine::evaluate_function: MulBackward1         0.10%       6.241ms         0.83%      54.082ms      15.364us           0 B    -113.20 MB          3520  
                                             aten::relu         0.09%       5.800ms         0.21%      13.755ms       6.368us      19.78 MB           0 B          2160  
                                       aten::layer_norm         0.09%       5.644ms         0.89%      58.146ms      15.383us      15.34 MB    -155.24 KB          3780  
                     aten::scaled_dot_product_attention         0.08%       5.235ms         5.45%     354.378ms     164.064us     161.44 MB    -148.23 KB          2160  
autograd::engine::evaluate_function: UnsqueezeBackwa...         0.08%       5.109ms         0.25%      16.483ms       5.351us      -3.13 MB      -3.13 MB          3080  
                                   aten::_reshape_alias         0.08%       5.107ms         0.08%       5.107ms       1.451us           0 B           0 B          3520  
                                           aten::narrow         0.07%       4.760ms         0.18%      11.874ms       4.181us           0 B           0 B          2840  
      autograd::engine::evaluate_function: CatBackward0         0.07%       4.716ms         0.54%      35.361ms      40.183us     -99.49 MB    -152.66 MB           880  
                                         aten::mse_loss         0.07%       4.669ms         0.20%      13.115ms      29.807us      54.88 KB           0 B           440  
                                        SelectBackward0         0.07%       4.499ms         1.74%     113.128ms      23.373us     444.21 MB           0 B          4840  
                              aten::_local_scalar_dense         0.06%       4.206ms         0.06%       4.206ms       0.136us           0 B           0 B         30920  
                                            MmBackward0         0.06%       3.876ms         0.45%      29.228ms      33.214us      56.61 MB           0 B           880  
                                    UnsafeViewBackward0         0.06%       3.854ms         0.37%      24.123ms       4.984us      51.45 MB           0 B          4840  
    autograd::engine::evaluate_function: CloneBackward0         0.06%       3.790ms         0.07%       4.595ms       1.741us           0 B           0 B          2640  
autograd::engine::evaluate_function: SafeSoftmaxBack...         0.06%       3.787ms         0.27%      17.698ms      10.056us     -13.29 MB     -26.58 MB          1760  
autograd::engine::evaluate_function: SplitWithSizesB...         0.06%       3.718ms         0.21%      13.423ms       7.626us           0 B     -10.63 MB          1760  
                                        aten::unflatten         0.05%       3.528ms         0.10%       6.301ms       2.917us           0 B           0 B          2160  
       autograd::engine::evaluate_function: MmBackward0         0.05%       3.440ms         0.50%      32.668ms      37.123us     -48.02 MB    -104.62 MB           880  
                                MkldnnRnnLayerBackward0         0.05%       3.366ms         5.57%     361.817ms     822.312us      65.63 MB      -3.43 MB           440  
                                          aten::softmax         0.05%       3.360ms         0.45%      29.207ms      10.284us      77.85 MB           0 B          2840  
                                aten::mse_loss_backward         0.05%       3.300ms         0.11%       6.877ms       7.814us      54.88 KB           0 B           880  
autograd::engine::evaluate_function: SqueezeBackward...         0.05%       3.286ms         0.20%      12.954ms       5.888us           0 B           0 B          2200  
     autograd::engine::evaluate_function: ReluBackward0         0.05%       3.268ms         0.21%      13.946ms       7.924us     -16.29 MB     -32.59 MB          1760  
                                          ReluBackward0         0.05%       3.258ms         0.16%      10.678ms       6.067us      16.29 MB           0 B          1760  
                                   SafeSoftmaxBackward0         0.05%       3.257ms         0.21%      13.911ms       7.904us      13.29 MB           0 B          1760  
                                    aten::scalar_tensor         0.05%       3.238ms         0.05%       3.238ms       0.915us      13.91 KB      13.91 KB          3540  
                                       SqueezeBackward1         0.05%       3.167ms         0.15%       9.668ms       4.394us           0 B           0 B          2200  
                                            aten::zero_         0.05%       3.110ms         0.69%      45.080ms       4.025us           0 B           0 B         11200  
                                          aten::resize_         0.05%       3.094ms         0.05%       3.094ms       0.869us       4.56 MB       4.56 MB          3560  
                                   aten::slice_backward         0.05%       3.020ms         0.13%       8.460ms       9.614us       3.43 MB           0 B           880  
                                        ExpandBackward0         0.04%       2.895ms         0.09%       5.611ms       0.708us       1.72 MB           0 B          7920  
