-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   aten::slice_backward         0.05%       3.177ms         0.28%      17.238ms      19.588us     106.34 MB           0 B           880  
                                           aten::linear         0.05%       3.073ms         0.65%      40.215ms      37.236us       4.23 MB           0 B          1080  
                                           aten::detach         0.05%       3.042ms         0.13%       7.817ms       1.994us           0 B           0 B          3920  
                                             aten::relu         0.05%       2.875ms         0.10%       6.287ms      11.642us       4.17 MB           0 B           540  
                                             aten::mean         0.05%       2.865ms         0.19%      11.915ms      27.079us           0 B        -736 B           440  
                               aten::threshold_backward         0.04%       2.622ms         0.04%       2.622ms       5.959us       3.43 MB       3.43 MB           440  
                                             aten::item         0.04%       2.550ms         0.06%       3.597ms       0.904us           0 B           0 B          3980  
                                           aten::narrow         0.04%       2.469ms         0.08%       4.767ms       8.828us           0 B           0 B           540  
                                            aten::clamp         0.04%       2.430ms         0.04%       2.480ms       5.637us       1.72 KB       1.72 KB           440  
                                       aten::reciprocal         0.04%       2.284ms         0.04%       2.284ms       5.191us       1.72 KB       1.72 KB           440  
                                       MseLossBackward0         0.04%       2.251ms         0.14%       8.405ms      19.103us      54.88 KB           0 B           440  
                                  aten::select_backward         0.03%       2.146ms         0.20%      12.415ms      28.217us     102.91 MB           0 B           440  
                                       aten::zeros_like         0.03%       1.936ms         0.07%       4.472ms       3.388us       6.91 MB           0 B          1320  
                                           aten::expand         0.03%       1.854ms         0.04%       2.299ms       2.129us           0 B           0 B          1080  
                                         SliceBackward0         0.03%       1.682ms         0.30%      18.919ms      21.499us     106.34 MB           0 B           880  
                                              aten::abs         0.03%       1.662ms         0.03%       1.662ms       3.777us           0 B           0 B           440  
autograd::engine::evaluate_function: MseLossBackward...         0.03%       1.596ms         0.16%      10.001ms      22.730us      54.88 KB           0 B           440  
                                            aten::zero_         0.02%       1.509ms         0.24%      14.716ms       3.956us           0 B           0 B          3720  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.485ms         0.33%      20.404ms      23.186us           0 B    -106.34 MB           880  
        autograd::engine::evaluate_function: TBackward0         0.02%       1.423ms         0.06%       3.948ms       4.486us           0 B           0 B           880  
                                          ReluBackward0         0.02%       1.337ms         0.06%       3.959ms       8.997us       3.43 MB           0 B           440  
                                       aten::contiguous         0.02%       1.298ms         1.19%      73.649ms      75.152us       3.19 GB           0 B           980  
autograd::engine::evaluate_function: SqueezeBackward...         0.02%       1.283ms         0.07%       4.097ms       4.656us           0 B           0 B           880  
                                aten::broadcast_tensors         0.02%       1.247ms         0.02%       1.247ms       2.835us           0 B           0 B           440  
                                        SelectBackward0         0.02%       1.149ms         0.22%      13.564ms      30.827us     102.91 MB           0 B           440  
                              aten::_local_scalar_dense         0.02%       1.047ms         0.02%       1.047ms       0.263us           0 B           0 B          3980  
