-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   aten::slice_backward         0.05%       3.263ms         0.28%      17.190ms      19.534us     106.34 MB           0 B           880  
                                           aten::linear         0.05%       3.003ms         0.63%      38.957ms      36.071us       4.23 MB           0 B          1080  
                                           aten::detach         0.05%       2.908ms         0.12%       7.573ms       1.932us           0 B           0 B          3920  
                                             aten::mean         0.04%       2.730ms         0.19%      11.597ms      26.356us           0 B        -776 B           440  
                                             aten::relu         0.04%       2.718ms         0.10%       6.025ms      11.157us       4.17 MB           0 B           540  
                                             aten::item         0.04%       2.572ms         0.06%       3.738ms       0.939us           0 B           0 B          3980  
                               aten::threshold_backward         0.04%       2.511ms         0.04%       2.511ms       5.707us       3.43 MB       3.43 MB           440  
                                           aten::narrow         0.04%       2.460ms         0.08%       4.747ms       8.792us           0 B           0 B           540  
                                            aten::clamp         0.04%       2.361ms         0.04%       2.411ms       5.479us       1.72 KB       1.72 KB           440  
                                       MseLossBackward0         0.04%       2.182ms         0.13%       8.289ms      18.839us      54.88 KB           0 B           440  
                                       aten::reciprocal         0.04%       2.171ms         0.04%       2.171ms       4.933us       1.72 KB       1.72 KB           440  
                                  aten::select_backward         0.03%       2.098ms         0.20%      12.307ms      27.970us     102.91 MB           0 B           440  
                                       aten::zeros_like         0.03%       2.014ms         0.08%       4.666ms       3.535us       6.91 MB           0 B          1320  
                                           aten::expand         0.03%       1.796ms         0.04%       2.233ms       2.068us           0 B           0 B          1080  
                                              aten::abs         0.03%       1.678ms         0.03%       1.678ms       3.813us           0 B           0 B           440  
                                         SliceBackward0         0.03%       1.609ms         0.30%      18.799ms      21.363us     106.34 MB           0 B           880  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.523ms         0.16%       9.812ms      22.300us      54.88 KB           0 B           440  
        autograd::engine::evaluate_function: TBackward0         0.02%       1.500ms         0.07%       4.138ms       4.702us           0 B           0 B           880  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.488ms         0.33%      20.288ms      23.054us           0 B    -106.34 MB           880  
                                            aten::zero_         0.02%       1.480ms         0.23%      14.357ms       3.859us           0 B           0 B          3720  
                                          ReluBackward0         0.02%       1.311ms         0.06%       3.822ms       8.686us       3.43 MB           0 B           440  
                                       aten::contiguous         0.02%       1.308ms         1.18%      73.273ms      74.769us       3.19 GB           0 B           980  
autograd::engine::evaluate_function: SqueezeBackward...         0.02%       1.237ms         0.06%       4.016ms       4.563us           0 B           0 B           880  
                                        SelectBackward0         0.02%       1.222ms         0.22%      13.529ms      30.748us     102.91 MB           0 B           440  
                              aten::_local_scalar_dense         0.02%       1.166ms         0.02%       1.166ms       0.293us           0 B           0 B          3980  
                                aten::broadcast_tensors         0.02%       1.165ms         0.02%       1.165ms       2.647us           0 B           0 B           440  
                                       SqueezeBackward1         0.02%       1.072ms         0.04%       2.779ms       3.158us           0 B           0 B           880  
                                           MulBackward0         0.01%     913.452us         0.04%       2.280ms       5.182us       3.43 MB           0 B           440  
                                        aten::ones_like         0.01%     860.177us         0.03%       1.842ms       4.186us       1.72 KB           0 B           440  
     autograd::engine::evaluate_function: ReluBackward0         0.01%     816.627us         0.07%       4.639ms      10.542us      -3.43 MB      -6.86 MB           440  
      autograd::engine::evaluate_function: MulBackward0         0.01%     797.112us         0.05%       3.077ms       6.993us      -3.43 MB      -6.86 MB           440  
                                             TBackward0         0.01%     769.795us         0.04%       2.638ms       2.997us           0 B           0 B           880  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     751.116us         0.23%      14.280ms      32.455us      99.48 MB      -3.43 MB           440  
                                     aten::resolve_conj         0.01%     720.950us         0.01%     720.950us       0.106us           0 B           0 B          6780  
autograd::engine::evaluate_function: TransposeBackwa...         0.01%     712.151us         0.04%       2.344ms       5.327us           0 B           0 B           440  
                                          aten::resize_         0.01%     581.970us         0.01%     581.970us       1.212us           0 B           0 B           480  
                              aten::cudnn_is_acceptable         0.01%     566.584us         0.01%     566.584us       1.049us           0 B           0 B           540  
                                         aten::randperm         0.01%     486.448us         0.02%       1.011ms      25.274us     219.53 KB        -160 B            40  
                                     TransposeBackward0         0.01%     459.221us         0.03%       1.632ms       3.709us           0 B           0 B           440  
                                          aten::random_         0.00%     209.410us         0.00%     209.410us      10.471us           0 B           0 B            20  
                                    aten::scalar_tensor         0.00%      53.553us         0.00%      53.553us       2.678us         160 B         160 B            20  
                                      aten::resolve_neg         0.00%      25.395us         0.00%      25.395us       0.115us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.198s
