-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   aten::slice_backward         0.06%       3.672ms         0.28%      18.282ms      20.775us     106.34 MB           0 B           880  
                                           aten::linear         0.05%       3.418ms         0.69%      44.813ms      41.494us       4.23 MB           0 B          1080  
                                           aten::detach         0.05%       3.252ms         0.13%       8.485ms       2.165us           0 B           0 B          3920  
                                             aten::mean         0.05%       3.234ms         0.20%      12.831ms      29.161us           0 B        -664 B           440  
                                           aten::narrow         0.05%       3.052ms         0.09%       5.703ms      10.561us           0 B           0 B           540  
                                             aten::relu         0.05%       2.988ms         0.10%       6.769ms      12.536us       4.17 MB           0 B           540  
                               aten::threshold_backward         0.05%       2.983ms         0.05%       2.983ms       6.779us       3.43 MB       3.43 MB           440  
                                            aten::clamp         0.04%       2.824ms         0.04%       2.877ms       6.538us       1.72 KB       1.72 KB           440  
                                             aten::item         0.04%       2.796ms         0.06%       4.176ms       1.049us           0 B           0 B          3980  
                                       aten::reciprocal         0.04%       2.700ms         0.04%       2.700ms       6.136us       1.72 KB       1.72 KB           440  
                                       MseLossBackward0         0.04%       2.518ms         0.15%       9.483ms      21.552us      54.88 KB           0 B           440  
                                  aten::select_backward         0.03%       2.236ms         0.19%      12.729ms      28.930us     102.91 MB           0 B           440  
                                       aten::zeros_like         0.03%       2.148ms         0.07%       4.829ms       3.658us       6.91 MB           0 B          1320  
                                           aten::expand         0.03%       2.037ms         0.04%       2.458ms       2.276us           0 B           0 B          1080  
                                              aten::abs         0.03%       1.879ms         0.03%       1.879ms       4.271us           0 B           0 B           440  
                                         SliceBackward0         0.03%       1.828ms         0.31%      20.110ms      22.853us     106.34 MB           0 B           880  
autograd::engine::evaluate_function: MseLossBackward...         0.03%       1.760ms         0.17%      11.243ms      25.552us      54.88 KB           0 B           440  
                                            aten::zero_         0.03%       1.666ms         0.23%      15.314ms       4.117us           0 B           0 B          3720  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.600ms         0.33%      21.711ms      24.671us           0 B    -106.34 MB           880  
        autograd::engine::evaluate_function: TBackward0         0.02%       1.497ms         0.06%       4.058ms       4.612us           0 B           0 B           880  
                                          ReluBackward0         0.02%       1.493ms         0.07%       4.476ms      10.173us       3.43 MB           0 B           440  
                                       aten::contiguous         0.02%       1.458ms         1.21%      79.223ms      80.840us       3.19 GB           0 B           980  
                                aten::broadcast_tensors         0.02%       1.384ms         0.02%       1.384ms       3.146us           0 B           0 B           440  
                              aten::_local_scalar_dense         0.02%       1.380ms         0.02%       1.380ms       0.347us           0 B           0 B          3980  
autograd::engine::evaluate_function: SqueezeBackward...         0.02%       1.274ms         0.07%       4.256ms       4.837us           0 B           0 B           880  
                                        SelectBackward0         0.02%       1.247ms         0.21%      13.976ms      31.764us     102.91 MB           0 B           440  
                                       SqueezeBackward1         0.02%       1.145ms         0.05%       2.983ms       3.390us           0 B           0 B           880  
                                           MulBackward0         0.02%       1.024ms         0.04%       2.391ms       5.434us       3.43 MB           0 B           440  
                                        aten::ones_like         0.01%     864.081us         0.03%       1.867ms       4.243us       1.72 KB           0 B           440  
autograd::engine::evaluate_function: TransposeBackwa...         0.01%     816.975us         0.04%       2.573ms       5.848us           0 B           0 B           440  
      autograd::engine::evaluate_function: MulBackward0         0.01%     804.572us         0.05%       3.196ms       7.263us      -3.43 MB      -6.86 MB           440  
                                     aten::resolve_conj         0.01%     781.331us         0.01%     781.331us       0.115us           0 B           0 B          6780  
autograd::engine::evaluate_function: SelectBackward0...         0.01%     779.438us         0.23%      14.756ms      33.536us      99.48 MB      -3.43 MB           440  
     autograd::engine::evaluate_function: ReluBackward0         0.01%     778.887us         0.08%       5.255ms      11.944us      -3.43 MB      -6.86 MB           440  
                                          aten::resize_         0.01%     752.764us         0.01%     752.764us       1.568us           0 B           0 B           480  
                                             TBackward0         0.01%     724.540us         0.04%       2.561ms       2.911us           0 B           0 B           880  
                              aten::cudnn_is_acceptable         0.01%     660.533us         0.01%     660.533us       1.223us           0 B           0 B           540  
                                     TransposeBackward0         0.01%     497.553us         0.03%       1.756ms       3.991us           0 B           0 B           440  
                                         aten::randperm         0.01%     474.245us         0.02%       1.038ms      25.954us     219.53 KB        -160 B            40  
                                          aten::random_         0.00%     189.164us         0.00%     189.164us       9.458us           0 B           0 B            20  
                                    aten::scalar_tensor         0.00%      62.968us         0.00%      62.968us       3.148us         160 B         160 B            20  
                                      aten::resolve_neg         0.00%      26.852us         0.00%      26.852us       0.122us           0 B           0 B           220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.539s
