[train_close][LSTM efficiency] Running on device: cpu
[train_close][LSTM efficiency] CUDA not available, running on CPU (AMP disabled, CPU-only profiling).
[SPLIT] n=2008 | embargo=0 | train=(0,1405) len=1405 | val=(1405,1706) len=301 | test=(1706,2008) len=302
[efficiency_close] Epoch 049 | train=0.001399 | val=RMSE:604.97|MAE:530.46|MAPE:17.25% | epoch_time=0.60s
[efficiency_close] Epoch 050 | train=0.001307 | val=RMSE:582.25|MAE:504.74|MAPE:16.45% | epoch_time=0.60s
[efficiency_close] Epoch 051 | train=0.001424 | val=RMSE:600.82|MAE:531.08|MAPE:17.27% | epoch_time=0.60s
[efficiency_close] Epoch 052 | train=0.001336 | val=RMSE:597.11|MAE:535.75|MAPE:17.31% | epoch_time=0.60s
[efficiency_close] Epoch 053 | train=0.001391 | val=RMSE:599.34|MAE:530.13|MAPE:17.20% | epoch_time=0.61s
[efficiency_close] Epoch 054 | train=0.001380 | val=RMSE:587.44|MAE:519.09|MAPE:16.82% | epoch_time=0.61s
[efficiency_close] Epoch 055 | train=0.001382 | val=RMSE:583.65|MAE:516.34|MAPE:16.79% | epoch_time=0.60s
[efficiency_close] Epoch 056 | train=0.001219 | val=RMSE:588.37|MAE:514.25|MAPE:16.75% | epoch_time=0.60s
[efficiency_close] Epoch 057 | train=0.001260 | val=RMSE:564.10|MAE:500.61|MAPE:16.21% | epoch_time=0.60s
[efficiency_close] Epoch 058 | train=0.001126 | val=RMSE:568.36|MAE:507.32|MAPE:16.38% | epoch_time=0.60s
[efficiency_close] Epoch 059 | train=0.001219 | val=RMSE:578.47|MAE:512.98|MAPE:16.63% | epoch_time=0.60s
[efficiency_close] Epoch 060 | train=0.001253 | val=RMSE:555.31|MAE:492.01|MAPE:15.95% | epoch_time=0.61s
[efficiency_close] Epoch 061 | train=0.001167 | val=RMSE:553.05|MAE:486.75|MAPE:15.79% | epoch_time=0.61s
[efficiency_close] Epoch 062 | train=0.001113 | val=RMSE:577.21|MAE:514.01|MAPE:16.63% | epoch_time=0.60s
