-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::_foreach_mul_         0.06%       3.836ms         0.39%      25.279ms      57.451us           0 B           0 B           440  
                                   aten::slice_backward         0.06%       3.595ms         0.28%      17.995ms      20.449us     106.34 MB           0 B           880  
                                           aten::linear         0.05%       3.503ms         0.71%      46.374ms      42.939us       4.23 MB           0 B          1080  
                                           aten::detach         0.05%       3.254ms         0.13%       8.671ms       2.212us           0 B           0 B          3920  
                                             aten::mean         0.05%       3.219ms         0.19%      12.649ms      28.748us           0 B        -736 B           440  
                                             aten::relu         0.05%       3.145ms         0.11%       6.994ms      12.952us       4.17 MB           0 B           540  
                                             aten::item         0.04%       2.928ms         0.07%       4.267ms       1.072us           0 B           0 B          3980  
                               aten::threshold_backward         0.04%       2.886ms         0.04%       2.886ms       6.558us       3.43 MB       3.43 MB           440  
                                            aten::clamp         0.04%       2.819ms         0.04%       2.871ms       6.526us       1.72 KB       1.72 KB           440  
                                       aten::reciprocal         0.04%       2.684ms         0.04%       2.684ms       6.101us       1.72 KB       1.72 KB           440  
                                       MseLossBackward0         0.04%       2.561ms         0.14%       9.388ms      21.337us      54.88 KB           0 B           440  
                                  aten::select_backward         0.03%       2.260ms         0.20%      13.208ms      30.018us     102.91 MB           0 B           440  
                                       aten::zeros_like         0.03%       2.111ms         0.07%       4.712ms       3.570us       6.91 MB           0 B          1320  
                                           aten::expand         0.03%       2.084ms         0.04%       2.516ms       2.329us           0 B           0 B          1080  
                                              aten::abs         0.03%       1.844ms         0.03%       1.844ms       4.191us           0 B           0 B           440  
                                         SliceBackward0         0.03%       1.835ms         0.30%      19.830ms      22.534us     106.34 MB           0 B           880  
