-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   aten::slice_backward         0.05%       3.183ms         0.28%      16.737ms      19.019us     106.34 MB           0 B           880  
                                           aten::detach         0.05%       2.885ms         0.12%       7.229ms       1.844us           0 B           0 B          3920  
                                           aten::linear         0.05%       2.776ms         0.64%      38.267ms      35.432us       4.23 MB           0 B          1080  
                                             aten::mean         0.05%       2.773ms         0.19%      11.068ms      25.154us          16 B        -752 B           440  
                               aten::threshold_backward         0.04%       2.620ms         0.04%       2.620ms       5.954us       3.43 MB       3.43 MB           440  
                                             aten::relu         0.04%       2.595ms         0.10%       5.807ms      10.753us       4.17 MB           0 B           540  
                                            aten::clamp         0.04%       2.467ms         0.04%       2.514ms       5.715us       1.72 KB       1.72 KB           440  
                                             aten::item         0.04%       2.424ms         0.06%       3.487ms       0.876us           0 B           0 B          3980  
                                           aten::narrow         0.04%       2.389ms         0.08%       4.571ms       8.464us           0 B           0 B           540  
                                       aten::reciprocal         0.04%       2.202ms         0.04%       2.202ms       5.004us       1.72 KB       1.72 KB           440  
                                       MseLossBackward0         0.04%       2.178ms         0.13%       7.967ms      18.106us      54.88 KB           0 B           440  
                                  aten::select_backward         0.03%       1.977ms         0.20%      11.865ms      26.965us     102.91 MB           0 B           440  
                                       aten::zeros_like         0.03%       1.894ms         0.07%       4.335ms       3.284us       6.91 MB           0 B          1320  
                                           aten::expand         0.03%       1.824ms         0.04%       2.242ms       2.076us           0 B           0 B          1080  
                                              aten::abs         0.03%       1.656ms         0.03%       1.656ms       3.763us           0 B           0 B           440  
                                         SliceBackward0         0.03%       1.618ms         0.31%      18.355ms      20.858us     106.34 MB           0 B           880  
autograd::engine::evaluate_function: MseLossBackward...         0.02%       1.456ms         0.16%       9.423ms      21.416us      54.88 KB           0 B           440  
    autograd::engine::evaluate_function: SliceBackward0         0.02%       1.456ms         0.33%      19.811ms      22.513us           0 B    -106.34 MB           880  
                                            aten::zero_         0.02%       1.417ms         0.24%      14.312ms       3.847us           0 B           0 B          3720  
        autograd::engine::evaluate_function: TBackward0         0.02%       1.345ms         0.06%       3.768ms       4.282us           0 B           0 B           880  
                                          ReluBackward0         0.02%       1.301ms         0.07%       3.921ms       8.911us       3.43 MB           0 B           440  
                                       aten::contiguous         0.02%       1.275ms         1.16%      68.850ms      70.255us       3.19 GB           0 B           980  
autograd::engine::evaluate_function: SqueezeBackward...         0.02%       1.229ms         0.06%       3.788ms       4.305us           0 B           0 B           880  
                                aten::broadcast_tensors         0.02%       1.200ms         0.02%       1.200ms       2.727us           0 B           0 B           440  
                                        SelectBackward0         0.02%       1.116ms         0.22%      12.980ms      29.501us     102.91 MB           0 B           440  
                              aten::_local_scalar_dense         0.02%       1.063ms         0.02%       1.063ms       0.267us           0 B           0 B          3980  
                                       SqueezeBackward1         0.02%     986.577us         0.04%       2.559ms       2.908us           0 B           0 B           880  
                                           MulBackward0         0.01%     884.023us         0.04%       2.115ms       4.807us       3.43 MB           0 B           440  
